order_id,payment_id,payment_method,payment_status,attempt_number,payment_amount,payment_created_at,processor
ORD001087,P00322,apple_pay,captured,3,427.42,2025-11-13,braintree
ORD000381,P01517,visa,authorized,2,548.49,2025-08-06,stripe
ORD000603,P00186,apple_pay,captured,3,76.54,2025-12-25,stripe
ORD000519,P00845,amex,captured,1,141.47,2025-02-09,stripe
ORD001372,P00450,klarna,refunded,2,355.59,2025-09-04,stripe
ORD000142,P00573,amex,captured,2,220.76,2025-09-22,braintree
ORD000893,P00667,paypal,authorized,3,339.14,2025-08-24,stripe
ORD000093,P00546,amex,captured,3,471.84,2025-06-30,adyen
ORD000984,P01583,apple_pay,captured,2,422.7,2025-03-18,adyen
ORD000692,P01119,visa,captured,2,462.29,2025-03-03,stripe
ORD001162,P00822,visa,refunded,1,105.1,2025-08-23,adyen
ORD001055,P01309,paypal,authorized,2,27.91,2025-07-31,stripe
ORD000845,P00794,amex,captured,3,524.32,2025-06-28,stripe
ORD001166,P00465,mastercard,captured,1,276.4,2025-01-15,stripe
ORD001248,P00635,apple_pay,authorized,3,385.05,2025-05-18,braintree
ORD000386,P00955,apple_pay,captured,1,53.04,2025-11-13,adyen
ORD001110,P00350,visa,authorized,1,427.56,2025-09-07,adyen
ORD001302,P01255,mastercard,failed,3,69.98,2025-10-05,stripe
ORD000778,P00702,apple_pay,authorized,2,474.53,2025-02-01,adyen
ORD000731,P01027,amex,captured,3,45.82,2025-06-15,adyen
ORD001075,P00895,mastercard,captured,3,59.09,2025-07-03,braintree
ORD001153,P00394,paypal,captured,1,212.55,2025-10-12,adyen
ORD001005,P01404,amex,captured,2,135.09,2025-10-04,stripe
ORD001056,P00194,visa,captured,1,590.82,2025-02-05,braintree
ORD000847,P00007,paypal,failed,2,276.28,2025-10-30,adyen
ORD001075,P00237,apple_pay,captured,1,286.62,2025-01-15,stripe
ORD000365,P01277,visa,captured,1,37.42,2025-06-28,adyen
ORD000675,P01561,mastercard,captured,2,299.92,2025-04-01,stripe
ORD000919,P00556,paypal,captured,2,47.73,2025-05-09,adyen
ORD000556,P00795,apple_pay,captured,3,380.59,2025-06-05,stripe
ORD000538,P00283,klarna,authorized,2,589.12,2025-07-28,adyen
ORD001392,P00602,paypal,captured,2,204.45,2025-01-12,stripe
ORD001102,P01533,visa,refunded,3,486.74,2025-02-16,adyen
ORD000991,P00108,amex,captured,1,579.65,2025-09-09,stripe
ORD000802,P00507,mastercard,captured,2,581.1,2025-02-03,stripe
ORD001082,P00428,klarna,failed,2,450.09,2025-03-31,stripe
ORD000691,P01313,visa,captured,2,523.29,2025-10-26,stripe
ORD000034,P01057,amex,captured,1,217.36,2025-03-19,adyen
ORD000649,P00259,paypal,authorized,1,354.47,2025-02-16,stripe
ORD000662,P01498,mastercard,authorized,3,401.1,2025-06-24,stripe
ORD000377,P00705,apple_pay,authorized,3,138.25,2025-06-02,braintree
ORD000464,P01196,visa,captured,2,194.91,2025-02-15,stripe
ORD000236,P00357,klarna,captured,1,223.24,2025-05-31,stripe
ORD000905,P00766,amex,refunded,1,48.77,2025-11-06,stripe
ORD001146,P01076,amex,authorized,2,279.36,2025-12-25,braintree
ORD000400,P01070,klarna,authorized,3,472.18,2025-01-24,stripe
ORD000537,P00972,visa,captured,3,393.37,2025-09-15,stripe
ORD000112,P00707,amex,authorized,2,378.83,2025-09-09,stripe
ORD001105,P00634,visa,captured,3,367.49,2025-10-07,adyen
ORD000682,P01123,paypal,authorized,1,23.29,2025-10-08,stripe
ORD000937,P00311,mastercard,authorized,1,11.94,2025-09-02,braintree
ORD000219,P00122,apple_pay,captured,2,109.78,2025-11-14,stripe
ORD000198,P01310,paypal,captured,3,548.85,2025-04-10,adyen
ORD000794,P00280,paypal,authorized,3,515.7,2025-02-16,stripe
ORD001288,P01166,klarna,authorized,1,350.31,2025-05-12,braintree
ORD000637,P01547,klarna,authorized,1,237.39,2025-03-13,stripe
ORD000986,P01217,mastercard,authorized,1,578.53,2025-03-08,stripe
ORD000723,P00683,paypal,refunded,3,48.93,2025-01-17,stripe
ORD000949,P00963,apple_pay,captured,3,67.3,2025-07-17,stripe
ORD000346,P01048,visa,authorized,3,376.4,2025-10-28,stripe
ORD000196,P01566,amex,captured,1,333.04,2025-01-29,stripe
ORD000733,P01263,paypal,authorized,2,588.97,2025-08-30,stripe
ORD001242,P00844,klarna,authorized,2,483.5,2025-11-26,stripe
ORD001257,P00474,visa,refunded,3,563.55,2025-06-25,stripe
ORD000911,P00210,klarna,authorized,3,435.8,2025-03-13,stripe
ORD001390,P00464,mastercard,refunded,3,556.84,2025-09-03,stripe
ORD001313,P01248,klarna,failed,1,415.21,2025-03-19,braintree
ORD001274,P01520,paypal,captured,2,320.15,2025-02-17,stripe
ORD000118,P01054,amex,captured,3,352.22,2025-06-26,adyen
ORD000525,P01370,visa,authorized,2,541.71,2025-01-06,stripe
ORD000850,P01279,amex,failed,2,71.75,2025-04-27,stripe
ORD000254,P00997,apple_pay,failed,1,343.58,2025-10-14,braintree
ORD000537,P00915,mastercard,captured,2,241.44,2025-03-02,adyen
ORD000347,P00930,apple_pay,authorized,3,401.14,2025-07-08,adyen
ORD000899,P00784,mastercard,authorized,2,366.24,2025-12-26,stripe
ORD000686,P00340,visa,authorized,3,245.77,2025-03-21,adyen
ORD000781,P00688,paypal,authorized,2,416.69,2025-04-13,braintree
ORD000135,P00296,apple_pay,captured,3,326.23,2025-09-14,stripe
ORD001164,P00369,klarna,failed,3,120.61,2025-09-27,stripe
ORD000144,P01388,paypal,captured,2,386.46,2025-06-27,braintree
ORD001340,P00732,paypal,captured,3,25.74,2025-09-23,stripe
ORD000096,P00415,apple_pay,captured,1,495.56,2025-08-19,stripe
ORD000243,P01417,amex,captured,2,544.83,2025-03-31,stripe
ORD000187,P00789,visa,captured,1,55.98,2025-10-28,stripe
ORD000250,P00091,mastercard,failed,3,161.5,2025-04-12,stripe
ORD000988,P01046,amex,captured,1,84.82,2025-09-05,stripe
ORD000761,P00597,paypal,refunded,2,465.38,2025-07-15,stripe
ORD000349,P00285,mastercard,authorized,3,51.92,2025-07-15,stripe
ORD000842,P00781,mastercard,captured,3,329.25,2025-11-11,stripe
ORD001074,P00168,klarna,captured,2,239.05,2025-11-27,adyen
ORD001136,P00746,visa,captured,1,453.01,2025-09-27,adyen
ORD000085,P00676,apple_pay,captured,2,387.09,2025-08-07,stripe
ORD000091,P01027,visa,authorized,2,331.07,2025-04-21,stripe
ORD000956,P00016,mastercard,failed,3,307.06,2025-09-21,adyen
ORD000254,P01590,klarna,captured,2,467.26,2025-01-16,stripe
ORD000642,P01241,klarna,captured,3,291.56,2025-02-07,braintree
ORD001334,P01219,amex,failed,2,257.69,2025-08-10,braintree
ORD000596,P01074,visa,captured,2,24.94,2025-04-10,stripe
ORD000073,P00827,klarna,failed,1,168.45,2025-06-23,stripe
ORD001238,P01099,klarna,authorized,1,228.22,2025-12-10,stripe
ORD001366,P00729,amex,authorized,2,351.47,2025-05-06,stripe
ORD000458,P00388,visa,authorized,3,407.19,2025-06-04,adyen
ORD001036,P00030,apple_pay,refunded,3,577.99,2025-08-24,stripe
ORD001282,P00242,apple_pay,failed,1,173.25,2025-09-26,braintree
ORD001384,P01076,apple_pay,failed,1,331.2,2025-12-14,adyen
ORD001226,P01339,apple_pay,captured,1,456.06,2025-04-27,braintree
ORD001332,P00938,klarna,authorized,2,193.21,2025-11-26,stripe
ORD000206,P01514,paypal,captured,2,333.63,2025-03-22,stripe
ORD000479,P00940,visa,captured,1,256.94,2025-08-31,stripe
ORD001318,P00791,apple_pay,authorized,1,244.38,2025-01-30,adyen
ORD000150,P00783,mastercard,captured,2,46.98,2025-12-17,stripe
ORD000783,P01372,paypal,failed,1,24.3,2025-10-15,braintree
ORD001235,P00898,visa,captured,1,184.27,2025-05-25,stripe
ORD001266,P00071,visa,captured,2,548.25,2025-11-25,adyen
ORD001327,P00864,amex,captured,3,123.74,2025-02-06,stripe
ORD000657,P00091,paypal,authorized,3,47.17,2025-05-13,adyen
ORD000287,P00812,visa,authorized,1,375.92,2025-06-15,adyen
ORD001318,P01423,apple_pay,captured,3,575.54,2025-08-29,stripe
ORD000250,P00821,paypal,captured,3,43.73,2025-08-30,braintree
ORD000924,P00278,apple_pay,captured,1,449.82,2025-01-20,stripe
ORD001173,P01027,amex,authorized,1,74.01,2025-10-20,stripe
ORD000794,P00409,paypal,authorized,1,89.85,2025-02-22,braintree
ORD000554,P01153,klarna,captured,3,562.29,2025-12-09,adyen
ORD000802,P00779,mastercard,captured,1,423.71,2025-05-30,stripe
ORD000406,P00286,apple_pay,captured,1,339.99,2025-07-08,stripe
ORD001309,P00564,paypal,authorized,3,107.14,2025-05-23,braintree
ORD000610,P01488,apple_pay,failed,1,339.84,2025-05-17,stripe
ORD000284,P00737,paypal,captured,2,46.74,2025-06-14,stripe
ORD000722,P01316,apple_pay,authorized,3,242.71,2025-04-13,stripe
ORD000089,P00292,apple_pay,captured,3,425.63,2025-11-27,stripe
ORD000902,P00945,visa,captured,1,345.31,2025-08-10,stripe
ORD000881,P00419,visa,refunded,1,408.35,2025-06-15,stripe
ORD000656,P01047,visa,chargeback,2,78.35,2025-09-10,stripe
ORD000323,P00169,klarna,captured,1,457.57,2025-01-22,stripe
ORD000078,P00458,amex,captured,3,574.21,2025-08-19,stripe
ORD000670,P01155,klarna,captured,3,545.44,2025-03-03,adyen
ORD001117,P00440,klarna,captured,2,61.88,2025-03-13,adyen
ORD000121,P01332,amex,authorized,2,68.17,2025-08-29,stripe
ORD000491,P01114,visa,captured,1,312.89,2025-06-12,stripe
ORD000588,P00982,klarna,refunded,3,319.2,2025-03-06,adyen
ORD001216,P01497,amex,authorized,3,515.7,2025-01-28,stripe
ORD001392,P01469,mastercard,captured,3,227.64,2025-08-11,stripe
ORD000589,P01088,apple_pay,authorized,2,313.54,2025-07-09,adyen
ORD000206,P00475,amex,captured,3,130.18,2025-03-28,stripe
ORD000622,P01202,mastercard,captured,3,568.49,2025-03-20,stripe
ORD000740,P00794,amex,captured,1,81.34,2025-09-29,adyen
ORD000535,P01388,klarna,captured,3,543.4,2025-11-21,stripe
ORD001282,P00746,mastercard,failed,1,535.5,2025-12-08,stripe
ORD001128,P00162,klarna,authorized,3,39.78,2025-10-23,braintree
ORD001167,P01145,paypal,failed,1,467.5,2025-03-28,stripe
ORD000703,P01366,visa,failed,2,209.14,2025-09-24,stripe
ORD001118,P01380,visa,captured,1,142.58,2025-05-21,stripe
ORD001126,P00195,paypal,captured,1,247.44,2025-02-11,braintree
ORD001390,P00960,visa,refunded,2,555.12,2025-03-03,stripe
ORD000946,P00934,visa,captured,3,245.35,2025-06-13,braintree
ORD000028,P01276,amex,authorized,1,153.2,2025-04-13,stripe
ORD000590,P00377,amex,authorized,3,319.51,2025-03-07,adyen
ORD000696,P00983,klarna,refunded,3,251.68,2025-10-09,adyen
ORD001289,P00697,klarna,authorized,3,21.22,2025-01-16,stripe
ORD000497,P00455,klarna,captured,1,119.91,2025-12-15,adyen
ORD001198,P00736,visa,captured,3,20.17,2025-05-27,stripe
ORD001384,P01018,apple_pay,captured,2,318.09,2025-04-30,stripe
ORD000771,P01560,klarna,captured,1,388.38,2025-04-25,stripe
ORD000200,P00211,paypal,captured,3,433.82,2025-09-04,adyen
ORD000847,P00539,klarna,captured,1,132.66,2025-12-02,stripe
ORD001204,P01503,apple_pay,authorized,2,484.96,2025-04-09,adyen
ORD001354,P01017,apple_pay,authorized,1,252.51,2025-12-05,adyen
ORD001267,P01239,amex,authorized,2,39.02,2025-11-28,stripe
ORD000958,P00531,amex,captured,2,557.34,2025-12-08,stripe
ORD000054,P00815,amex,authorized,3,419.13,2025-08-14,stripe
ORD001374,P01242,mastercard,captured,2,341.91,2025-01-06,stripe
ORD001016,P01002,paypal,authorized,2,33.73,2025-04-24,stripe
ORD000714,P00960,amex,captured,1,18.25,2025-07-09,stripe
ORD000962,P00337,mastercard,authorized,1,343.25,2025-10-18,stripe
ORD000845,P00780,mastercard,captured,2,528.48,2025-01-07,adyen
ORD000146,P01466,paypal,failed,1,392.0,2025-08-01,stripe
ORD000201,P01487,visa,captured,2,13.27,2025-08-09,braintree
ORD000226,P01373,amex,captured,1,386.43,2025-01-16,adyen
ORD000135,P00414,visa,captured,2,215.68,2025-07-05,braintree
ORD000172,P00173,amex,authorized,1,82.0,2025-06-02,adyen
ORD000091,P00988,paypal,captured,1,488.82,2025-06-07,stripe
ORD001110,P00235,paypal,captured,2,350.11,2025-09-30,stripe
ORD000033,P00151,visa,captured,1,437.3,2025-01-20,stripe
ORD000324,P00810,apple_pay,authorized,3,107.39,2025-10-02,adyen
ORD001264,P00852,mastercard,chargeback,2,78.51,2025-02-08,adyen
ORD000438,P01166,amex,captured,3,313.56,2025-09-17,stripe
ORD000422,P00741,apple_pay,captured,1,321.44,2025-04-25,adyen
ORD001358,P00863,visa,chargeback,1,353.41,2025-07-10,stripe
ORD000957,P00842,mastercard,authorized,2,449.1,2025-03-30,adyen
ORD001206,P00818,visa,failed,1,401.52,2025-12-25,stripe
ORD001239,P01345,mastercard,authorized,2,408.99,2025-03-07,stripe
ORD000220,P00062,visa,captured,3,113.25,2025-05-30,stripe
ORD001028,P00604,visa,authorized,3,256.68,2025-11-07,braintree
ORD000772,P01411,paypal,failed,2,363.99,2025-05-19,adyen
ORD000794,P01153,visa,captured,1,316.0,2025-01-11,stripe
ORD001063,P00018,amex,captured,2,189.5,2025-03-15,stripe
ORD000112,P01104,mastercard,refunded,1,567.12,2025-03-21,stripe
ORD000520,P00113,klarna,authorized,1,92.71,2025-01-30,stripe
ORD000318,P00708,visa,refunded,3,585.03,2025-12-01,adyen
ORD000387,P00721,amex,captured,3,471.42,2025-10-30,stripe
ORD000036,P00137,amex,failed,1,361.75,2025-11-15,stripe
ORD000297,P01089,apple_pay,captured,2,85.21,2025-07-20,stripe
ORD000752,P00695,visa,failed,2,342.71,2025-05-10,adyen
ORD001178,P00035,klarna,refunded,2,61.88,2025-11-09,stripe
ORD000793,P00182,mastercard,captured,3,559.84,2025-10-21,stripe
ORD001315,P01481,visa,captured,3,178.51,2025-09-23,stripe
ORD000181,P00930,apple_pay,chargeback,1,245.71,2025-02-25,adyen
ORD000591,P01165,paypal,failed,1,385.7,2025-11-04,braintree
ORD000975,P00245,paypal,refunded,3,21.06,2025-08-22,stripe
ORD001342,P00506,klarna,captured,2,329.74,2025-09-13,stripe
ORD000262,P00404,amex,captured,2,431.75,2025-11-19,adyen
ORD001106,P00210,klarna,failed,3,132.29,2025-04-08,stripe
ORD000208,P00126,klarna,captured,3,100.87,2025-06-22,stripe
ORD000134,P01450,paypal,authorized,2,297.71,2025-05-04,stripe
ORD001301,P00246,apple_pay,authorized,3,326.57,2025-03-02,stripe
ORD001034,P00082,visa,authorized,2,269.04,2025-07-05,stripe
ORD000726,P00183,paypal,captured,3,184.41,2025-07-31,stripe
ORD000735,P00764,visa,failed,2,251.8,2025-04-09,stripe
ORD001282,P00832,amex,failed,1,194.25,2025-10-01,stripe
ORD000090,P00111,apple_pay,authorized,1,157.3,2025-04-21,stripe
ORD001332,P00249,visa,authorized,2,288.55,2025-11-12,braintree
ORD000270,P00431,amex,authorized,3,243.43,2025-09-26,stripe
ORD000422,P01599,amex,captured,2,266.88,2025-05-19,braintree
ORD000468,P01245,mastercard,failed,3,10.14,2025-09-26,braintree
ORD000721,P00026,paypal,failed,2,418.7,2025-04-14,stripe
ORD000865,P01307,apple_pay,authorized,3,37.66,2025-08-06,braintree
ORD000952,P00260,klarna,failed,3,131.95,2025-09-08,stripe
ORD000987,P00674,klarna,captured,3,484.04,2025-03-15,stripe
ORD000155,P00348,klarna,refunded,2,590.65,2025-04-02,adyen
ORD000980,P01457,mastercard,failed,2,594.97,2025-02-15,stripe
ORD000134,P00288,visa,captured,2,359.42,2025-03-30,stripe
ORD000772,P01047,mastercard,failed,3,163.05,2025-09-13,braintree
ORD000404,P01209,klarna,captured,2,502.55,2025-03-08,braintree
ORD000638,P01141,mastercard,failed,1,393.69,2025-11-20,stripe
ORD000956,P00284,apple_pay,failed,1,591.85,2025-05-15,adyen
ORD000735,P00859,amex,failed,1,333.97,2025-04-20,adyen
ORD000154,P01540,apple_pay,authorized,2,320.44,2025-06-10,stripe
ORD000203,P00185,apple_pay,failed,3,35.84,2025-08-20,stripe
ORD000730,P00528,klarna,authorized,1,124.7,2025-09-22,adyen
ORD000419,P00204,visa,failed,3,403.48,2025-09-04,stripe
ORD000358,P00930,mastercard,refunded,2,596.33,2025-02-09,adyen
ORD001162,P01063,visa,authorized,1,290.62,2025-11-15,stripe
ORD000551,P01230,amex,captured,1,27.17,2025-06-05,adyen
ORD000147,P00043,amex,captured,1,245.73,2025-11-11,stripe
ORD000343,P00305,klarna,failed,3,84.52,2025-08-29,stripe
ORD000236,P01333,apple_pay,authorized,1,576.23,2025-01-27,adyen
ORD001367,P01117,visa,refunded,1,93.37,2025-07-18,stripe
ORD000279,P00202,amex,chargeback,2,79.54,2025-10-31,adyen
ORD000484,P00374,apple_pay,captured,2,280.08,2025-10-15,stripe
ORD001032,P00985,apple_pay,captured,2,329.73,2025-09-22,stripe
ORD000686,P01397,apple_pay,captured,2,433.21,2025-11-22,braintree
ORD000359,P00677,mastercard,authorized,2,227.11,2025-07-25,stripe
ORD000179,P00182,klarna,failed,2,539.22,2025-03-19,stripe
ORD000990,P01208,klarna,authorized,2,363.18,2025-01-02,stripe
ORD000287,P00702,mastercard,captured,2,37.89,2025-11-28,stripe
ORD000796,P00546,paypal,authorized,3,30.16,2025-08-25,braintree
ORD000677,P01051,apple_pay,captured,3,286.58,2025-11-20,stripe
ORD000045,P00452,klarna,captured,1,269.26,2025-10-17,stripe
ORD000736,P00514,visa,captured,1,276.9,2025-05-13,stripe
ORD001192,P01579,mastercard,authorized,1,43.74,2025-03-03,stripe
ORD001140,P00244,klarna,captured,3,41.43,2025-10-24,adyen
ORD000717,P00283,visa,captured,2,45.85,2025-11-09,stripe
ORD000653,P01164,amex,captured,2,443.02,2025-07-08,stripe
ORD000687,P01182,mastercard,authorized,3,364.86,2025-04-01,stripe
ORD001033,P00481,paypal,captured,3,90.51,2025-10-23,stripe
ORD000123,P00196,amex,captured,3,264.28,2025-11-03,braintree
ORD000535,P00112,klarna,refunded,3,566.33,2025-10-01,adyen
ORD000279,P01278,visa,captured,3,50.79,2025-07-12,stripe
ORD001335,P01144,paypal,authorized,2,121.6,2025-12-18,stripe
ORD000924,P00286,paypal,authorized,3,239.87,2025-12-12,stripe
ORD000868,P00971,paypal,authorized,1,149.18,2025-03-22,stripe
ORD000338,P00299,visa,authorized,3,103.53,2025-04-25,stripe
ORD000531,P00459,amex,failed,2,584.27,2025-09-26,braintree
ORD000330,P00050,klarna,captured,1,462.2,2025-02-26,adyen
ORD000597,P01229,paypal,authorized,2,440.21,2025-01-06,stripe
ORD000033,P00544,visa,failed,3,560.06,2025-07-08,stripe
ORD001313,P00022,apple_pay,authorized,1,120.36,2025-12-03,adyen
ORD000495,P00796,klarna,failed,1,534.94,2025-11-17,stripe
ORD000401,P01137,apple_pay,authorized,2,589.78,2025-03-14,stripe
ORD000980,P00695,visa,captured,3,355.93,2025-03-24,stripe
ORD000032,P01200,visa,failed,3,542.91,2025-05-17,braintree
ORD001128,P00599,mastercard,authorized,3,491.51,2025-12-05,stripe
ORD000845,P01567,amex,authorized,3,197.55,2025-11-04,adyen
ORD000921,P01486,klarna,failed,3,206.08,2025-11-27,braintree
ORD000447,P00295,amex,captured,1,408.73,2025-06-24,stripe
ORD001210,P00873,klarna,refunded,2,335.76,2025-01-29,braintree
ORD000105,P01148,visa,captured,3,237.12,2025-08-31,stripe
ORD000356,P00481,apple_pay,authorized,3,37.76,2025-11-26,adyen
ORD001046,P01042,apple_pay,captured,2,23.54,2025-05-12,stripe
ORD000539,P01434,klarna,failed,2,67.81,2025-03-29,stripe
ORD000384,P01075,paypal,authorized,1,248.44,2025-07-22,adyen
ORD000330,P01482,paypal,authorized,3,26.17,2025-03-29,adyen
ORD000859,P01548,visa,captured,2,97.42,2025-11-05,stripe
ORD000596,P01007,klarna,failed,1,581.16,2025-05-27,stripe
ORD000642,P00199,paypal,captured,2,275.84,2025-11-22,stripe
ORD000483,P00540,apple_pay,captured,1,560.62,2025-08-09,braintree
ORD000670,P00924,amex,authorized,2,122.08,2025-06-16,adyen
ORD000459,P00588,visa,captured,2,221.53,2025-06-15,stripe
ORD000987,P00749,apple_pay,captured,3,406.01,2025-09-20,stripe
ORD000930,P00954,apple_pay,authorized,3,594.02,2025-03-31,braintree
ORD000925,P00446,mastercard,captured,1,422.91,2025-06-20,adyen
ORD001341,P01428,apple_pay,captured,1,542.3,2025-11-12,adyen
ORD000553,P01484,visa,captured,2,38.98,2025-12-09,adyen
ORD000171,P00862,paypal,refunded,3,189.26,2025-01-16,stripe
ORD000118,P00361,visa,refunded,1,530.85,2025-09-23,stripe
ORD001312,P00064,apple_pay,captured,3,318.7,2025-11-04,stripe
ORD000499,P00264,amex,failed,1,110.22,2025-06-07,stripe
ORD001077,P00799,mastercard,refunded,3,110.18,2025-03-27,adyen
ORD001149,P01471,apple_pay,captured,2,457.61,2025-07-01,adyen
ORD001244,P00911,apple_pay,failed,1,103.2,2025-11-25,braintree
ORD001390,P01198,paypal,authorized,3,303.63,2025-03-08,stripe
ORD000799,P00404,apple_pay,failed,2,116.96,2025-04-26,adyen
ORD001041,P00345,visa,authorized,2,132.89,2025-12-10,braintree
ORD001299,P00061,apple_pay,authorized,3,244.4,2025-08-30,stripe
ORD000736,P01328,paypal,captured,2,79.67,2025-04-04,stripe
ORD001125,P01538,visa,authorized,2,399.0,2025-09-05,braintree
ORD000545,P00404,amex,authorized,2,108.01,2025-03-08,stripe
ORD000351,P00735,paypal,captured,1,453.69,2025-09-20,adyen
ORD000901,P00988,apple_pay,authorized,1,317.57,2025-06-15,stripe
ORD000857,P00540,paypal,refunded,2,214.43,2025-11-19,stripe
ORD000509,P01289,mastercard,refunded,1,372.4,2025-09-23,braintree
ORD000982,P00754,mastercard,captured,3,250.5,2025-02-14,stripe
ORD000378,P00216,apple_pay,authorized,2,58.67,2025-09-07,stripe
ORD000633,P01028,klarna,captured,2,192.37,2025-08-29,stripe
ORD000913,P00035,paypal,authorized,3,319.56,2025-04-03,stripe
ORD000761,P00859,apple_pay,captured,2,71.51,2025-07-08,stripe
ORD000273,P01558,paypal,authorized,3,442.09,2025-04-07,adyen
ORD001201,P01342,amex,captured,3,220.31,2025-09-27,stripe
ORD000242,P00056,amex,authorized,1,130.82,2025-03-28,stripe
ORD000356,P01049,amex,chargeback,1,14.75,2025-05-30,stripe
ORD000789,P01309,visa,authorized,2,60.11,2025-08-09,adyen
ORD000283,P00186,paypal,captured,1,150.0,2025-01-18,stripe
ORD000326,P00559,mastercard,authorized,2,226.51,2025-12-16,braintree
ORD000356,P01129,klarna,captured,3,100.45,2025-01-16,braintree
ORD000189,P00969,klarna,refunded,3,331.54,2025-11-21,stripe
ORD000559,P00257,amex,authorized,3,124.69,2025-08-26,stripe
ORD001246,P00544,paypal,authorized,1,573.25,2025-07-04,adyen
ORD000405,P01455,visa,authorized,3,343.23,2025-06-28,stripe
ORD001001,P01479,paypal,captured,1,480.01,2025-05-18,adyen
ORD000829,P00179,klarna,captured,2,258.88,2025-09-20,braintree
ORD000855,P00392,paypal,failed,3,130.88,2025-05-25,adyen
ORD000377,P00623,klarna,failed,3,275.24,2025-07-12,stripe
ORD000740,P00089,visa,authorized,1,253.27,2025-10-22,stripe
ORD001324,P00635,klarna,refunded,2,377.96,2025-08-26,stripe
ORD000150,P00550,amex,failed,3,547.27,2025-08-26,stripe
ORD000136,P00254,visa,captured,2,149.96,2025-07-27,adyen
ORD000503,P00322,paypal,captured,2,66.96,2025-01-16,stripe
ORD000932,P01230,paypal,captured,2,432.03,2025-01-25,adyen
ORD000080,P00642,visa,captured,2,10.23,2025-01-28,adyen
ORD001030,P01213,amex,captured,2,478.82,2025-04-10,stripe
ORD001231,P00167,klarna,authorized,1,439.45,2025-06-25,adyen
ORD000753,P00985,mastercard,captured,3,497.22,2025-03-29,adyen
ORD000125,P00420,visa,captured,3,63.47,2025-07-14,stripe
ORD000608,P00588,apple_pay,authorized,1,130.19,2025-11-16,stripe
ORD000602,P00732,apple_pay,refunded,1,335.47,2025-12-17,stripe
ORD000544,P00136,amex,authorized,2,203.11,2025-08-28,adyen
ORD000169,P00960,mastercard,authorized,2,509.04,2025-02-21,braintree
ORD000117,P01423,klarna,captured,3,280.42,2025-09-29,adyen
ORD001037,P00572,klarna,captured,1,263.4,2025-10-22,stripe
ORD000808,P00382,visa,authorized,3,119.0,2025-10-14,stripe
ORD001331,P00041,apple_pay,captured,1,341.6,2025-11-23,braintree
ORD001084,P00016,amex,captured,1,214.11,2025-01-02,adyen
ORD000490,P01415,mastercard,authorized,3,275.81,2025-05-18,stripe
ORD000525,P01266,amex,authorized,2,170.06,2025-08-04,adyen
ORD001001,P00370,amex,captured,1,369.22,2025-03-01,stripe
ORD000111,P00886,paypal,captured,3,504.46,2025-05-26,braintree
ORD000436,P00949,klarna,authorized,2,22.13,2025-03-31,stripe
ORD000756,P01052,visa,captured,1,146.24,2025-03-21,stripe
ORD000303,P00360,paypal,captured,3,409.64,2025-08-30,stripe
ORD001223,P00753,visa,chargeback,1,426.92,2025-09-01,stripe
ORD000307,P00020,visa,captured,2,183.62,2025-01-26,adyen
ORD000450,P00633,mastercard,authorized,1,178.85,2025-09-07,adyen
ORD000112,P00599,apple_pay,captured,2,450.62,2025-11-20,adyen
