unit,shift_id,responder_id,experience_level,rescue_attempts,successful_rescues
Unit Bravo,S00286,R02467,mid,7,4
Unit Bravo,S00287,R04301,senior,8,8
Unit Bravo,S00288,R00335,senior,5,4
Unit Delta,S00289,R03338,mid,5,2
Unit Bravo,S00290,R04117,mid,5,4
Unit Bravo,S00291,R02580,junior,7,2
Unit Delta,S00292,R01117,junior,5,3
Unit Echo,S00293,R03712,junior,5,5
Unit Echo,S00294,R01384,mid,4,3
Unit Bravo,S00295,R01737,mid,6,4
Unit Delta,S00296,R04130,mid,3,2
Unit Bravo,S00297,R04852,junior,11,7
Unit Bravo,S00298,R02177,mid,5,3
Unit Bravo,S00299,R02865,mid,7,7
Unit Delta,S00300,R04878,mid,7,5
Unit Bravo,S00301,R00230,mid,2,2
Unit Echo,S00302,R04550,junior,8,5
Unit Echo,S00303,R00981,junior,9,3
Unit Delta,S00304,R03983,senior,2,2
Unit Echo,S00305,R03333,mid,6,5
Unit Delta,S00306,R01745,mid,10,10
Unit Alpha,S00307,R04557,senior,1,1
Unit Delta,S00308,R00844,junior,7,5
Unit Delta,S00309,R00739,mid,9,7
Unit Delta,S00310,R04841,senior,10,10
Unit Alpha,S00311,R02798,senior,3,2
Unit Alpha,S00312,R04488,junior,9,5
Unit Delta,S00313,R04757,mid,4,2
Unit Alpha,S00314,R04199,mid,6,5
Unit Delta,S00315,R04450,senior,7,7
Unit Echo,S00316,R02672,junior,6,4
Unit Echo,S00317,R04141,junior,7,4
Unit Delta,S00318,R01341,mid,9,8
Unit Echo,S00319,R01822,mid,5,5
Unit Bravo,S00320,R02517,senior,5,5
Unit Delta,S00321,R00917,senior,7,7
Unit Bravo,S00322,R03619,junior,7,5
Unit Delta,S00323,R04422,junior,7,5
Unit Bravo,S00324,R00201,mid,4,4
Unit Echo,S00325,R02714,mid,7,5
Unit Echo,S00326,R00169,mid,9,7
Unit Bravo,S00327,R01154,senior,6,4
Unit Delta,S00328,R00293,mid,5,3
Unit Bravo,S00329,R00831,mid,6,5
Unit Bravo,S00330,R01170,mid,10,6
Unit Alpha,S00331,R04865,junior,5,2
Unit Delta,S00332,R02332,junior,5,4
Unit Alpha,S00333,R00403,junior,4,4
Unit Bravo,S00334,R00536,mid,8,3
Unit Bravo,S00335,R02810,junior,4,4
Unit Echo,S00336,R04632,mid,4,3
Unit Echo,S00337,R00602,mid,5,4
Unit Echo,S00338,R01526,mid,7,5
Unit Bravo,S00339,R00283,mid,9,6
Unit Delta,S00340,R03220,senior,8,7
Unit Echo,S00341,R03850,senior,2,2
Unit Echo,S00342,R02503,mid,4,4
Unit Delta,S00343,R02340,junior,9,6
Unit Echo,S00344,R02580,junior,7,6
Unit Bravo,S00345,R04147,senior,5,4
Unit Delta,S00346,R03984,mid,7,5
Unit Alpha,S00347,R02313,mid,8,7
Unit Echo,S00348,R04832,junior,8,5
Unit Delta,S00349,R00522,senior,8,8
Unit Bravo,S00350,R02022,mid,7,6
Unit Delta,S00351,R00980,junior,5,3
Unit Echo,S00352,R04279,junior,3,2
Unit Alpha,S00353,R03634,senior,7,6
Unit Bravo,S00354,R01028,junior,6,3
Unit Echo,S00355,R00509,mid,5,3
Unit Bravo,S00356,R03528,junior,8,4
Unit Alpha,S00357,R00715,junior,8,4
Unit Echo,S00358,R03207,junior,8,5
Unit Echo,S00359,R01633,junior,8,3
Unit Bravo,S00360,R02469,senior,5,3
Unit Echo,S00361,R04807,mid,4,4
Unit Delta,S00362,R00890,mid,6,5
Unit Alpha,S00363,R00615,senior,4,3
Unit Echo,S00364,R04830,senior,6,6
Unit Echo,S00365,R03058,mid,4,3
Unit Alpha,S00366,R03220,junior,7,3
Unit Bravo,S00367,R03465,senior,6,6
Unit Alpha,S00368,R01768,junior,3,3
Unit Alpha,S00369,R03023,junior,4,3
Unit Delta,S00370,R01845,mid,8,5
Unit Echo,S00371,R03602,mid,7,4
Unit Bravo,S00372,R01710,senior,8,7
Unit Echo,S00373,R00826,mid,5,2
Unit Delta,S00374,R02966,mid,5,5
Unit Delta,S00375,R00374,junior,6,2
Unit Delta,S00376,R00073,mid,6,4
Unit Echo,S00377,R03720,senior,3,3
Unit Echo,S00378,R02751,junior,6,5
Unit Echo,S00379,R02668,mid,5,3
Unit Echo,S00380,R02266,mid,4,4
Unit Delta,S00381,R00116,junior,2,1
Unit Delta,S00382,R01943,mid,4,3
Unit Echo,S00383,R04287,senior,4,4
Unit Delta,S00384,R03392,junior,6,1
Unit Bravo,S00385,R00826,mid,5,4
Unit Delta,S00386,R02334,junior,5,3
Unit Echo,S00387,R02461,junior,4,1
Unit Bravo,S00388,R03066,senior,9,8
Unit Bravo,S00389,R04696,junior,3,0
Unit Alpha,S00390,R04979,mid,6,5
Unit Delta,S00391,R04951,senior,4,4
Unit Bravo,S00392,R00727,junior,5,4
Unit Delta,S00393,R03280,senior,7,7
Unit Echo,S00394,R02866,senior,4,4
Unit Bravo,S00395,R01490,senior,6,5
Unit Bravo,S00396,R04191,junior,6,3
Unit Echo,S00397,R03543,senior,5,5
Unit Echo,S00398,R04521,junior,10,5
Unit Bravo,S00399,R03579,mid,6,5
Unit Bravo,S00400,R04027,mid,5,4
Unit Echo,S00401,R01302,mid,4,1
Unit Alpha,S00402,R04773,mid,8,6
Unit Bravo,S00403,R03558,mid,8,7
Unit Bravo,S00404,R03119,senior,5,5
Unit Bravo,S00405,R03863,junior,4,2
Unit Delta,S00406,R03184,junior,6,0
Unit Delta,S00407,R02022,junior,6,2
Unit Bravo,S00408,R04132,junior,7,4
Unit Alpha,S00409,R04310,mid,8,6
Unit Bravo,S00410,R03375,junior,2,1
Unit Bravo,S00411,R02148,mid,7,6
Unit Delta,S00412,R01262,junior,9,5
Unit Alpha,S00413,R00941,mid,4,3
Unit Delta,S00414,R04283,junior,6,5
Unit Bravo,S00415,R01373,mid,9,5
Unit Delta,S00416,R02422,junior,5,2
Unit Alpha,S00417,R03098,junior,5,4
Unit Alpha,S00418,R03986,junior,7,4
Unit Echo,S00419,R04072,junior,5,3
Unit Bravo,S00420,R00475,junior,5,2
Unit Bravo,S00421,R03252,senior,4,2
Unit Bravo,S00422,R02155,mid,5,4
Unit Echo,S00423,R01897,mid,8,6
Unit Echo,S00424,R01619,mid,8,3
Unit Echo,S00425,R00005,mid,9,8
Unit Alpha,S00426,R01788,mid,10,8
Unit Delta,S00427,R02214,mid,8,6
Unit Bravo,S00428,R02985,mid,7,6
Unit Echo,S00429,R02268,mid,5,5
Unit Alpha,S00430,R01756,junior,6,2
Unit Delta,S00431,R04355,junior,3,2
Unit Bravo,S00432,R02302,mid,6,5
Unit Echo,S00433,R03942,senior,4,4
Unit Bravo,S00434,R02771,junior,4,4
Unit Delta,S00435,R03187,senior,11,10
Unit Alpha,S00436,R03111,junior,6,3
Unit Alpha,S00437,R03722,mid,6,4
Unit Bravo,S00438,R00361,senior,6,3
Unit Echo,S00439,R02860,senior,4,3
Unit Echo,S00440,R00321,mid,5,4
Unit Echo,S00441,R04345,mid,7,6
Unit Bravo,S00442,R00907,junior,5,3
Unit Bravo,S00443,R03292,mid,9,5
Unit Bravo,S00444,R04918,mid,8,7
Unit Alpha,S00445,R01528,junior,4,4
Unit Bravo,S00446,R02615,junior,9,6
Unit Echo,S00447,R02648,mid,4,4
Unit Bravo,S00448,R01617,senior,5,3
Unit Alpha,S00449,R03147,mid,4,3
Unit Bravo,S00450,R00238,mid,5,4
Unit Delta,S00451,R00866,junior,8,6
Unit Echo,S00452,R02956,senior,3,1
Unit Alpha,S00453,R02079,mid,8,7
Unit Echo,S00454,R02730,junior,2,2
Unit Echo,S00455,R04562,junior,7,5
Unit Echo,S00456,R03328,mid,5,4
Unit Bravo,S00457,R01652,junior,6,3
Unit Alpha,S00458,R02987,junior,6,3
Unit Echo,S00459,R01414,mid,5,4
Unit Echo,S00460,R01972,mid,5,1
Unit Bravo,S00461,R03239,senior,4,4
Unit Bravo,S00462,R04429,mid,5,5
Unit Echo,S00463,R00690,junior,6,4
Unit Echo,S00464,R01446,senior,7,6
Unit Delta,S00465,R01249,mid,8,6
Unit Bravo,S00466,R04464,mid,3,1
Unit Delta,S00467,R02339,junior,7,3
Unit Delta,S00468,R02296,senior,6,6
Unit Echo,S00469,R00510,junior,4,2
Unit Bravo,S00470,R00968,mid,4,4
Unit Bravo,S00471,R04501,senior,7,5
Unit Echo,S00472,R00317,junior,7,1
Unit Alpha,S00473,R01558,senior,7,7
Unit Bravo,S00474,R02153,junior,4,1
Unit Bravo,S00475,R02377,senior,2,1
Unit Bravo,S00476,R00640,mid,6,4
Unit Echo,S00477,R02903,mid,4,3
Unit Bravo,S00478,R03676,junior,7,3
Unit Bravo,S00479,R03461,mid,7,4
Unit Delta,S00480,R00662,junior,7,4
Unit Bravo,S00481,R00078,junior,5,3
Unit Alpha,S00482,R01953,junior,4,2
Unit Bravo,S00483,R03355,senior,5,5
Unit Alpha,S00484,R00173,junior,3,1
Unit Delta,S00485,R04923,mid,8,6
Unit Delta,S00486,R03700,mid,7,5
Unit Alpha,S00487,R04214,mid,7,7
Unit Alpha,S00488,R00306,junior,9,4
Unit Delta,S00489,R02381,senior,4,4
Unit Delta,S00490,R01269,junior,5,2
Unit Delta,S00491,R00683,mid,5,5
Unit Echo,S00492,R00705,junior,6,4
Unit Delta,S00493,R03169,senior,6,6
Unit Bravo,S00494,R00673,junior,5,2
Unit Alpha,S00495,R00503,mid,6,3
Unit Delta,S00496,R02468,senior,2,2
Unit Bravo,S00497,R04280,mid,7,6
Unit Alpha,S00498,R00736,junior,4,2
Unit Alpha,S00499,R02516,mid,9,8
Unit Echo,S00500,R02797,senior,4,3
Unit Alpha,S00501,R03210,mid,8,6
Unit Bravo,S00502,R02580,junior,8,3
Unit Echo,S00503,R01090,junior,4,1
Unit Delta,S00504,R00919,mid,9,7
Unit Echo,S00505,R02385,mid,4,3
Unit Bravo,S00506,R00878,senior,9,8
Unit Alpha,S00507,R01079,mid,8,8
Unit Delta,S00508,R01339,senior,5,5
Unit Alpha,S00509,R00373,mid,7,6
Unit Delta,S00510,R01069,mid,9,8
Unit Delta,S00511,R02458,senior,7,6
Unit Bravo,S00512,R04621,mid,4,3
Unit Delta,S00513,R02613,mid,3,1
Unit Echo,S00514,R04162,junior,5,5
Unit Echo,S00515,R04499,mid,4,2
Unit Delta,S00516,R02930,senior,8,7
Unit Delta,S00517,R02093,senior,5,5
Unit Bravo,S00518,R01202,junior,4,2
Unit Alpha,S00519,R02990,mid,4,4
Unit Alpha,S00520,R04791,junior,7,3
Unit Echo,S00521,R03530,junior,4,1
Unit Bravo,S00522,R04662,senior,4,4
Unit Bravo,S00523,R03344,junior,4,1
Unit Echo,S00524,R01867,junior,2,1
Unit Echo,S00525,R01669,junior,7,4
Unit Echo,S00526,R00093,senior,8,6
Unit Bravo,S00527,R04341,junior,5,1
Unit Delta,S00528,R00808,senior,6,5
Unit Delta,S00529,R03814,junior,2,1
Unit Bravo,S00530,R02364,mid,9,6
Unit Delta,S00531,R01874,mid,9,5
Unit Echo,S00532,R02599,junior,4,3
Unit Bravo,S00533,R03863,senior,4,2
Unit Echo,S00534,R01892,mid,8,8
Unit Bravo,S00535,R03746,junior,6,3
Unit Echo,S00536,R02571,senior,9,9
Unit Alpha,S00537,R02166,mid,11,10
Unit Alpha,S00538,R00989,junior,7,4
Unit Bravo,S00539,R02134,mid,2,1
Unit Alpha,S00540,R02858,mid,4,3
Unit Delta,S00541,R02150,junior,7,4
Unit Delta,S00542,R01145,junior,8,5
Unit Alpha,S00543,R02645,mid,4,4
Unit Bravo,S00544,R02201,senior,4,4
Unit Delta,S00545,R01671,senior,8,8
Unit Alpha,S00546,R04915,junior,4,2
Unit Bravo,S00547,R02287,senior,9,7
Unit Alpha,S00548,R02217,senior,3,3
Unit Bravo,S00549,R03636,junior,5,2
Unit Delta,S00550,R01486,mid,8,5
Unit Delta,S00551,R03655,junior,6,3
Unit Bravo,S00552,R01243,junior,9,4
Unit Echo,S00553,R03455,junior,3,1
Unit Delta,S00554,R04318,senior,5,5
Unit Alpha,S00555,R04106,mid,4,3
Unit Alpha,S00556,R04130,mid,7,5
Unit Alpha,S00557,R04404,junior,5,2
Unit Bravo,S00558,R04260,senior,3,3
Unit Alpha,S00559,R00358,mid,6,5
Unit Alpha,S00560,R01201,senior,2,2
Unit Bravo,S00561,R01649,junior,3,2
Unit Bravo,S00562,R00649,senior,6,5
Unit Bravo,S00563,R00310,mid,9,6
Unit Alpha,S00564,R01541,mid,3,3
Unit Delta,S00565,R02764,junior,5,3
Unit Echo,S00566,R00082,senior,5,5
Unit Bravo,S00567,R00214,mid,6,3
Unit Delta,S00568,R02409,senior,10,10
Unit Bravo,S00569,R01541,junior,8,6
Unit Echo,S00570,R01581,junior,8,4
Unit Echo,S00571,R00886,senior,8,6
Unit Bravo,S00572,R03710,senior,8,8
Unit Bravo,S00573,R01665,senior,7,4
Unit Delta,S00574,R02846,junior,9,6
Unit Delta,S00575,R04662,mid,1,1
Unit Echo,S00576,R04820,mid,5,5
Unit Bravo,S00577,R01785,junior,5,1
Unit Alpha,S00578,R04610,junior,7,6
Unit Alpha,S00579,R00655,mid,6,3
Unit Echo,S00580,R03138,senior,5,4
Unit Alpha,S00581,R00901,senior,6,6
Unit Delta,S00582,R01700,mid,6,2
Unit Delta,S00583,R01058,senior,5,5
Unit Alpha,S00584,R02787,mid,1,1
Unit Echo,S00585,R00726,junior,2,2
Unit Alpha,S00586,R00016,junior,6,3
Unit Echo,S00587,R02846,mid,4,4
Unit Bravo,S00588,R01476,senior,6,6
Unit Echo,S00589,R04437,junior,6,6
Unit Alpha,S00590,R03774,junior,1,0
Unit Delta,S00591,R01763,mid,5,4
Unit Delta,S00592,R04365,senior,7,7
Unit Alpha,S00593,R01516,junior,5,2
Unit Alpha,S00594,R00946,junior,12,4
Unit Delta,S00595,R01018,mid,5,4
Unit Echo,S00596,R02254,junior,4,2
Unit Bravo,S00597,R00159,mid,6,3
Unit Delta,S00598,R00603,mid,9,8
Unit Delta,S00599,R02362,junior,7,6
Unit Echo,S00600,R01737,mid,9,6
Unit Alpha,S00601,R00199,junior,5,3
Unit Alpha,S00602,R00048,junior,3,2
Unit Alpha,S00603,R01433,mid,5,2
Unit Echo,S00604,R01202,mid,9,7
Unit Alpha,S00605,R04144,mid,3,1
Unit Alpha,S00606,R03677,junior,4,1
Unit Alpha,S00607,R00121,mid,2,1
Unit Alpha,S00608,R04752,mid,5,4
Unit Delta,S00609,R01806,junior,5,3
Unit Alpha,S00610,R01132,junior,8,2
Unit Delta,S00611,R02035,junior,6,2
Unit Alpha,S00612,R02247,senior,7,6
Unit Delta,S00613,R03777,junior,4,3
Unit Echo,S00614,R04556,mid,8,6
Unit Echo,S00615,R01684,junior,7,3
Unit Bravo,S00616,R03809,mid,3,3
Unit Alpha,S00617,R04516,junior,4,1
Unit Echo,S00618,R04537,junior,7,2
