training_center,course_id,participant_id,difficulty_level,score
Mountain Base,C062,P04712,hard,72.2
Mountain Base,C063,P01491,hard,51.0
Forest Edge,C038,P04050,medium,81.7
Mountain Base,C063,P03955,hard,72.8
North Ridge,C019,P00238,easy,68.4
Desert Camp,C025,P04905,medium,67.3
North Ridge,C012,P03554,medium,84.3
Forest Edge,C040,P03698,medium,81.1
North Ridge,C004,P01064,hard,59.3
Forest Edge,C054,P05774,easy,76.5
North Ridge,C010,P00138,medium,76.1
Desert Camp,C027,P00763,easy,87.4
Mountain Base,C074,P03207,medium,66.3
Desert Camp,C032,P04970,medium,64.1
Forest Edge,C037,P04821,easy,73.5
Forest Edge,C037,P05183,easy,83.6
North Ridge,C018,P02862,hard,59.6
Mountain Base,C067,P01671,easy,62.5
Forest Edge,C044,P02081,medium,90.5
Mountain Base,C073,P05318,medium,61.7
Mountain Base,C060,P03931,medium,68.3
North Ridge,C019,P05337,easy,92.1
North Ridge,C014,P03295,easy,86.4
North Ridge,C002,P00704,medium,66.6
North Ridge,C010,P01811,medium,77.7
Mountain Base,C060,P01709,medium,56.6
Mountain Base,C072,P02000,easy,70.0
North Ridge,C015,P03879,hard,62.3
Mountain Base,C064,P01011,hard,63.0
Desert Camp,C021,P02708,easy,98.7
Mountain Base,C067,P00698,easy,69.2
North Ridge,C008,P00449,easy,92.7
North Ridge,C017,P05201,medium,57.3
Mountain Base,C064,P03385,hard,79.4
Mountain Base,C064,P01400,hard,62.2
Desert Camp,C022,P01529,medium,69.8
North Ridge,C016,P04101,easy,72.7
North Ridge,C005,P05550,medium,61.5
North Ridge,C011,P05492,hard,56.9
Mountain Base,C065,P03162,medium,71.8
Forest Edge,C039,P03643,medium,66.1
North Ridge,C013,P05094,easy,79.5
Mountain Base,C073,P02053,medium,58.6
North Ridge,C011,P00311,hard,60.5
Mountain Base,C065,P00245,medium,70.9
Desert Camp,C027,P05712,easy,77.6
Mountain Base,C067,P00281,easy,91.5
Desert Camp,C031,P03960,hard,59.3
Forest Edge,C055,P05533,medium,60.8
Mountain Base,C067,P05980,easy,56.6
Mountain Base,C059,P05040,medium,64.6
Forest Edge,C056,P00923,medium,82.0
North Ridge,C002,P00955,medium,73.3
Desert Camp,C031,P02692,hard,67.1
North Ridge,C010,P00529,medium,78.5
Mountain Base,C057,P05382,medium,58.5
Forest Edge,C051,P02103,medium,71.7
Forest Edge,C036,P02546,medium,65.4
Desert Camp,C028,P00160,easy,85.4
Mountain Base,C059,P02053,medium,51.1
North Ridge,C015,P04766,hard,59.4
Mountain Base,C073,P00782,medium,66.2
Forest Edge,C036,P02952,medium,72.9
North Ridge,C009,P03380,medium,75.1
Desert Camp,C029,P04338,medium,61.9
Forest Edge,C051,P05658,medium,58.5
Forest Edge,C056,P05950,medium,65.4
Forest Edge,C036,P04162,medium,74.0
Forest Edge,C056,P04627,medium,75.8
Forest Edge,C037,P03424,easy,83.5
Mountain Base,C071,P02191,medium,85.4
Mountain Base,C072,P04170,easy,92.9
Forest Edge,C051,P01010,medium,54.3
Forest Edge,C043,P03699,medium,68.7
Forest Edge,C037,P00016,easy,70.8
Desert Camp,C030,P04497,medium,62.0
North Ridge,C010,P02573,medium,70.2
Mountain Base,C070,P03523,medium,70.1
Mountain Base,C072,P04301,easy,69.7
North Ridge,C004,P03350,hard,59.1
Forest Edge,C042,P02045,medium,59.7
Forest Edge,C035,P00710,medium,71.6
North Ridge,C015,P02064,hard,56.4
North Ridge,C001,P04205,medium,70.7
Desert Camp,C023,P02457,hard,82.4
Forest Edge,C043,P04386,medium,66.3
Desert Camp,C028,P05108,easy,94.5
Forest Edge,C055,P02595,medium,58.3
North Ridge,C004,P03064,hard,61.8
Desert Camp,C021,P03881,easy,95.2
North Ridge,C008,P05054,easy,76.3
Forest Edge,C041,P02161,medium,84.0
Mountain Base,C058,P00819,easy,69.4
Forest Edge,C040,P00851,medium,70.1
Mountain Base,C057,P02640,medium,87.0
Desert Camp,C028,P02999,easy,77.3
North Ridge,C004,P05515,hard,58.5
Mountain Base,C070,P02295,medium,80.1
Mountain Base,C062,P03967,hard,62.9
Forest Edge,C056,P02071,medium,86.0
North Ridge,C012,P03567,medium,71.4
Mountain Base,C060,P01158,medium,63.6
Mountain Base,C060,P05430,medium,68.3
North Ridge,C011,P03127,hard,59.1
Forest Edge,C054,P03982,easy,72.8
Mountain Base,C075,P02569,medium,58.8
Desert Camp,C027,P02050,easy,76.2
North Ridge,C010,P01067,medium,51.3
Mountain Base,C066,P03435,hard,55.6
North Ridge,C007,P01533,easy,79.5
Forest Edge,C049,P04308,medium,47.5
Mountain Base,C062,P04902,hard,62.1
Forest Edge,C035,P04846,medium,82.7
Mountain Base,C061,P03837,easy,48.6
Forest Edge,C050,P05505,medium,76.4
Mountain Base,C075,P01759,medium,60.7
Mountain Base,C072,P05055,easy,72.4
Forest Edge,C055,P03674,medium,73.6
Mountain Base,C067,P03032,easy,67.5
Mountain Base,C064,P05208,hard,64.3
North Ridge,C011,P00783,hard,54.0
Desert Camp,C031,P00460,hard,40.6
Mountain Base,C061,P04077,easy,83.3
Mountain Base,C070,P04655,medium,84.2
North Ridge,C018,P03685,hard,60.2
Mountain Base,C071,P02705,medium,72.7
Forest Edge,C037,P03961,easy,76.9
North Ridge,C012,P00395,medium,74.6
Forest Edge,C048,P01866,medium,66.8
Forest Edge,C036,P04923,medium,50.5
Desert Camp,C029,P01196,medium,47.1
Desert Camp,C020,P01948,hard,64.4
Forest Edge,C042,P02651,medium,70.1
North Ridge,C008,P04334,easy,66.3
Forest Edge,C052,P02366,medium,85.3
Mountain Base,C063,P04038,hard,55.2
North Ridge,C004,P05291,hard,79.1
Mountain Base,C075,P03528,medium,84.9
Desert Camp,C031,P01461,hard,53.6
Forest Edge,C049,P03523,medium,82.1
Mountain Base,C068,P05487,medium,70.3
Mountain Base,C060,P00181,medium,72.9
Forest Edge,C054,P04873,easy,83.5
Forest Edge,C052,P02338,medium,71.4
Forest Edge,C046,P00446,easy,86.9
North Ridge,C011,P00406,hard,65.9
Forest Edge,C039,P02877,medium,79.2
Desert Camp,C033,P00134,easy,74.1
Desert Camp,C031,P03134,hard,65.9
Desert Camp,C023,P00656,hard,62.7
Desert Camp,C021,P02955,easy,78.5
North Ridge,C017,P02353,medium,67.1
Forest Edge,C044,P04226,medium,73.4
Forest Edge,C038,P05400,medium,62.8
North Ridge,C006,P04736,medium,68.2
Mountain Base,C074,P04276,medium,77.1
North Ridge,C016,P05556,easy,64.7
Desert Camp,C024,P00434,medium,75.2
Desert Camp,C020,P04810,hard,53.6
North Ridge,C001,P02223,medium,86.3
Desert Camp,C028,P02711,easy,67.8
Forest Edge,C047,P00982,medium,78.1
North Ridge,C006,P05643,medium,89.9
North Ridge,C004,P05994,hard,62.7
Mountain Base,C073,P01615,medium,79.2
Forest Edge,C050,P04104,medium,67.3
Forest Edge,C042,P05419,medium,63.6
Forest Edge,C044,P00996,medium,78.1
Desert Camp,C030,P02724,medium,96.5
Mountain Base,C066,P03909,hard,62.3
Mountain Base,C072,P04609,easy,68.9
North Ridge,C010,P05393,medium,76.1
Forest Edge,C048,P00873,medium,79.0
North Ridge,C003,P00198,medium,72.0
North Ridge,C001,P00668,medium,72.0
Forest Edge,C051,P03205,medium,71.5
Forest Edge,C040,P00703,medium,72.4
Desert Camp,C030,P03688,medium,74.2
Desert Camp,C020,P03215,hard,54.8
Desert Camp,C022,P01770,medium,58.5
Forest Edge,C054,P05899,easy,57.6
Forest Edge,C050,P00960,medium,66.7
Mountain Base,C066,P02046,hard,53.7
Forest Edge,C050,P01209,medium,66.1
Mountain Base,C057,P02890,medium,80.8
North Ridge,C008,P01071,easy,78.0
North Ridge,C008,P05252,easy,91.5
Desert Camp,C026,P00464,medium,81.0
Desert Camp,C029,P03181,medium,82.9
Forest Edge,C052,P04294,medium,80.6
Forest Edge,C039,P03691,medium,84.8
Forest Edge,C044,P04951,medium,64.3
Mountain Base,C074,P01656,medium,90.4
North Ridge,C007,P00677,easy,70.3
North Ridge,C002,P03247,medium,51.2
Forest Edge,C041,P02593,medium,82.1
Forest Edge,C050,P02842,medium,67.4
Forest Edge,C055,P01195,medium,65.4
Mountain Base,C070,P02621,medium,78.8
Desert Camp,C026,P04975,medium,72.8
Desert Camp,C028,P00886,easy,77.4
North Ridge,C003,P05318,medium,74.1
Mountain Base,C059,P00832,medium,55.8
North Ridge,C015,P04837,hard,80.0
Forest Edge,C037,P03325,easy,84.7
North Ridge,C018,P04381,hard,48.2
Forest Edge,C040,P00229,medium,72.4
Forest Edge,C049,P03084,medium,60.5
Forest Edge,C054,P02328,easy,76.6
Desert Camp,C029,P04394,medium,80.8
Desert Camp,C027,P04954,easy,75.8
Forest Edge,C040,P04337,medium,89.4
Desert Camp,C034,P04204,medium,76.4
Forest Edge,C043,P05756,medium,83.7
Mountain Base,C068,P02854,medium,78.3
Mountain Base,C069,P05001,medium,80.0
Desert Camp,C025,P03482,medium,89.7
Forest Edge,C040,P05605,medium,68.5
North Ridge,C007,P00405,easy,78.0
Mountain Base,C070,P01815,medium,71.2
North Ridge,C005,P03204,medium,62.4
Desert Camp,C029,P03226,medium,77.7
North Ridge,C013,P01178,easy,69.6
Mountain Base,C066,P04542,hard,58.2
Mountain Base,C068,P00087,medium,58.0
North Ridge,C006,P05378,medium,65.9
Forest Edge,C056,P05595,medium,80.0
North Ridge,C014,P03465,easy,91.2
North Ridge,C014,P03513,easy,89.2
Mountain Base,C074,P00355,medium,75.2
Desert Camp,C021,P05590,easy,83.0
North Ridge,C001,P01132,medium,66.5
North Ridge,C009,P05884,medium,73.0
Mountain Base,C065,P02830,medium,88.7
Mountain Base,C069,P01669,medium,69.2
Desert Camp,C032,P02053,medium,62.8
Mountain Base,C059,P02905,medium,79.7
Desert Camp,C032,P05093,medium,58.7
Desert Camp,C033,P00342,easy,100.0
Mountain Base,C061,P01529,easy,78.2
North Ridge,C017,P01491,medium,81.4
North Ridge,C006,P01576,medium,74.6
North Ridge,C012,P00878,medium,70.6
Forest Edge,C049,P00478,medium,78.0
Forest Edge,C056,P05622,medium,83.8
Desert Camp,C028,P02906,easy,72.4
Forest Edge,C050,P05190,medium,63.0
Desert Camp,C020,P05504,hard,66.3
North Ridge,C012,P01710,medium,75.8
Forest Edge,C047,P03998,medium,79.6
Forest Edge,C051,P04785,medium,56.1
North Ridge,C012,P01539,medium,82.4
Mountain Base,C074,P05110,medium,62.9
North Ridge,C010,P02232,medium,73.6
North Ridge,C007,P01768,easy,94.1
Desert Camp,C027,P05069,easy,71.7
Forest Edge,C038,P02374,medium,73.5
Forest Edge,C054,P01402,easy,66.9
North Ridge,C005,P02007,medium,59.6
Mountain Base,C059,P00185,medium,73.6
Desert Camp,C028,P00030,easy,81.5
North Ridge,C009,P04745,medium,58.3
Mountain Base,C064,P03523,hard,65.5
North Ridge,C013,P03620,easy,70.3
Forest Edge,C048,P03447,medium,75.3
Mountain Base,C074,P01562,medium,55.2
Desert Camp,C020,P05370,hard,66.7
Desert Camp,C032,P00981,medium,72.4
North Ridge,C018,P01862,hard,62.2
Mountain Base,C058,P02873,easy,85.3
Mountain Base,C063,P00646,hard,80.1
North Ridge,C016,P01962,easy,99.2
North Ridge,C018,P03463,hard,53.0
Forest Edge,C040,P01527,medium,70.8
Mountain Base,C070,P02925,medium,76.3
Desert Camp,C023,P05848,hard,61.2
Forest Edge,C038,P05114,medium,68.1
Mountain Base,C060,P05897,medium,66.9
Desert Camp,C027,P02809,easy,81.1
Desert Camp,C023,P04097,hard,57.0
Mountain Base,C068,P02175,medium,75.9
North Ridge,C001,P03193,medium,61.6
Forest Edge,C041,P04651,medium,58.4
Forest Edge,C052,P02078,medium,73.8
Forest Edge,C054,P01267,easy,81.4
North Ridge,C017,P04011,medium,61.9
Mountain Base,C074,P04237,medium,52.0
Desert Camp,C031,P04728,hard,56.2
Desert Camp,C032,P01941,medium,77.9
North Ridge,C014,P05792,easy,72.8
North Ridge,C014,P00411,easy,95.5
Forest Edge,C042,P02894,medium,66.6
Mountain Base,C073,P04345,medium,77.4
North Ridge,C012,P01020,medium,74.6
North Ridge,C012,P01886,medium,58.3
Forest Edge,C037,P03888,easy,96.9
Desert Camp,C024,P01999,medium,67.5
Desert Camp,C027,P05185,easy,86.8
North Ridge,C013,P05807,easy,59.4
North Ridge,C010,P05968,medium,64.5
Desert Camp,C020,P05408,hard,64.3
North Ridge,C014,P01812,easy,82.6
Desert Camp,C026,P00889,medium,61.5
North Ridge,C014,P02003,easy,86.9
Desert Camp,C023,P03131,hard,44.3
Forest Edge,C054,P01436,easy,73.1
Mountain Base,C062,P00827,hard,65.6
Forest Edge,C050,P05440,medium,65.8
Forest Edge,C046,P00603,easy,73.2
Desert Camp,C024,P00865,medium,67.0
Mountain Base,C059,P03811,medium,82.7
Desert Camp,C023,P01904,hard,61.8
North Ridge,C008,P05678,easy,86.7
North Ridge,C007,P05600,easy,86.2
Desert Camp,C024,P00833,medium,59.7
North Ridge,C017,P04599,medium,65.0
Mountain Base,C064,P03431,hard,50.8
Mountain Base,C059,P05577,medium,65.9
Forest Edge,C048,P01093,medium,73.1
North Ridge,C018,P02045,hard,76.0
Mountain Base,C072,P02424,easy,77.9
North Ridge,C018,P04821,hard,61.2
Mountain Base,C070,P01284,medium,60.5
Desert Camp,C020,P01840,hard,64.9
Forest Edge,C046,P04436,easy,78.0
North Ridge,C003,P00038,medium,52.0
Desert Camp,C030,P02331,medium,68.7
Desert Camp,C024,P03035,medium,69.4
Mountain Base,C060,P00212,medium,78.3
Mountain Base,C060,P05831,medium,70.2
Forest Edge,C052,P04813,medium,87.2
Forest Edge,C042,P02259,medium,55.5
Mountain Base,C075,P05608,medium,86.1
Desert Camp,C031,P01384,hard,44.2
Mountain Base,C061,P01963,easy,100.0
North Ridge,C015,P04122,hard,70.2
Mountain Base,C066,P05444,hard,62.0
Forest Edge,C040,P05945,medium,72.6
Desert Camp,C030,P03393,medium,66.8
North Ridge,C015,P05551,hard,62.4
Mountain Base,C057,P01671,medium,78.9
Desert Camp,C024,P01371,medium,58.1
Desert Camp,C023,P04757,hard,66.9
Mountain Base,C062,P04742,hard,53.4
North Ridge,C007,P00265,easy,81.0
Desert Camp,C032,P00708,medium,83.2
North Ridge,C006,P05108,medium,60.8
Mountain Base,C074,P04458,medium,91.3
North Ridge,C003,P00666,medium,57.6
Forest Edge,C050,P00354,medium,75.3
Forest Edge,C043,P05971,medium,61.8
Forest Edge,C045,P02687,hard,61.6
Forest Edge,C053,P01397,easy,73.6
North Ridge,C005,P01370,medium,51.2
Desert Camp,C033,P02594,easy,79.2
Mountain Base,C065,P05917,medium,72.4
North Ridge,C004,P04263,hard,63.3
Mountain Base,C062,P00022,hard,78.0
North Ridge,C010,P05511,medium,93.2
Desert Camp,C024,P05957,medium,76.1
Mountain Base,C071,P03915,medium,61.9
Forest Edge,C041,P03930,medium,53.7
Mountain Base,C075,P00042,medium,74.3
Mountain Base,C071,P00687,medium,57.1
Desert Camp,C028,P03193,easy,66.7
North Ridge,C016,P00718,easy,83.8
Mountain Base,C063,P04689,hard,64.8
North Ridge,C002,P02571,medium,58.5
Forest Edge,C046,P00473,easy,93.9
Forest Edge,C053,P04375,easy,76.9
Mountain Base,C072,P01720,easy,84.2
North Ridge,C011,P04727,hard,50.3
North Ridge,C014,P02645,easy,84.3
Desert Camp,C023,P00365,hard,56.6
Forest Edge,C043,P04824,medium,78.7
North Ridge,C006,P04205,medium,61.5
Mountain Base,C057,P03125,medium,31.5
North Ridge,C007,P04829,easy,77.3
North Ridge,C001,P04575,medium,66.0
Mountain Base,C073,P04561,medium,69.1
Mountain Base,C068,P00757,medium,70.1
North Ridge,C017,P02393,medium,64.7
Desert Camp,C023,P05571,hard,79.2
Mountain Base,C073,P04260,medium,75.0
Desert Camp,C022,P02210,medium,73.8
North Ridge,C009,P05731,medium,72.8
Forest Edge,C052,P05203,medium,69.1
North Ridge,C018,P02842,hard,68.4
Forest Edge,C044,P00357,medium,58.1
Forest Edge,C054,P03409,easy,68.8
North Ridge,C001,P05077,medium,66.0
Forest Edge,C044,P02641,medium,82.0
Desert Camp,C022,P00459,medium,70.7
Mountain Base,C074,P01325,medium,75.0
Forest Edge,C048,P03497,medium,65.1
North Ridge,C014,P04463,easy,65.3
Mountain Base,C070,P00416,medium,62.2
Desert Camp,C028,P05497,easy,80.8
North Ridge,C009,P05576,medium,81.2
North Ridge,C009,P03719,medium,61.6
Desert Camp,C020,P04329,hard,56.5
Mountain Base,C059,P00526,medium,70.9
North Ridge,C010,P01446,medium,79.9
Forest Edge,C039,P02132,medium,72.0
Forest Edge,C047,P01841,medium,59.9
Mountain Base,C067,P05118,easy,79.8
Mountain Base,C065,P03081,medium,73.1
Desert Camp,C033,P03028,easy,76.8
Mountain Base,C069,P01108,medium,43.0
Forest Edge,C036,P01946,medium,70.7
North Ridge,C018,P05511,hard,56.6
North Ridge,C018,P02260,hard,54.5
Desert Camp,C028,P00085,easy,66.8
North Ridge,C017,P01871,medium,80.7
Mountain Base,C071,P00404,medium,84.1
Mountain Base,C059,P04614,medium,68.4
Desert Camp,C021,P02041,easy,62.8
North Ridge,C010,P01606,medium,66.1
Desert Camp,C028,P00750,easy,88.2
Forest Edge,C041,P04024,medium,71.9
Forest Edge,C046,P02179,easy,79.5
Mountain Base,C075,P04946,medium,65.5
Forest Edge,C048,P03140,medium,81.3
Forest Edge,C036,P00092,medium,72.0
Mountain Base,C072,P00789,easy,71.5
North Ridge,C011,P04735,hard,56.6
Forest Edge,C043,P03492,medium,64.4
Mountain Base,C068,P03335,medium,75.0
North Ridge,C015,P01939,hard,47.5
Forest Edge,C050,P05523,medium,82.2
Forest Edge,C044,P02444,medium,68.2
North Ridge,C006,P04220,medium,76.3
Mountain Base,C062,P03954,hard,48.5
Forest Edge,C047,P00437,medium,79.6
Forest Edge,C054,P02984,easy,92.7
Desert Camp,C028,P04323,easy,74.3
Forest Edge,C050,P01402,medium,76.8
Forest Edge,C055,P05179,medium,59.4
Desert Camp,C024,P00678,medium,61.5
Forest Edge,C038,P04343,medium,79.0
Forest Edge,C043,P03344,medium,68.5
Mountain Base,C071,P03150,medium,72.4
North Ridge,C001,P00191,medium,79.2
Forest Edge,C044,P02368,medium,92.8
North Ridge,C003,P00330,medium,60.4
Mountain Base,C064,P04917,hard,47.4
Desert Camp,C020,P03987,hard,55.5
Forest Edge,C036,P04823,medium,85.0
North Ridge,C011,P00641,hard,52.5
Desert Camp,C024,P00804,medium,83.9
Mountain Base,C058,P03648,easy,65.7
North Ridge,C004,P00714,hard,53.2
North Ridge,C012,P04453,medium,85.4
North Ridge,C004,P04723,hard,58.8
Forest Edge,C048,P01315,medium,66.1
Forest Edge,C054,P02867,easy,76.1
Mountain Base,C062,P03351,hard,56.4
Forest Edge,C049,P05544,medium,77.3
Mountain Base,C073,P05711,medium,57.0
Forest Edge,C047,P02969,medium,62.4
North Ridge,C017,P05080,medium,96.8
Forest Edge,C045,P00894,hard,64.1
Mountain Base,C065,P05416,medium,89.2
Mountain Base,C074,P02239,medium,84.8
Desert Camp,C021,P00861,easy,74.5
Forest Edge,C055,P04668,medium,59.3
Mountain Base,C074,P05219,medium,61.1
Forest Edge,C035,P04914,medium,59.6
Mountain Base,C062,P03691,hard,65.1
Desert Camp,C020,P04338,hard,54.7
North Ridge,C008,P05880,easy,79.8
Forest Edge,C051,P03920,medium,69.6
Mountain Base,C064,P03782,hard,60.4
Forest Edge,C052,P04920,medium,65.2
Desert Camp,C023,P05490,hard,47.3
Desert Camp,C033,P02003,easy,60.0
Desert Camp,C022,P03488,medium,52.6
North Ridge,C005,P05777,medium,65.5
Mountain Base,C065,P05195,medium,55.5
Forest Edge,C048,P04163,medium,82.0
North Ridge,C015,P05080,hard,43.9
Forest Edge,C045,P02895,hard,62.5
Forest Edge,C046,P05067,easy,73.2
Forest Edge,C042,P00685,medium,81.5
Desert Camp,C020,P04112,hard,75.6
Desert Camp,C023,P01418,hard,57.0
Forest Edge,C043,P02146,medium,54.2
North Ridge,C018,P03280,hard,64.5
Forest Edge,C035,P01565,medium,75.3
North Ridge,C017,P00393,medium,73.4
Forest Edge,C054,P02060,easy,86.2
Desert Camp,C033,P03506,easy,70.6
Mountain Base,C058,P02228,easy,85.4
Mountain Base,C066,P00855,hard,55.7
Mountain Base,C064,P04751,hard,57.1
Desert Camp,C024,P02972,medium,54.2
Desert Camp,C033,P04877,easy,78.1
North Ridge,C019,P02813,easy,73.3
