account_id,region_code,ticket_id,ticket_open_date,issue_type
30093,SE,90280,2025-02-19,Other
30093,SE,90281,2025-11-15,Other
30094,NE,90282,2025-04-02,Login
30094,NE,90283,2025-03-16,Other
30094,NE,90284,2025-02-22,Login
30094,SE,90285,2025-03-08,Billing
30095,SE,90286,2025-12-27,Other
30096,NE,90287,2025-05-04,Feature Request
30096,NE,90288,2025-07-31,Feature Request
30096,NE,90289,2025-05-14,Login
30096,MW,90290,2025-06-27,Bug
30097,NE,90291,2025-12-03,Login
30098,SW,90292,2025-11-23,Feature Request
30098,SW,90293,2025-08-24,Feature Request
30098,SW,90294,2025-03-01,Other
30098,SW,90295,2025-06-30,Login
30098,SW,90296,2025-11-11,Login
30099,SW,90297,2025-08-11,Other
30100,SW,90298,2025-12-02,Feature Request
30100,SW,90299,2025-08-25,Other
30100,SW,90300,2025-12-05,Feature Request
30100,SW,90301,2025-09-23,Feature Request
30100,SW,90302,2025-09-05,Bug
30101,MW,90303,2025-12-26,Feature Request
30101,W,90304,2025-04-13,Bug
30102,SE,90305,2025-08-01,Other
30102,SE,90306,2025-03-02,Bug
30102,SE,90307,2025-12-28,Feature Request
30103,SW,90308,2025-11-07,Login
30103,SW,90309,2025-11-02,Other
30103,NE,90310,2025-01-13,Login
30103,NE,90311,2025-08-12,Bug
30104,MW,90312,2025-05-09,Login
30104,MW,90313,2025-05-02,Bug
30104,NE,90314,2025-03-24,Other
30104,NE,90315,2025-07-01,Feature Request
30104,NE,90316,2025-04-14,Bug
30104,W,90317,2025-04-03,Other
30105,SW,90318,2025-10-19,Bug
30106,W,90319,2025-01-25,Bug
30107,W,90320,2025-04-19,Other
30107,W,90321,2025-09-08,Billing
30107,MW,90322,2025-07-22,Billing
30108,NE,90323,2025-06-24,Bug
30109,NE,90324,2025-06-19,Billing
30109,NE,90325,2025-05-14,Billing
30110,NE,90326,2025-12-28,Login
30111,SE,90327,2025-10-23,Billing
30112,SW,90328,2025-03-19,Billing
30112,SW,90329,2025-10-16,Billing
30112,NE,90330,2025-03-03,Feature Request
30112,W,90331,2025-05-06,Login
30112,W,90332,2025-03-29,Other
30112,W,90333,2025-06-28,Other
30113,NE,90334,2025-03-01,Feature Request
30113,NE,90335,2025-09-06,Login
30113,MW,90336,2025-09-26,Feature Request
30114,MW,90337,2025-04-22,Feature Request
30114,MW,90338,2025-08-03,Bug
30114,SW,90339,2025-04-23,Login
30115,MW,90340,2025-11-03,Feature Request
30115,MW,90341,2025-12-03,Billing
30115,MW,90342,2025-10-31,Bug
30115,SW,90343,2025-05-04,Other
30115,SW,90344,2025-01-26,Bug
30115,SW,90345,2025-12-02,Login
30115,SW,90346,2025-05-30,Login
30115,SW,90347,2025-07-24,Feature Request
30116,W,90348,2025-10-12,Billing
30116,W,90349,2025-09-15,Bug
30116,MW,90350,2025-07-03,Bug
30116,MW,90351,2025-06-09,Feature Request
30117,SE,90352,2025-03-29,Login
30118,SW,90353,2025-07-03,Login
30118,MW,90354,2025-09-01,Billing
30118,MW,90355,2025-03-27,Billing
30118,MW,90356,2025-06-13,Login
30119,MW,90357,2025-08-26,Feature Request
30119,SW,90358,2025-11-02,Billing
30120,W,90359,2025-08-25,Feature Request
30120,SE,90360,2025-12-05,Bug
30120,SE,90361,2025-06-29,Billing
30121,SE,90362,2025-10-12,Other
30121,MW,90363,2025-03-26,Bug
30121,MW,90364,2025-01-05,Feature Request
30121,MW,90365,2025-09-10,Login
30121,MW,90366,2025-05-10,Login
30122,MW,90367,2025-05-18,Feature Request
30123,NE,90368,2025-11-22,Bug
30124,SE,90369,2025-06-12,Billing
30124,SE,90370,2025-09-10,Login
30125,SW,90371,2025-01-20,Other
30126,SW,90372,2025-06-12,Other
30126,SW,90373,2025-08-20,Login
30126,MW,90374,2025-04-17,Billing
30127,SW,90375,2025-12-02,Feature Request
30127,W,90376,2025-07-17,Feature Request
30128,SE,90377,2025-05-31,Login
30128,SE,90378,2025-08-08,Bug
30128,SE,90379,2025-06-05,Billing
30128,SE,90380,2025-06-10,Billing
30129,W,90381,2025-06-06,Billing
30129,W,90382,2025-02-11,Feature Request
30129,SE,90383,2025-10-30,Billing
30129,SE,90384,2025-02-20,Feature Request
30129,SE,90385,2025-09-09,Other
30130,SW,90386,2025-12-16,Bug
30131,SE,90387,2025-06-11,Other
30131,SE,90388,2025-05-03,Other
30132,MW,90389,2025-07-01,Login
30132,MW,90390,2025-10-04,Login
30133,MW,90391,2025-11-21,Other
30133,MW,90392,2025-03-27,Other
30133,MW,90393,2025-06-29,Other
30133,MW,90394,2025-01-06,Feature Request
30134,SW,90395,2025-11-28,Login
30134,SW,90396,2025-06-27,Feature Request
30134,W,90397,2025-04-26,Bug
30134,W,90398,2025-12-10,Login
30134,NE,90399,2025-02-04,Login
30135,SE,90400,2025-10-08,Login
30135,SE,90401,2025-12-21,Bug
30136,MW,90402,2025-10-14,Login
30136,MW,90403,2025-02-19,Login
30136,NE,90404,2025-05-18,Billing
30136,NE,90405,2025-06-03,Billing
30136,NE,90406,2025-01-19,Bug
30136,NE,90407,2025-05-09,Login
30137,MW,90408,2025-10-07,Feature Request
30137,SW,90409,2025-08-10,Other
30138,SW,90410,2025-05-25,Other
30139,NE,90411,2025-04-16,Other
30139,SW,90412,2025-01-11,Feature Request
30139,MW,90413,2025-08-19,Bug
30139,MW,90414,2025-12-25,Login
30139,MW,90415,2025-01-13,Bug
30140,SE,90416,2025-09-14,Billing
30140,SE,90417,2025-07-29,Feature Request
30140,MW,90418,2025-12-31,Login
30140,MW,90419,2025-07-13,Feature Request
30140,MW,90420,2025-09-17,Login
30140,SW,90421,2025-04-23,Other
30140,SW,90422,2025-10-06,Feature Request
30140,SW,90423,2025-04-27,Billing
30141,SW,90424,2025-03-28,Billing
30142,SW,90425,2025-09-20,Feature Request
30142,SW,90426,2025-10-27,Login
30143,SE,90427,2025-04-23,Feature Request
30144,SE,90428,2025-01-04,Login
30144,SE,90429,2025-08-21,Billing
30144,SE,90430,2025-09-12,Feature Request
30144,SE,90431,2025-06-04,Bug
30145,SE,90432,2025-04-25,Login
30146,NE,90433,2025-04-13,Bug
30146,MW,90434,2025-03-21,Login
30147,W,90435,2025-02-02,Bug
30147,W,90436,2025-09-06,Billing
30147,NE,90437,2025-10-07,Billing
30148,MW,90438,2025-06-01,Bug
30149,MW,90439,2025-02-08,Other
30149,MW,90440,2025-01-25,Feature Request
30149,MW,90441,2025-08-11,Bug
30150,MW,90442,2025-08-18,Login
30150,MW,90443,2025-10-15,Bug
30150,MW,90444,2025-04-18,Login
30150,SE,90445,2025-12-29,Login
30150,SW,90446,2025-01-16,Bug
30150,SW,90447,2025-01-11,Bug
30151,MW,90448,2025-07-21,Billing
30151,MW,90449,2025-04-26,Other
30151,MW,90450,2025-10-08,Other
30152,SE,90451,2025-08-20,Other
30153,NE,90452,2025-04-21,Billing
30153,NE,90453,2025-01-12,Other
30153,NE,90454,2025-05-07,Other
30154,MW,90455,2025-05-01,Feature Request
30154,SE,90456,2025-02-02,Billing
30154,SE,90457,2025-03-18,Other
30154,NE,90458,2025-10-24,Billing
30154,NE,90459,2025-03-04,Bug
30155,NE,90460,2025-06-23,Bug
30155,NE,90461,2025-04-03,Other
30156,SW,90462,2025-04-04,Login
30156,SW,90463,2025-08-17,Billing
30156,SW,90464,2025-07-28,Feature Request
30156,W,90465,2025-07-01,Bug
30157,W,90466,2025-10-08,Bug
30157,SE,90467,2025-06-04,Bug
30157,SE,90468,2025-07-05,Other
30158,SW,90469,2025-05-19,Bug
30158,SW,90470,2025-12-14,Other
30158,SW,90471,2025-12-12,Bug
30159,SE,90472,2025-05-22,Feature Request
30159,W,90473,2025-06-13,Feature Request
30159,W,90474,2025-08-20,Login
30159,W,90475,2025-12-29,Feature Request
30160,SE,90476,2025-01-22,Feature Request
30161,SE,90477,2025-08-09,Billing
30161,W,90478,2025-03-06,Billing
30161,W,90479,2025-06-07,Feature Request
30161,W,90480,2025-01-19,Other
30162,SE,90481,2025-07-09,Billing
30162,W,90482,2025-12-26,Bug
30162,W,90483,2025-03-20,Feature Request
30163,MW,90484,2025-06-21,Feature Request
30163,W,90485,2025-05-29,Billing
30164,SE,90486,2025-01-30,Feature Request
30164,SE,90487,2025-08-20,Other
30165,SE,90488,2025-04-03,Other
30165,SE,90489,2025-09-04,Billing
30165,NE,90490,2025-11-27,Feature Request
30166,MW,90491,2025-06-12,Billing
30167,NE,90492,2025-02-09,Feature Request
30168,W,90493,2025-03-26,Other
30168,W,90494,2025-10-31,Bug
30169,MW,90495,2025-07-12,Other
30169,MW,90496,2025-10-05,Feature Request
30169,MW,90497,2025-07-31,Bug
30169,MW,90498,2025-09-27,Login
30169,SW,90499,2025-01-19,Billing
30169,SW,90500,2025-01-04,Login
30169,SW,90501,2025-10-26,Other
30170,SW,90502,2025-01-27,Other
30170,W,90503,2025-12-03,Login
30171,W,90504,2025-04-05,Login
30171,W,90505,2025-05-14,Feature Request
30171,W,90506,2025-12-17,Bug
30171,W,90507,2025-12-19,Feature Request
30172,W,90508,2025-01-13,Other
30172,W,90509,2025-11-16,Other
30172,SW,90510,2025-07-27,Other
30172,SW,90511,2025-09-05,Feature Request
30173,MW,90512,2025-05-21,Feature Request
30173,MW,90513,2025-07-20,Login
30173,MW,90514,2025-11-05,Other
30174,NE,90515,2025-12-11,Bug
30174,W,90516,2025-01-29,Bug
30174,W,90517,2025-11-03,Billing
30175,SW,90518,2025-02-05,Other
30175,SW,90519,2025-11-12,Billing
30175,SW,90520,2025-10-03,Other
30175,SW,90521,2025-05-26,Feature Request
30176,NE,90522,2025-06-17,Login
30176,NE,90523,2025-10-02,Billing
30176,W,90524,2025-10-12,Bug
30177,MW,90525,2025-11-15,Billing
30178,SW,90526,2025-07-30,Billing
30178,SE,90527,2025-07-13,Feature Request
30178,SE,90528,2025-10-10,Bug
30178,SE,90529,2025-09-19,Login
30178,MW,90530,2025-12-16,Other
30179,MW,90531,2025-06-18,Feature Request
30180,MW,90532,2025-10-01,Feature Request
30180,MW,90533,2025-06-13,Login
30180,MW,90534,2025-01-07,Billing
30180,MW,90535,2025-09-10,Feature Request
30181,W,90536,2025-05-13,Billing
30182,NE,90537,2025-04-16,Login
30182,SW,90538,2025-03-20,Bug
30182,SE,90539,2025-04-20,Login
30183,SE,90540,2025-03-04,Other
30183,MW,90541,2025-11-24,Login
30183,MW,90542,2025-06-27,Feature Request
30183,MW,90543,2025-08-20,Bug
30183,MW,90544,2025-07-13,Feature Request
30184,MW,90545,2025-10-20,Other
30184,MW,90546,2025-07-20,Other
30184,MW,90547,2025-01-29,Login
30185,NE,90548,2025-02-25,Feature Request
30185,NE,90549,2025-03-07,Bug
30185,MW,90550,2025-06-07,Other
30186,NE,90551,2025-03-10,Other
30186,NE,90552,2025-05-25,Login
30186,SE,90553,2025-06-26,Bug
30187,SW,90554,2025-01-13,Feature Request
30187,W,90555,2025-06-15,Other
30187,W,90556,2025-02-14,Other
30187,W,90557,2025-07-25,Billing
30187,W,90558,2025-03-09,Login
30188,SW,90559,2025-06-16,Feature Request
30188,MW,90560,2025-03-18,Feature Request
30189,SW,90561,2025-08-25,Feature Request
30189,SW,90562,2025-10-18,Feature Request
30190,SW,90563,2025-10-23,Login
30190,SW,90564,2025-02-05,Feature Request
30191,SW,90565,2025-03-11,Billing
30191,SE,90566,2025-11-25,Bug
30192,SE,90567,2025-10-21,Login
30192,W,90568,2025-10-01,Feature Request
30192,W,90569,2025-11-06,Bug
30192,SW,90570,2025-01-01,Bug
30193,SW,90571,2025-10-04,Login
30193,NE,90572,2025-04-03,Bug
30193,NE,90573,2025-02-08,Other
30194,NE,90574,2025-11-12,Billing
30194,NE,90575,2025-12-19,Bug
30194,NE,90576,2025-01-29,Login
30195,SE,90577,2025-02-20,Feature Request
30196,MW,90578,2025-05-27,Billing
30196,SW,90579,2025-02-05,Feature Request
30196,SW,90580,2025-04-11,Bug
30197,SW,90581,2025-12-11,Login
30197,SW,90582,2025-10-18,Other
30197,SE,90583,2025-04-15,Other
30198,NE,90584,2025-03-17,Bug
30198,W,90585,2025-03-25,Login
30199,W,90586,2025-03-17,Login
30199,SW,90587,2025-09-12,Billing
30199,SW,90588,2025-12-22,Billing
30200,SW,90589,2025-07-29,Login
30200,NE,90590,2025-03-18,Login
30200,NE,90591,2025-11-06,Feature Request
30200,NE,90592,2025-12-07,Bug
30201,SW,90593,2025-08-29,Bug
30201,SW,90594,2025-01-28,Login
30202,NE,90595,2025-12-30,Other
30202,NE,90596,2025-01-21,Bug
30203,MW,90597,2025-01-27,Other
30203,W,90598,2025-11-02,Other
30203,W,90599,2025-02-26,Feature Request
30204,MW,90600,2025-06-14,Other
30204,W,90601,2025-03-05,Feature Request
30204,W,90602,2025-06-07,Feature Request
30204,W,90603,2025-05-31,Login
30205,SE,90604,2025-09-17,Bug
30205,SE,90605,2025-09-13,Other
30205,SE,90606,2025-12-18,Feature Request
30205,SE,90607,2025-11-17,Feature Request
30205,SE,90608,2025-06-11,Feature Request
30206,SW,90609,2025-12-15,Login
30207,NE,90610,2025-01-31,Other
30207,MW,90611,2025-01-02,Login
30208,W,90612,2025-02-19,Billing
30208,W,90613,2025-06-28,Feature Request
30209,SW,90614,2025-10-26,Bug
30209,SW,90615,2025-01-30,Bug
30210,NE,90616,2025-01-09,Feature Request
30210,NE,90617,2025-11-20,Login
30210,NE,90618,2025-10-06,Billing
30210,MW,90619,2025-10-05,Other
30210,MW,90620,2025-06-03,Feature Request
30210,MW,90621,2025-06-09,Login
30211,MW,90622,2025-08-23,Other
30211,SE,90623,2025-12-12,Other
30211,SE,90624,2025-02-02,Login
30212,W,90625,2025-04-05,Other
30212,W,90626,2025-03-10,Other
30212,SE,90627,2025-06-09,Feature Request
30212,SE,90628,2025-10-17,Billing
30213,NE,90629,2025-03-07,Other
30213,NE,90630,2025-12-01,Other
30214,MW,90631,2025-03-11,Other
30214,MW,90632,2025-09-03,Bug
30214,NE,90633,2025-08-23,Bug
30214,NE,90634,2025-09-29,Bug
30215,NE,90635,2025-11-25,Bug
30215,NE,90636,2025-12-05,Bug
30216,MW,90637,2025-04-20,Billing
30216,MW,90638,2025-10-22,Billing
30217,SE,90639,2025-07-21,Feature Request
30217,SE,90640,2025-09-14,Other
30217,NE,90641,2025-03-07,Login
30217,NE,90642,2025-03-08,Feature Request
30218,W,90643,2025-03-18,Bug
30218,W,90644,2025-02-14,Bug
30218,SW,90645,2025-03-09,Login
30218,SW,90646,2025-09-18,Other
30219,SW,90647,2025-11-09,Other
30219,MW,90648,2025-10-13,Billing
30220,NE,90649,2025-01-07,Login
30220,SE,90650,2025-07-18,Bug
30220,SE,90651,2025-05-27,Login
30221,MW,90652,2025-05-30,Feature Request
30221,MW,90653,2025-08-31,Bug
30221,NE,90654,2025-01-06,Billing
30221,NE,90655,2025-04-19,Login
30221,NE,90656,2025-03-07,Billing
30221,NE,90657,2025-07-21,Billing
30221,NE,90658,2025-08-02,Feature Request
30222,SW,90659,2025-09-04,Billing
30223,W,90660,2025-11-23,Billing
30224,SE,90661,2025-01-17,Bug
30225,W,90662,2025-11-05,Billing
30226,SW,90663,2025-05-04,Feature Request
30226,SW,90664,2025-08-13,Feature Request
30226,SW,90665,2025-11-14,Login
30226,W,90666,2025-11-28,Bug
30226,MW,90667,2025-12-12,Other
30226,MW,90668,2025-12-24,Bug
30227,SE,90669,2025-12-23,Feature Request
30227,SE,90670,2025-12-31,Other
30228,W,90671,2025-10-12,Login
30228,W,90672,2025-02-28,Feature Request
30228,MW,90673,2025-08-14,Feature Request
30228,MW,90674,2025-03-25,Login
30228,MW,90675,2025-11-09,Other
30229,W,90676,2025-11-16,Feature Request
30229,MW,90677,2025-12-21,Login
30230,SE,90678,2025-10-21,Login
30230,SE,90679,2025-01-27,Login
30230,SE,90680,2025-03-04,Bug
30230,SW,90681,2025-03-05,Billing
30230,SW,90682,2025-04-25,Billing
30230,SW,90683,2025-02-14,Login
30231,SW,90684,2025-09-22,Bug
30231,MW,90685,2025-04-15,Other
30232,SE,90686,2025-11-30,Other
30232,SW,90687,2025-06-20,Feature Request
30233,NE,90688,2025-12-21,Login
30233,NE,90689,2025-10-10,Billing
30233,NE,90690,2025-03-24,Other
30233,NE,90691,2025-06-22,Billing
30233,NE,90692,2025-03-11,Bug
30234,W,90693,2025-01-06,Feature Request
30234,W,90694,2025-07-14,Other
30235,SE,90695,2025-03-04,Other
30235,MW,90696,2025-09-06,Other
30235,MW,90697,2025-09-10,Other
30235,MW,90698,2025-01-31,Feature Request
30236,MW,90699,2025-01-17,Login
30236,MW,90700,2025-12-31,Login
30237,MW,90701,2025-06-14,Bug
