account_id,account_open_date,account_tier,region_code
30101,2020-08-31,Basic,MW
30101,2021-08-07,Pro,W
30102,2022-05-18,Basic,SE
30103,2021-04-12,Pro,SW
30103,2022-05-15,Enterprise,NE
30104,2022-07-22,Enterprise,MW
30104,2024-04-10,Enterprise,NE
30104,2023-05-18,Basic,W
30105,2021-08-26,Basic,SW
30106,2024-07-18,Basic,W
30107,2022-10-11,Pro,W
30107,2023-01-01,Enterprise,MW
30108,2024-07-16,Basic,NE
30109,2023-08-25,Enterprise,NE
30110,2024-09-15,Pro,NE
30111,2024-09-18,Enterprise,SE
30112,2024-09-29,Enterprise,SW
30112,2024-06-01,Basic,NE
30112,2022-05-09,Basic,W
30113,2023-04-24,Basic,NE
30113,2023-06-30,Basic,MW
30114,2020-01-13,Pro,MW
30114,2020-10-25,Pro,SW
30115,2023-01-04,Enterprise,MW
30115,2022-12-10,Pro,SW
30116,2022-02-25,Basic,W
30116,2020-05-28,Basic,MW
30117,2024-10-20,Basic,SE
30118,2020-05-01,Basic,SW
30118,2023-05-19,Basic,MW
30119,2023-07-27,Basic,MW
30119,2021-06-21,Basic,SW
30120,2024-09-04,Basic,W
30120,2023-03-25,Pro,SE
30121,2023-06-15,Basic,SE
30121,2021-01-10,Basic,MW
30122,2020-03-22,Basic,MW
30123,2021-05-06,Enterprise,NE
30124,2020-12-21,Basic,SE
30125,2022-07-13,Basic,SW
30126,2023-07-20,Pro,SW
30126,2024-05-22,Pro,MW
30127,2022-12-03,Enterprise,SW
30127,2022-10-01,Basic,W
30128,2024-05-15,Basic,SE
30129,2020-05-02,Basic,W
30129,2023-10-04,Pro,SE
30130,2021-12-08,Basic,SW
30131,2020-11-25,Basic,SE
30132,2023-12-03,Basic,MW
30133,2022-09-17,Basic,MW
30134,2020-11-18,Basic,SW
30134,2023-02-08,Pro,W
30134,2022-02-08,Pro,NE
30135,2023-01-17,Basic,SE
30136,2021-03-08,Basic,MW
30136,2021-12-10,Pro,NE
30137,2022-03-04,Basic,MW
30137,2021-12-12,Basic,SW
30138,2023-01-27,Basic,SW
30139,2021-06-22,Pro,NE
30139,2021-08-23,Enterprise,SW
30139,2023-03-15,Pro,MW
30140,2024-09-13,Basic,SE
30140,2020-09-13,Basic,MW
30140,2023-04-27,Enterprise,SW
30141,2023-06-17,Basic,SW
30142,2022-05-20,Enterprise,SW
30143,2022-06-17,Enterprise,SE
30144,2024-03-06,Basic,SE
30145,2024-09-27,Enterprise,SE
30146,2022-03-19,Basic,NE
30146,2021-11-07,Pro,MW
30147,2020-09-27,Basic,W
30147,2024-03-23,Basic,NE
30148,2021-07-03,Pro,MW
30149,2023-02-11,Pro,MW
30150,2023-09-24,Basic,MW
30150,2021-07-21,Pro,SE
30150,2022-09-12,Basic,SW
30151,2020-12-24,Basic,MW
30152,2024-07-31,Basic,SE
30153,2024-06-25,Basic,NE
30154,2023-09-19,Basic,MW
30154,2024-09-08,Basic,SE
30154,2023-04-07,Basic,NE
30155,2023-09-24,Basic,NE
30156,2022-03-08,Basic,SW
30156,2023-07-08,Enterprise,W
30157,2022-06-05,Basic,W
30157,2024-10-24,Enterprise,SE
30158,2023-05-07,Pro,SW
30159,2020-07-29,Pro,SE
30159,2020-10-13,Pro,W
30160,2024-09-11,Pro,SE
30161,2024-11-20,Basic,SE
30161,2022-01-12,Basic,W
30162,2024-02-04,Pro,SE
30162,2024-02-14,Pro,W
30163,2022-11-12,Pro,MW
30163,2024-05-02,Basic,W
30164,2023-02-06,Pro,SE
30165,2020-10-22,Basic,SE
30165,2020-01-06,Basic,NE
30166,2021-07-03,Basic,MW
30167,2021-11-11,Pro,NE
30168,2022-03-05,Enterprise,W
30169,2020-07-21,Basic,MW
30169,2020-11-20,Pro,SW
30170,2022-04-04,Basic,SW
30170,2024-12-13,Basic,W
30171,2020-08-31,Basic,W
30172,2020-11-22,Basic,W
30172,2022-09-13,Basic,SW
30173,2022-12-06,Basic,MW
30174,2022-01-30,Pro,NE
30174,2024-06-02,Pro,W
30175,2024-07-03,Basic,SW
30176,2022-11-02,Basic,NE
30176,2022-06-25,Basic,W
30177,2023-11-04,Basic,MW
30178,2020-12-30,Basic,SW
30178,2024-06-13,Basic,SE
30178,2023-09-27,Enterprise,MW
30179,2024-12-20,Pro,MW
30180,2023-05-29,Basic,MW
30181,2020-03-13,Basic,W
30182,2024-11-04,Basic,NE
30182,2024-11-30,Pro,SW
30182,2024-07-06,Basic,SE
30183,2022-12-05,Basic,SE
30183,2024-03-07,Pro,MW
30184,2020-09-30,Basic,MW
30185,2024-04-27,Basic,NE
30185,2020-07-26,Basic,MW
30186,2024-06-26,Basic,NE
30186,2020-05-03,Basic,SE
30187,2022-10-30,Basic,SW
30187,2023-09-14,Basic,W
30188,2023-04-25,Basic,SW
30188,2021-06-26,Pro,MW
30189,2024-08-18,Basic,SW
30190,2020-02-29,Basic,SW
30191,2024-11-19,Pro,SW
30191,2022-06-17,Pro,SE
30192,2022-06-04,Pro,SE
30192,2022-02-20,Basic,W
30192,2021-03-17,Basic,SW
30193,2023-05-25,Pro,SW
30193,2022-06-29,Pro,NE
30194,2022-10-22,Basic,NE
30195,2024-04-08,Enterprise,SE
30196,2024-10-07,Basic,MW
30196,2022-04-11,Enterprise,SW
30197,2022-10-04,Enterprise,SW
30197,2024-09-30,Pro,SE
30198,2023-10-11,Enterprise,NE
30198,2021-09-17,Pro,W
30199,2024-12-20,Basic,W
30199,2024-08-17,Basic,SW
30200,2023-04-03,Basic,SW
30200,2022-09-24,Basic,NE
30201,2022-01-03,Pro,SW
30202,2020-03-31,Basic,NE
30203,2020-06-15,Basic,MW
30203,2022-08-16,Pro,W
30204,2020-07-25,Enterprise,MW
30204,2023-07-29,Basic,W
30205,2022-12-24,Basic,SE
30206,2021-05-30,Basic,SW
30207,2023-03-26,Pro,NE
30207,2024-11-19,Basic,MW
30208,2024-11-27,Pro,W
30209,2022-01-16,Basic,SW
30210,2020-11-01,Basic,NE
30210,2021-01-29,Enterprise,MW
30211,2023-01-02,Basic,MW
30211,2020-07-05,Basic,SE
30212,2024-05-16,Basic,W
30212,2023-09-22,Basic,SE
30213,2024-08-26,Basic,NE
30214,2024-05-10,Basic,MW
30214,2021-09-14,Basic,NE
30215,2021-12-30,Basic,NE
30216,2020-08-27,Pro,MW
30217,2021-06-16,Pro,SE
30217,2020-05-20,Basic,NE
30218,2023-07-12,Pro,W
30218,2020-05-18,Basic,SW
30219,2021-04-03,Basic,SW
30219,2020-03-10,Basic,MW
30220,2021-01-19,Basic,NE
30220,2021-09-21,Basic,SE
30221,2020-07-16,Basic,MW
30221,2020-07-23,Pro,NE
30222,2024-10-15,Enterprise,SW
30223,2021-07-21,Basic,W
30224,2024-12-27,Pro,SE
30225,2022-09-08,Pro,W
30226,2022-03-15,Pro,SW
30226,2024-09-06,Basic,W
30226,2022-05-08,Basic,MW
30227,2022-05-31,Basic,SE
30228,2022-08-31,Basic,W
30228,2021-10-01,Pro,MW
30229,2023-12-25,Basic,W
30229,2020-11-20,Basic,MW
30230,2021-03-17,Pro,SE
30230,2022-03-14,Pro,SW
30231,2020-10-14,Basic,SW
30231,2020-08-13,Pro,MW
30232,2022-12-23,Basic,SE
30232,2022-08-24,Basic,SW
30233,2022-07-26,Basic,NE
30234,2021-07-13,Pro,W
30235,2021-12-14,Enterprise,SE
30235,2021-05-12,Basic,MW
30236,2022-04-28,Basic,MW
30237,2022-07-14,Basic,MW
30238,2020-02-29,Basic,SW
30238,2023-11-21,Basic,W
30239,2020-09-13,Basic,MW
30240,2021-07-30,Pro,SE
30240,2020-08-26,Pro,MW
30240,2024-12-29,Basic,NE
30241,2020-02-07,Basic,MW
30241,2020-01-25,Basic,SE
30241,2021-02-13,Basic,NE
30242,2021-04-05,Pro,NE
30242,2024-05-13,Enterprise,MW
30242,2022-09-14,Basic,SW
30243,2023-12-11,Basic,SE
30244,2020-12-22,Pro,NE
30245,2021-01-17,Basic,MW
30245,2023-03-27,Pro,W
30245,2021-07-22,Basic,SW
30246,2023-12-27,Pro,MW
30247,2022-12-07,Basic,NE
30247,2023-09-13,Pro,W
30247,2021-03-08,Pro,SE
30248,2023-12-25,Basic,W
30248,2020-02-25,Pro,SE
30248,2021-07-30,Pro,SW
30249,2020-09-24,Basic,W
30249,2020-03-09,Basic,SW
30250,2024-10-17,Basic,NE
30251,2022-06-20,Basic,NE
30252,2024-06-12,Basic,MW
30252,2024-01-12,Pro,SW
30253,2022-03-03,Basic,W
30254,2020-09-13,Enterprise,W
30255,2021-11-02,Basic,W
30255,2021-05-04,Basic,SE
30256,2022-01-15,Basic,SE
30256,2024-07-24,Basic,MW
30256,2020-02-18,Basic,W
30257,2024-08-09,Basic,MW
30257,2020-11-11,Basic,SW
30258,2021-02-16,Pro,SW
30258,2021-03-09,Pro,W
30259,2022-10-22,Basic,SE
30260,2023-03-14,Pro,MW
30260,2023-10-21,Pro,NE
30261,2021-02-23,Basic,SW
30261,2024-05-15,Enterprise,W
30261,2024-12-13,Pro,SE
30262,2024-05-03,Basic,W
30263,2022-04-23,Basic,MW
30263,2024-01-07,Basic,SW
30264,2022-07-04,Basic,NE
30264,2021-03-09,Pro,MW
30265,2021-10-04,Basic,W
30265,2024-04-27,Pro,MW
30266,2020-02-26,Pro,SW
30266,2024-05-04,Pro,SE
30267,2022-08-21,Pro,NE
30267,2022-09-03,Basic,SE
30268,2023-04-16,Basic,W
30269,2023-08-09,Pro,SW
30270,2020-02-15,Basic,MW
30270,2023-04-08,Basic,NE
30271,2023-07-18,Enterprise,MW
30271,2021-02-20,Pro,NE
30272,2022-04-27,Basic,NE
30272,2020-05-18,Pro,SW
30273,2020-09-03,Pro,W
30273,2023-03-17,Basic,NE
30273,2020-08-17,Basic,MW
30274,2022-03-02,Enterprise,W
30274,2021-09-28,Basic,MW
30275,2024-09-23,Basic,SW
30275,2021-01-08,Basic,W
30276,2023-01-08,Pro,MW
30276,2024-06-17,Basic,W
30277,2022-01-07,Basic,W
30277,2022-12-24,Basic,MW
30278,2020-03-28,Enterprise,NE
30278,2023-01-16,Basic,SW
30279,2021-12-13,Pro,SW
30279,2024-10-15,Enterprise,W
30280,2023-05-12,Basic,SE
30280,2023-11-06,Enterprise,SW
30281,2021-08-23,Enterprise,MW
30282,2024-02-08,Enterprise,SE
30283,2024-05-15,Basic,NE
30284,2024-12-11,Pro,W
30284,2024-06-17,Pro,NE
30285,2021-06-22,Enterprise,SW
30286,2020-08-01,Basic,SE
30287,2020-03-14,Pro,SE
30287,2020-03-01,Basic,NE
30288,2021-11-28,Basic,NE
30289,2024-04-15,Basic,W
30289,2023-05-27,Pro,SE
30290,2020-01-12,Basic,NE
30291,2022-03-24,Basic,SE
30292,2023-12-09,Enterprise,MW
30292,2020-02-01,Basic,SW
30293,2023-03-29,Pro,NE
30294,2022-09-27,Basic,SE
30295,2020-08-24,Basic,SW
30295,2024-10-28,Pro,SE
30296,2023-04-19,Enterprise,W
30296,2021-07-11,Basic,MW
30297,2023-09-26,Pro,SW
30298,2024-01-21,Basic,SW
30298,2023-01-08,Basic,MW
30299,2021-10-08,Basic,SE
30300,2024-11-30,Basic,W
30301,2022-09-13,Basic,NE
30301,2022-03-30,Basic,SW
30302,2024-11-17,Basic,NE
30302,2021-04-17,Basic,MW
30303,2024-08-21,Basic,NE
30303,2024-10-04,Pro,MW
30304,2020-04-21,Enterprise,SW
30304,2023-08-08,Pro,SE
30305,2024-07-12,Basic,W
30305,2021-01-17,Enterprise,SW
30305,2020-01-17,Pro,MW
30306,2021-05-07,Basic,SW
30306,2023-09-16,Basic,NE
30307,2022-07-14,Pro,SW
30308,2024-10-28,Pro,SW
30308,2024-02-18,Pro,SE
30309,2023-11-30,Pro,NE
30310,2020-04-26,Pro,SE
30311,2024-04-27,Enterprise,MW
30312,2022-05-29,Basic,W
30313,2020-04-24,Basic,SE
30313,2024-12-23,Pro,SW
30313,2024-04-21,Basic,NE
30314,2022-03-24,Pro,NE
30314,2024-07-06,Enterprise,MW
30315,2024-04-19,Pro,SE
30315,2021-10-05,Pro,W
30316,2023-09-21,Basic,SE
30317,2020-12-01,Basic,SW
30318,2022-07-10,Basic,SE
30319,2024-10-29,Pro,NE
30320,2020-05-26,Pro,MW
30320,2020-05-01,Pro,W
30321,2020-03-21,Basic,NE
30321,2021-11-15,Basic,SW
30322,2024-08-16,Pro,SE
30322,2021-10-23,Basic,W
30323,2021-01-09,Basic,NE
30324,2024-05-12,Pro,SW
30324,2020-03-03,Pro,W
30324,2021-05-18,Basic,SE
30325,2021-10-29,Enterprise,SW
30325,2021-03-24,Basic,NE
30326,2023-12-22,Enterprise,SE
30326,2022-05-17,Basic,MW
30327,2023-12-21,Basic,SE
30327,2023-12-15,Enterprise,W
30328,2023-09-07,Basic,NE
30329,2021-11-10,Pro,MW
30330,2023-04-04,Pro,MW
30331,2024-06-08,Enterprise,MW
30331,2024-07-30,Enterprise,W
30332,2021-04-05,Basic,SE
30333,2021-04-03,Pro,W
30334,2023-04-27,Basic,MW
30335,2021-04-08,Basic,MW
30336,2022-06-30,Pro,MW
30336,2021-01-13,Basic,SW
30337,2022-10-22,Pro,NE
30337,2024-06-29,Basic,SE
30338,2020-12-29,Pro,W
30339,2020-03-12,Enterprise,SE
30340,2023-12-21,Basic,SE
30341,2021-09-29,Pro,MW
30342,2023-04-08,Enterprise,SW
30343,2023-05-13,Basic,SE
30344,2020-12-02,Basic,MW
30345,2024-02-04,Pro,W
30345,2020-07-13,Basic,SW
30346,2024-08-20,Basic,SW
30346,2022-10-08,Pro,MW
30347,2021-10-14,Basic,SE
30348,2023-07-22,Enterprise,NE
30349,2020-01-07,Pro,NE
30349,2022-06-23,Pro,MW
30350,2022-09-05,Basic,NE
30350,2021-07-19,Basic,SW
30351,2021-09-07,Basic,MW
30351,2021-07-26,Enterprise,NE
30352,2021-08-21,Basic,SW
30352,2022-02-08,Basic,SE
30353,2023-04-16,Basic,SW
30354,2020-08-29,Basic,MW
30355,2023-05-11,Basic,W
30355,2024-04-15,Pro,NE
30356,2024-12-29,Basic,SE
30357,2024-01-25,Basic,W
30357,2023-01-08,Basic,NE
30358,2024-03-26,Pro,SE
30358,2023-12-11,Pro,MW
30358,2022-02-04,Basic,NE
30359,2021-01-18,Pro,MW
30359,2021-01-25,Basic,SW
30360,2022-06-14,Enterprise,W
30361,2024-12-27,Basic,MW
30361,2021-11-18,Pro,W
30362,2023-02-23,Enterprise,MW
30363,2024-02-26,Pro,NE
30363,2020-02-16,Basic,SW
30364,2024-10-07,Basic,SE
30364,2024-02-08,Pro,MW
30364,2021-09-10,Basic,SW
30365,2021-04-08,Pro,SE
30366,2024-12-15,Pro,SE
30366,2020-05-02,Pro,NE
30366,2024-02-06,Basic,SW
30367,2020-05-13,Pro,NE
30367,2024-06-30,Pro,SE
30367,2022-04-20,Pro,MW
30368,2024-05-04,Basic,SE
30369,2022-04-28,Basic,SW
30370,2021-08-29,Basic,MW
30371,2024-12-08,Basic,SE
30372,2020-01-23,Pro,SW
30373,2021-07-19,Enterprise,SW
30373,2022-02-04,Basic,W
30374,2022-08-22,Pro,SE
30375,2020-08-22,Basic,NE
30376,2022-09-22,Basic,W
30376,2022-12-18,Basic,MW
30377,2023-04-02,Basic,W
30378,2024-11-29,Enterprise,SE
30378,2022-04-05,Basic,MW
30379,2020-08-03,Pro,W
30380,2023-04-21,Basic,SW
30381,2024-05-11,Enterprise,SW
30381,2021-10-18,Basic,MW
30382,2022-07-23,Basic,SW
30382,2023-01-18,Basic,SE
30383,2020-11-06,Basic,SW
30383,2021-07-10,Basic,NE
30384,2022-08-29,Enterprise,W
30384,2020-09-13,Pro,SE
30385,2021-06-16,Pro,W
30385,2024-04-05,Basic,SW
30386,2020-02-21,Basic,NE
30387,2023-09-23,Basic,MW
30388,2023-04-09,Enterprise,SE
30388,2022-12-26,Pro,NE
30389,2024-07-06,Enterprise,SW
30389,2020-10-26,Pro,NE
30390,2021-11-02,Basic,SW
30390,2022-02-16,Basic,MW
30390,2022-04-11,Basic,NE
30391,2020-08-19,Basic,SW
30392,2022-09-01,Basic,MW
30393,2022-12-27,Basic,W
30393,2024-03-09,Pro,NE
30394,2020-01-28,Enterprise,SW
30395,2024-07-09,Pro,NE
30395,2022-12-10,Enterprise,MW
30395,2024-09-12,Basic,SE
30396,2023-07-07,Basic,SE
30396,2021-08-13,Pro,NE
30397,2022-02-23,Basic,W
30398,2021-09-11,Basic,MW
30398,2021-08-08,Basic,SW
30399,2024-09-06,Basic,W
30399,2022-09-28,Basic,MW
30400,2020-07-02,Basic,SE
30401,2022-11-12,Basic,W
30401,2024-12-14,Pro,SE
30401,2020-05-08,Basic,NE
30402,2020-10-17,Basic,W
30402,2021-05-15,Basic,NE
30403,2020-07-04,Basic,SW
30403,2021-04-23,Pro,NE
30404,2024-05-13,Pro,MW
30405,2021-05-06,Pro,MW
30405,2021-05-27,Basic,NE
30406,2024-07-24,Pro,MW
30407,2022-12-26,Pro,SW
30408,2021-04-11,Basic,W
30408,2020-10-11,Basic,SW
30408,2021-08-23,Basic,SE
30409,2023-12-11,Pro,NE
30410,2023-01-28,Pro,W
30411,2020-07-07,Basic,SW
30411,2022-09-15,Pro,SE
30411,2022-06-08,Basic,NE
30412,2021-01-22,Basic,MW
30412,2020-08-28,Enterprise,SW
30412,2024-12-10,Enterprise,W
30413,2024-10-20,Basic,SW
30413,2021-02-20,Basic,MW
30414,2020-06-24,Basic,W
30414,2021-01-21,Basic,MW
30415,2024-02-03,Pro,SE
30416,2022-05-02,Enterprise,MW
30417,2023-06-10,Pro,SE
30418,2021-10-24,Basic,MW
30418,2021-03-27,Pro,SW
30419,2020-10-03,Basic,SE
30419,2023-06-06,Enterprise,NE
30420,2023-04-09,Enterprise,NE
30420,2024-10-24,Pro,W
30421,2020-07-31,Basic,SW
30421,2023-07-29,Basic,NE
30422,2020-02-10,Basic,NE
30423,2023-02-19,Pro,SE
30424,2023-06-04,Basic,W
30425,2020-10-20,Basic,SE
30425,2021-08-22,Basic,SW
30426,2023-07-14,Pro,W
30427,2021-06-24,Basic,W
30427,2024-11-17,Enterprise,SW
30428,2021-03-26,Enterprise,MW
30429,2024-01-12,Enterprise,SW
30430,2024-11-14,Basic,SE
30431,2022-12-20,Basic,W
30431,2024-03-05,Basic,NE
30432,2023-03-16,Basic,W
30432,2024-09-05,Basic,SW
30433,2022-02-28,Pro,SW
30434,2020-11-29,Basic,SE
30435,2022-06-09,Enterprise,W
30435,2023-03-11,Basic,MW
30436,2020-02-13,Pro,W
30437,2020-05-23,Pro,W
30437,2020-11-28,Pro,NE
30438,2022-09-24,Enterprise,MW
30438,2024-02-29,Pro,NE
30439,2023-11-20,Enterprise,SW
30440,2020-02-24,Basic,SE
30441,2023-08-23,Basic,W
30441,2022-05-19,Basic,SW
30441,2023-12-17,Basic,MW
30442,2023-12-11,Basic,SW
30443,2024-08-23,Basic,SE
30444,2022-03-07,Basic,SE
30444,2020-11-20,Basic,MW
30445,2024-09-29,Basic,MW
30445,2024-08-21,Enterprise,SE
30445,2020-03-20,Basic,SW
30446,2022-11-20,Pro,SW
30446,2022-09-11,Basic,NE
30446,2023-02-09,Enterprise,SE
30447,2021-07-11,Enterprise,SE
30447,2022-05-14,Pro,W
30448,2021-12-17,Pro,NE
30449,2024-05-06,Basic,MW
30450,2024-07-31,Enterprise,NE
30450,2021-04-16,Enterprise,SW
30451,2020-03-14,Enterprise,MW
30451,2024-04-25,Pro,NE
30452,2024-02-11,Basic,MW
30453,2021-08-11,Enterprise,W
30453,2023-11-11,Basic,NE
30453,2024-09-18,Pro,SE
30454,2021-07-17,Basic,NE
30455,2023-12-27,Enterprise,SW
30456,2023-12-06,Basic,SE
30457,2021-04-11,Basic,SE
30458,2021-08-21,Pro,SE
30459,2024-07-02,Pro,W
30460,2022-09-18,Pro,W
30461,2022-01-06,Basic,NE
30461,2022-09-20,Basic,W
30462,2020-09-04,Pro,NE
30462,2024-05-23,Enterprise,SE
30463,2023-02-17,Pro,MW
30463,2020-03-07,Basic,SE
30464,2021-07-26,Enterprise,W
30464,2023-09-12,Basic,MW
30464,2021-12-03,Basic,SW
30465,2021-04-14,Basic,NE
30466,2021-05-07,Basic,W
30467,2024-09-20,Pro,NE
30467,2021-10-24,Basic,MW
30468,2020-10-12,Basic,MW
30469,2024-06-19,Basic,W
30469,2020-11-07,Basic,NE
30469,2020-11-04,Pro,MW
30470,2022-02-13,Basic,SW
30471,2023-01-25,Basic,SE
30471,2022-08-22,Pro,SW
30471,2023-02-10,Pro,NE
30472,2024-07-18,Pro,SW
30473,2021-03-31,Basic,SE
30473,2024-01-26,Enterprise,SW
30474,2020-05-11,Enterprise,MW
30474,2022-07-18,Pro,SW
30475,2022-08-22,Pro,W
30475,2022-07-17,Basic,SE
30475,2020-04-30,Enterprise,SW
30476,2023-05-05,Basic,NE
30477,2024-02-14,Basic,NE
30477,2021-09-25,Basic,MW
30478,2024-12-22,Basic,NE
30478,2022-06-15,Enterprise,MW
30478,2022-02-10,Pro,W
30479,2022-11-28,Pro,NE
30479,2021-07-19,Pro,SE
30480,2021-05-26,Basic,SE
30480,2024-02-06,Basic,W
30481,2023-03-30,Pro,W
30481,2020-10-15,Pro,NE
30482,2020-07-18,Basic,MW
30483,2024-12-16,Pro,SE
30483,2021-06-11,Basic,W
30484,2022-07-05,Basic,SW
30484,2024-09-04,Basic,SE
30485,2024-03-06,Basic,NE
30485,2023-06-25,Pro,MW
30485,2023-11-07,Pro,SW
30486,2023-05-26,Basic,W
30487,2023-01-15,Pro,MW
30488,2023-01-10,Pro,MW
30488,2022-12-21,Basic,SE
30488,2022-03-09,Basic,W
30489,2024-03-03,Enterprise,SE
30489,2022-12-01,Pro,W
30490,2020-01-12,Enterprise,SW
30491,2022-04-12,Basic,MW
30491,2024-11-04,Pro,NE
30492,2022-04-20,Basic,SE
30493,2021-10-04,Basic,SE
30494,2023-02-12,Basic,SW
30495,2023-05-26,Basic,SE
30496,2024-07-30,Basic,W
30496,2020-04-15,Basic,NE
30497,2021-11-21,Basic,SE
30498,2021-06-11,Pro,SE
30498,2024-02-04,Basic,W
30498,2024-11-12,Basic,MW
30499,2022-04-25,Basic,W
30499,2022-06-11,Basic,SE
30499,2021-01-21,Pro,NE
30500,2023-06-03,Basic,SE
30500,2021-04-25,Pro,SW
30501,2024-11-12,Basic,MW
