game_id,team_id,is_home,coach_name
G0105,T24,True,Coach Johnson
G0106,T24,True,Coach Adams
G0107,T24,True,Coach Kim
G0108,T20,True,Coach Kim
G0109,T15,True,Coach Kim
G0110,T22,True,Coach Patel
G0111,T09,True,Coach Johnson
G0112,T24,True,Coach Rivera
G0113,T17,True,Coach Johnson
G0114,T14,True,Coach Rivera
G0115,T16,True,Coach Johnson
G0116,T18,True,Coach Kim
G0117,T02,True,Coach Patel
G0118,T05,True,Coach Johnson
G0119,T08,True,Coach Patel
G0120,T04,True,Coach Johnson
G0121,T14,True,Coach Kim
G0122,T21,True,Coach Adams
G0123,T20,True,Coach Kim
G0124,T15,True,Coach Adams
G0125,T26,True,Coach Johnson
G0126,T17,True,Coach Rivera
G0127,T03,True,Coach Rivera
G0128,T23,True,Coach Rivera
G0129,T18,True,Coach Patel
G0130,T20,True,Coach Kim
G0131,T17,True,Coach Johnson
G0132,T17,True,Coach Kim
G0133,T03,True,Coach Rivera
G0134,T17,True,Coach Adams
G0135,T24,True,Coach Adams
G0136,T10,True,Coach Rivera
G0137,T19,True,Coach Johnson
G0138,T01,True,Coach Kim
G0139,T11,True,Coach Johnson
G0140,T14,True,Coach Adams
G0141,T30,True,Coach Adams
G0142,T07,True,Coach Johnson
G0143,T09,True,Coach Adams
G0144,T13,True,Coach Adams
G0145,T30,True,Coach Kim
G0146,T26,True,Coach Johnson
G0147,T02,True,Coach Patel
G0148,T08,True,Coach Adams
G0149,T25,True,Coach Johnson
G0150,T02,True,Coach Johnson
G0151,T26,True,Coach Johnson
G0152,T09,True,Coach Johnson
G0153,T28,True,Coach Rivera
G0154,T09,True,Coach Johnson
G0155,T14,True,Coach Rivera
G0156,T20,True,Coach Johnson
G0157,T04,True,Coach Kim
G0158,T17,True,Coach Patel
G0159,T16,True,Coach Patel
G0160,T24,True,Coach Patel
G0161,T30,True,Coach Patel
G0162,T20,True,Coach Patel
G0163,T13,True,Coach Patel
G0164,T13,True,Coach Adams
G0165,T13,True,Coach Johnson
G0166,T25,True,Coach Kim
G0167,T10,True,Coach Rivera
G0168,T06,True,Coach Kim
G0169,T11,True,Coach Johnson
G0170,T01,True,Coach Johnson
G0171,T04,True,Coach Johnson
G0172,T03,True,Coach Kim
G0173,T24,True,Coach Patel
G0174,T22,True,Coach Rivera
G0175,T21,True,Coach Patel
G0176,T14,True,Coach Patel
G0177,T22,True,Coach Rivera
G0178,T05,True,Coach Rivera
G0179,T28,True,Coach Adams
G0180,T16,True,Coach Adams
G0181,T29,True,Coach Kim
G0182,T05,True,Coach Kim
G0183,T15,True,Coach Adams
G0184,T21,True,Coach Kim
G0185,T15,True,Coach Patel
G0186,T14,True,Coach Rivera
G0187,T05,True,Coach Rivera
G0188,T12,True,Coach Rivera
G0189,T08,True,Coach Kim
G0190,T10,True,Coach Rivera
G0191,T21,True,Coach Patel
G0192,T19,True,Coach Rivera
G0193,T19,True,Coach Kim
G0194,T11,True,Coach Rivera
G0195,T29,True,Coach Adams
G0196,T03,True,Coach Patel
G0197,T11,True,Coach Rivera
G0198,T04,True,Coach Rivera
G0199,T11,True,Coach Patel
G0200,T29,True,Coach Johnson
G0201,T11,True,Coach Patel
G0202,T28,True,Coach Johnson
G0203,T15,True,Coach Johnson
G0204,T21,True,Coach Kim
G0205,T14,True,Coach Patel
G0206,T08,True,Coach Rivera
G0207,T23,True,Coach Kim
G0208,T30,True,Coach Kim
G0209,T08,True,Coach Johnson
G0210,T24,True,Coach Johnson
G0211,T08,True,Coach Kim
G0212,T22,True,Coach Patel
G0213,T24,True,Coach Rivera
G0214,T14,True,Coach Johnson
G0215,T23,True,Coach Kim
G0216,T09,True,Coach Kim
G0217,T03,True,Coach Patel
G0218,T03,True,Coach Patel
G0219,T14,True,Coach Adams
G0220,T28,True,Coach Rivera
G0001,T05,False,Coach Adams
G0002,T14,False,Coach Patel
G0003,T22,False,Coach Adams
G0004,T06,False,Coach Rivera
G0005,T22,False,Coach Kim
G0006,T09,False,Coach Patel
G0007,T25,False,Coach Kim
G0008,T17,False,Coach Johnson
G0009,T17,False,Coach Johnson
G0010,T07,False,Coach Adams
G0011,T14,False,Coach Johnson
G0012,T25,False,Coach Patel
G0013,T01,False,Coach Patel
G0014,T22,False,Coach Adams
G0015,T15,False,Coach Patel
G0016,T21,False,Coach Patel
G0017,T21,False,Coach Kim
G0018,T14,False,Coach Adams
G0019,T09,False,Coach Kim
G0020,T20,False,Coach Johnson
G0021,T05,False,Coach Patel
G0022,T18,False,Coach Adams
G0023,T03,False,Coach Johnson
G0024,T19,False,Coach Johnson
G0025,T19,False,Coach Adams
G0026,T03,False,Coach Johnson
G0027,T23,False,Coach Kim
G0028,T13,False,Coach Kim
G0029,T24,False,Coach Kim
G0030,T02,False,Coach Patel
G0031,T06,False,Coach Johnson
G0032,T16,False,Coach Patel
G0033,T07,False,Coach Johnson
G0034,T10,False,Coach Johnson
G0035,T20,False,Coach Adams
G0036,T06,False,Coach Rivera
G0037,T20,False,Coach Patel
G0038,T03,False,Coach Kim
G0039,T06,False,Coach Adams
G0040,T18,False,Coach Adams
G0041,T25,False,Coach Kim
G0042,T05,False,Coach Patel
G0043,T09,False,Coach Adams
G0044,T28,False,Coach Adams
G0045,T30,False,Coach Adams
G0046,T17,False,Coach Kim
G0047,T13,False,Coach Adams
G0048,T11,False,Coach Kim
G0049,T18,False,Coach Kim
G0050,T18,False,Coach Kim
G0051,T09,False,Coach Patel
G0052,T01,False,Coach Kim
G0053,T05,False,Coach Patel
G0054,T29,False,Coach Patel
G0055,T13,False,Coach Johnson
G0056,T15,False,Coach Patel
G0057,T14,False,Coach Kim
G0058,T24,False,Coach Kim
G0059,T02,False,Coach Rivera
G0060,T03,False,Coach Kim
G0061,T08,False,Coach Adams
G0062,T15,False,Coach Johnson
G0063,T21,False,Coach Johnson
G0064,T15,False,Coach Adams
G0065,T14,False,Coach Patel
G0066,T29,False,Coach Adams
G0067,T05,False,Coach Patel
G0068,T18,False,Coach Adams
G0069,T17,False,Coach Kim
G0070,T14,False,Coach Patel
G0071,T25,False,Coach Patel
G0072,T09,False,Coach Kim
G0073,T29,False,Coach Johnson
G0074,T11,False,Coach Patel
G0075,T16,False,Coach Rivera
G0076,T17,False,Coach Patel
G0077,T26,False,Coach Patel
G0078,T14,False,Coach Rivera
G0079,T09,False,Coach Patel
G0080,T01,False,Coach Johnson
G0081,T11,False,Coach Johnson
G0082,T25,False,Coach Patel
G0083,T01,False,Coach Patel
G0084,T27,False,Coach Rivera
G0085,T16,False,Coach Patel
G0086,T05,False,Coach Rivera
G0087,T10,False,Coach Kim
G0088,T18,False,Coach Rivera
G0089,T10,False,Coach Rivera
G0090,T04,False,Coach Adams
G0091,T21,False,Coach Johnson
G0092,T20,False,Coach Adams
G0093,T04,False,Coach Adams
G0094,T09,False,Coach Johnson
G0095,T08,False,Coach Kim
G0096,T21,False,Coach Kim
G0097,T23,False,Coach Patel
G0098,T23,False,Coach Rivera
G0099,T29,False,Coach Adams
G0100,T24,False,Coach Patel
G0101,T10,False,Coach Adams
G0102,T04,False,Coach Kim
G0103,T18,False,Coach Johnson
G0104,T28,False,Coach Johnson
G0105,T30,False,Coach Rivera
G0106,T07,False,Coach Patel
G0107,T07,False,Coach Patel
G0108,T02,False,Coach Kim
G0109,T05,False,Coach Adams
G0110,T17,False,Coach Rivera
G0111,T17,False,Coach Patel
G0112,T11,False,Coach Johnson
G0113,T09,False,Coach Adams
G0114,T26,False,Coach Patel
G0115,T14,False,Coach Johnson
G0116,T25,False,Coach Johnson
G0117,T29,False,Coach Kim
G0118,T11,False,Coach Adams
G0119,T06,False,Coach Rivera
G0120,T29,False,Coach Johnson
G0121,T20,False,Coach Johnson
G0122,T09,False,Coach Patel
G0123,T19,False,Coach Adams
G0124,T16,False,Coach Adams
G0125,T28,False,Coach Kim
G0126,T08,False,Coach Kim
G0127,T30,False,Coach Adams
G0128,T29,False,Coach Patel
G0129,T06,False,Coach Kim
G0130,T05,False,Coach Adams
G0131,T16,False,Coach Adams
G0132,T02,False,Coach Kim
G0133,T10,False,Coach Patel
G0134,T13,False,Coach Johnson
G0135,T30,False,Coach Kim
G0136,T30,False,Coach Rivera
G0137,T05,False,Coach Johnson
G0138,T27,False,Coach Kim
G0139,T03,False,Coach Rivera
G0140,T23,False,Coach Kim
G0141,T25,False,Coach Adams
G0142,T27,False,Coach Rivera
G0143,T07,False,Coach Kim
G0144,T27,False,Coach Johnson
G0145,T04,False,Coach Patel
G0146,T16,False,Coach Patel
G0147,T15,False,Coach Kim
G0148,T11,False,Coach Adams
G0149,T01,False,Coach Rivera
G0150,T24,False,Coach Johnson
G0151,T10,False,Coach Adams
G0152,T21,False,Coach Johnson
G0153,T12,False,Coach Patel
G0154,T12,False,Coach Rivera
G0155,T27,False,Coach Patel
G0156,T03,False,Coach Johnson
G0157,T23,False,Coach Adams
G0158,T23,False,Coach Adams
G0159,T12,False,Coach Patel
G0160,T08,False,Coach Johnson
G0161,T01,False,Coach Adams
G0162,T29,False,Coach Patel
G0163,T29,False,Coach Adams
G0164,T07,False,Coach Patel
G0165,T01,False,Coach Patel
G0166,T04,False,Coach Adams
G0167,T02,False,Coach Patel
G0168,T26,False,Coach Johnson
G0169,T27,False,Coach Johnson
G0170,T06,False,Coach Adams
G0171,T23,False,Coach Rivera
G0172,T07,False,Coach Rivera
G0173,T11,False,Coach Kim
G0174,T18,False,Coach Adams
G0175,T22,False,Coach Johnson
G0176,T27,False,Coach Patel
G0177,T02,False,Coach Johnson
G0178,T07,False,Coach Adams
G0179,T09,False,Coach Adams
G0180,T09,False,Coach Johnson
G0181,T30,False,Coach Rivera
G0182,T24,False,Coach Patel
G0183,T10,False,Coach Johnson
G0184,T30,False,Coach Adams
G0185,T16,False,Coach Adams
G0186,T16,False,Coach Adams
G0187,T14,False,Coach Adams
G0188,T05,False,Coach Adams
G0189,T29,False,Coach Johnson
G0190,T01,False,Coach Patel
G0191,T06,False,Coach Johnson
G0192,T07,False,Coach Johnson
G0193,T09,False,Coach Johnson
G0194,T04,False,Coach Rivera
G0195,T01,False,Coach Rivera
G0196,T21,False,Coach Johnson
G0197,T30,False,Coach Rivera
G0198,T05,False,Coach Adams
G0199,T09,False,Coach Patel
G0200,T15,False,Coach Johnson
G0201,T28,False,Coach Johnson
G0202,T21,False,Coach Johnson
G0203,T24,False,Coach Adams
G0204,T17,False,Coach Patel
G0205,T13,False,Coach Johnson
G0206,T06,False,Coach Patel
G0207,T27,False,Coach Johnson
G0208,T24,False,Coach Johnson
G0209,T01,False,Coach Kim
G0210,T21,False,Coach Adams
G0211,T03,False,Coach Kim
G0212,T23,False,Coach Rivera
G0213,T25,False,Coach Adams
G0214,T04,False,Coach Adams
G0215,T13,False,Coach Patel
G0216,T04,False,Coach Kim
G0217,T18,False,Coach Kim
G0218,T28,False,Coach Patel
G0219,T03,False,Coach Kim
G0220,T12,False,Coach Patel
