,bird_id,sighting_date,observer,location,count_seen
79,B01048,2026-06-18,Quinn,Lake Edge,5
80,B01048,2026-03-20,Quinn,Sunset Ridge,1
81,B01048,2026-02-12,Casey,Lake Edge,3
82,B01048,2026-06-04,Sam,Wetlands,3
83,B01048,2026-05-03,Jordan,Lake Edge,4
84,B01048,2026-02-24,Taylor,Aspen Grove,4
85,B00868,2026-04-14,Morgan,Canyon Overlook,4
86,B00868,2026-04-18,Quinn,Wetlands,7
87,B00868,2026-06-13,Sam,Canyon Overlook,9
88,B00868,2026-01-03,Riley,Lake Edge,10
89,B00868,2026-06-07,Riley,Rocky Pass,4
90,B00868,2026-06-28,Casey,Sunset Ridge,10
91,B01169,2026-06-12,Morgan,Cliff Basin,6
92,B01169,2026-04-26,Casey,Sunset Ridge,5
93,B01169,2026-01-26,Riley,Wetlands,4
94,B01169,2026-04-30,Alex,Wetlands,10
95,B01135,2026-04-01,Taylor,Pine Lookout,2
96,B01135,2026-02-08,Morgan,Rocky Pass,2
97,B01135,2026-02-16,Riley,Pine Lookout,8
98,B01135,2026-05-25,Morgan,Canyon Overlook,4
99,B00335,2026-02-18,Quinn,Lake Edge,11
100,B00335,2026-03-10,Jordan,Wetlands,3
101,B00335,2026-02-14,Morgan,Canyon Overlook,10
102,B00335,2026-03-19,Alex,Wetlands,2
103,B00968,2026-01-11,Riley,Lake Edge,3
104,B00968,2026-04-29,Riley,Canyon Overlook,3
105,B00968,2026-03-14,Jordan,Lake Edge,11
106,B00968,2026-04-05,Riley,Pine Lookout,7
107,B00968,2026-06-04,Quinn,Canyon Overlook,10
108,B00968,2026-02-09,Casey,Rocky Pass,4
109,B00968,2026-02-08,Alex,Canyon Overlook,11
110,B01479,2026-02-23,Sam,Cliff Basin,5
111,B01479,2026-02-27,Taylor,Aspen Grove,1
112,B01479,2026-03-07,Sam,Sunset Ridge,2
113,B01479,2026-06-14,Casey,Canyon Overlook,5
114,B01479,2026-05-17,Quinn,Wetlands,7
115,B01479,2026-04-13,Jordan,Aspen Grove,8
116,B01479,2026-06-03,Alex,Lake Edge,7
117,B00114,2026-06-28,Riley,Pine Lookout,1
118,B00114,2026-01-17,Riley,Rocky Pass,10
119,B00114,2026-02-12,Alex,Lake Edge,5
120,B00114,2026-05-15,Casey,Cliff Basin,8
121,B00114,2026-05-19,Casey,Pine Lookout,1
122,B00114,2026-04-07,Sam,Rocky Pass,4
123,B00652,2026-04-29,Sam,Sunset Ridge,11
124,B00652,2026-05-26,Quinn,Wetlands,9
125,B00652,2026-06-08,Quinn,Sunset Ridge,10
126,B00652,2026-03-20,Morgan,Aspen Grove,9
127,B00671,2026-03-27,Taylor,Sunset Ridge,2
128,B00671,2026-04-16,Riley,Rocky Pass,10
129,B00671,2026-05-24,Morgan,Sunset Ridge,10
130,B00671,2026-06-16,Quinn,Wetlands,3
131,B00671,2026-05-22,Casey,Rocky Pass,2
132,B00610,2026-06-13,Jordan,Aspen Grove,8
133,B00610,2026-04-29,Quinn,Sunset Ridge,9
134,B00610,2026-06-10,Riley,Rocky Pass,3
135,B00610,2026-02-07,Riley,Lake Edge,1
136,B00610,2026-04-05,Morgan,Sunset Ridge,6
137,B00610,2026-04-13,Alex,Pine Lookout,2
138,B00610,2026-03-21,Taylor,Lake Edge,3
139,B00266,2026-02-24,Taylor,Aspen Grove,5
140,B00266,2026-02-05,Jordan,Aspen Grove,3
141,B00266,2026-06-02,Jordan,Canyon Overlook,1
142,B00266,2026-05-14,Quinn,Lake Edge,2
143,B00266,2026-01-16,Sam,Cliff Basin,6
144,B00266,2026-04-13,Jordan,Aspen Grove,1
145,B00266,2026-06-03,Jordan,Lake Edge,9
146,B00658,2026-05-30,Taylor,Canyon Overlook,7
147,B00658,2026-04-03,Taylor,Cliff Basin,5
148,B00658,2026-05-21,Quinn,Aspen Grove,8
149,B00658,2026-03-17,Taylor,Sunset Ridge,6
150,B01597,2026-03-27,Morgan,Canyon Overlook,11
151,B01597,2026-05-05,Riley,Lake Edge,4
152,B01597,2026-05-26,Casey,Rocky Pass,11
153,B01597,2026-03-29,Sam,Cliff Basin,6
154,B01597,2026-04-21,Sam,Cliff Basin,4
155,B01597,2026-03-03,Casey,Rocky Pass,1
156,B01597,2026-01-15,Sam,Rocky Pass,4
157,B00800,2026-01-19,Casey,Rocky Pass,6
158,B00800,2026-05-28,Morgan,Rocky Pass,5
159,B00800,2026-01-05,Alex,Canyon Overlook,2
160,B00800,2026-01-28,Alex,Canyon Overlook,3
161,B00769,2026-04-01,Riley,Rocky Pass,9
162,B00769,2026-02-01,Taylor,Wetlands,11
163,B00769,2026-02-19,Jordan,Sunset Ridge,11
164,B00769,2026-02-25,Casey,Sunset Ridge,2
165,B01078,2026-02-25,Morgan,Sunset Ridge,7
166,B01078,2026-05-08,Morgan,Aspen Grove,7
167,B01078,2026-03-18,Alex,Wetlands,7
168,B01078,2026-02-08,Alex,Wetlands,8
169,B01078,2026-04-09,Jordan,Wetlands,4
170,B01078,2026-01-11,Jordan,Lake Edge,4
171,B01078,2026-03-12,Morgan,Cliff Basin,7
172,B01232,2026-06-29,Riley,Rocky Pass,8
173,B01232,2026-05-21,Quinn,Pine Lookout,9
174,B01232,2026-04-18,Morgan,Aspen Grove,4
175,B01232,2026-03-25,Jordan,Rocky Pass,10
176,B01232,2026-03-16,Taylor,Wetlands,8
177,B01232,2026-04-21,Alex,Wetlands,1
178,B01357,2026-05-07,Jordan,Cliff Basin,5
179,B01357,2026-05-10,Morgan,Aspen Grove,5
180,B01357,2026-04-24,Casey,Canyon Overlook,3
181,B01357,2026-03-07,Riley,Sunset Ridge,2
182,B01357,2026-04-03,Riley,Rocky Pass,8
183,B01357,2026-06-04,Riley,Pine Lookout,1
184,B01357,2026-03-30,Riley,Sunset Ridge,1
185,B00753,2026-03-02,Taylor,Aspen Grove,2
186,B00753,2026-04-10,Jordan,Sunset Ridge,3
187,B00753,2026-06-18,Sam,Pine Lookout,9
188,B00753,2026-02-28,Alex,Wetlands,11
189,B00753,2026-04-28,Taylor,Aspen Grove,3
190,B00753,2026-02-09,Alex,Lake Edge,11
191,B00753,2026-01-02,Sam,Pine Lookout,9
192,B00645,2026-04-04,Quinn,Lake Edge,1
193,B00645,2026-03-04,Casey,Cliff Basin,1
194,B00645,2026-05-07,Morgan,Sunset Ridge,11
195,B00645,2026-03-26,Riley,Canyon Overlook,6
196,B00645,2026-06-13,Sam,Sunset Ridge,8
197,B01205,2026-05-07,Alex,Aspen Grove,10
198,B01205,2026-04-01,Sam,Wetlands,3
199,B01205,2026-05-31,Riley,Lake Edge,9
200,B01205,2026-04-04,Morgan,Sunset Ridge,8
201,B01205,2026-06-16,Sam,Wetlands,2
202,B01448,2026-03-31,Morgan,Lake Edge,6
203,B01448,2026-05-26,Alex,Aspen Grove,9
204,B01448,2026-04-29,Morgan,Canyon Overlook,5
205,B01448,2026-01-18,Casey,Aspen Grove,2
206,B01448,2026-03-24,Jordan,Aspen Grove,6
207,B01679,2026-04-27,Alex,Lake Edge,4
208,B01679,2026-05-17,Casey,Lake Edge,6
209,B01679,2026-03-18,Taylor,Sunset Ridge,2
210,B01679,2026-03-09,Sam,Pine Lookout,11
211,B01679,2026-04-05,Taylor,Wetlands,9
212,B01679,2026-03-29,Casey,Lake Edge,6
213,B01679,2026-02-09,Taylor,Pine Lookout,7
214,B01285,2026-01-13,Alex,Canyon Overlook,1
215,B01285,2026-03-21,Quinn,Lake Edge,10
216,B01285,2026-02-22,Sam,Canyon Overlook,7
217,B01285,2026-02-16,Morgan,Lake Edge,3
218,B01285,2026-03-03,Quinn,Canyon Overlook,3
219,B00140,2026-01-16,Morgan,Rocky Pass,2
220,B00140,2026-01-21,Alex,Pine Lookout,7
221,B00140,2026-02-22,Sam,Cliff Basin,2
222,B00140,2026-06-27,Quinn,Rocky Pass,2
223,B00140,2026-06-02,Alex,Aspen Grove,4
224,B00140,2026-06-05,Jordan,Wetlands,2
225,B00301,2026-02-19,Riley,Aspen Grove,8
226,B00301,2026-05-03,Sam,Lake Edge,5
227,B00301,2026-06-17,Alex,Lake Edge,7
228,B00301,2026-06-26,Quinn,Wetlands,2
229,B00736,2026-05-06,Quinn,Rocky Pass,5
230,B00736,2026-01-14,Alex,Wetlands,5
231,B00736,2026-02-04,Alex,Wetlands,3
232,B00736,2026-04-23,Sam,Pine Lookout,5
233,B00736,2026-04-13,Sam,Pine Lookout,5
234,B00736,2026-04-01,Sam,Lake Edge,6
235,B00736,2026-02-06,Alex,Cliff Basin,6
236,B01279,2026-06-01,Alex,Sunset Ridge,5
237,B01279,2026-05-09,Taylor,Canyon Overlook,2
238,B01279,2026-03-16,Sam,Rocky Pass,8
239,B01279,2026-01-15,Jordan,Canyon Overlook,11
240,B01279,2026-06-21,Morgan,Aspen Grove,3
241,B01279,2026-06-03,Jordan,Wetlands,7
242,B01279,2026-04-06,Sam,Pine Lookout,6
243,B01063,2026-01-29,Riley,Wetlands,3
244,B01063,2026-04-19,Casey,Rocky Pass,3
245,B01063,2026-02-21,Morgan,Aspen Grove,11
246,B01063,2026-02-12,Alex,Canyon Overlook,8
247,B01063,2026-01-27,Quinn,Lake Edge,11
248,B01063,2026-03-13,Sam,Aspen Grove,4
249,B01063,2026-02-17,Riley,Cliff Basin,9
250,B01177,2026-03-18,Jordan,Sunset Ridge,8
251,B01177,2026-02-14,Sam,Wetlands,9
252,B01177,2026-04-29,Alex,Pine Lookout,5
253,B01177,2026-06-15,Taylor,Canyon Overlook,10
254,B01177,2026-05-05,Morgan,Wetlands,5
255,B01177,2026-04-19,Alex,Sunset Ridge,10
256,B01177,2026-04-26,Riley,Wetlands,9
257,B01394,2026-06-13,Jordan,Canyon Overlook,1
258,B01394,2026-03-28,Taylor,Aspen Grove,11
259,B01394,2026-04-05,Sam,Rocky Pass,2
260,B01394,2026-01-24,Casey,Aspen Grove,5
261,B01394,2026-05-14,Taylor,Sunset Ridge,4
262,B01394,2026-04-29,Morgan,Lake Edge,4
263,B00630,2026-06-17,Morgan,Lake Edge,5
264,B00630,2026-01-21,Casey,Lake Edge,2
265,B00630,2026-05-25,Sam,Sunset Ridge,8
266,B00630,2026-03-17,Jordan,Rocky Pass,8
267,B00630,2026-03-12,Morgan,Cliff Basin,10
268,B01072,2026-05-17,Sam,Pine Lookout,1
269,B01072,2026-04-27,Morgan,Aspen Grove,5
270,B01072,2026-03-11,Taylor,Aspen Grove,7
271,B01072,2026-03-14,Alex,Lake Edge,11
272,B00184,2026-03-07,Casey,Cliff Basin,11
273,B00184,2026-03-01,Jordan,Wetlands,1
274,B00184,2026-02-22,Casey,Lake Edge,1
275,B00184,2026-01-30,Taylor,Lake Edge,6
276,B00184,2026-02-19,Alex,Rocky Pass,9
277,B00588,2026-01-27,Jordan,Rocky Pass,6
278,B00588,2026-02-09,Quinn,Aspen Grove,4
279,B00588,2026-05-27,Casey,Rocky Pass,5
280,B00588,2026-02-03,Casey,Aspen Grove,4
281,B00588,2026-02-06,Jordan,Cliff Basin,8
282,B00588,2026-03-18,Alex,Cliff Basin,8
283,B00464,2026-04-15,Casey,Sunset Ridge,10
284,B00464,2026-03-30,Morgan,Wetlands,6
285,B00464,2026-05-09,Jordan,Sunset Ridge,4
286,B00464,2026-06-13,Jordan,Sunset Ridge,7
287,B00939,2026-06-02,Casey,Cliff Basin,5
288,B00939,2026-02-26,Riley,Aspen Grove,11
289,B00939,2026-06-20,Casey,Lake Edge,1
290,B00939,2026-03-29,Casey,Sunset Ridge,6
291,B00939,2026-04-04,Casey,Sunset Ridge,6
292,B00030,2026-01-26,Casey,Pine Lookout,10
293,B00030,2026-01-09,Morgan,Rocky Pass,2
294,B00030,2026-03-18,Morgan,Rocky Pass,5
295,B00030,2026-05-08,Alex,Wetlands,9
296,B00030,2026-05-18,Alex,Pine Lookout,5
297,B00030,2026-04-22,Casey,Aspen Grove,5
298,B00030,2026-04-21,Jordan,Pine Lookout,1
299,B00641,2026-01-14,Riley,Wetlands,4
300,B00641,2026-05-03,Riley,Aspen Grove,6
301,B00641,2026-03-19,Taylor,Wetlands,1
302,B00641,2026-05-20,Alex,Aspen Grove,10
303,B00424,2026-02-11,Taylor,Canyon Overlook,6
304,B00424,2026-03-22,Morgan,Canyon Overlook,5
305,B00424,2026-05-01,Sam,Rocky Pass,1
306,B00424,2026-01-13,Sam,Rocky Pass,1
307,B00004,2026-06-08,Taylor,Sunset Ridge,2
308,B00004,2026-04-05,Casey,Canyon Overlook,7
309,B00004,2026-03-12,Casey,Cliff Basin,11
310,B00004,2026-04-24,Taylor,Rocky Pass,10
311,B00004,2026-06-23,Sam,Rocky Pass,9
312,B00004,2026-03-23,Sam,Cliff Basin,8
313,B00004,2026-03-11,Jordan,Aspen Grove,6
314,B00443,2026-05-22,Taylor,Cliff Basin,7
315,B00443,2026-06-12,Casey,Sunset Ridge,10
316,B00443,2026-01-19,Jordan,Cliff Basin,6
317,B00443,2026-01-31,Quinn,Pine Lookout,2
318,B00443,2026-04-25,Quinn,Rocky Pass,2
319,B00443,2026-01-24,Quinn,Pine Lookout,8
320,B00443,2026-06-18,Sam,Pine Lookout,9
321,B01175,2026-04-19,Taylor,Lake Edge,9
322,B01175,2026-05-13,Taylor,Lake Edge,4
323,B01175,2026-06-13,Alex,Aspen Grove,3
324,B01175,2026-01-19,Alex,Wetlands,7
325,B01175,2026-01-06,Alex,Lake Edge,1
326,B01175,2026-05-16,Taylor,Canyon Overlook,1
327,B01175,2026-01-17,Sam,Cliff Basin,3
328,B00604,2026-03-02,Morgan,Rocky Pass,7
329,B00604,2026-02-01,Quinn,Lake Edge,11
330,B00604,2026-05-14,Casey,Aspen Grove,3
331,B00604,2026-01-03,Taylor,Cliff Basin,8
332,B00604,2026-03-23,Alex,Aspen Grove,9
333,B00604,2026-02-24,Riley,Sunset Ridge,8
334,B01017,2026-01-31,Casey,Rocky Pass,8
335,B01017,2026-04-09,Taylor,Sunset Ridge,11
336,B01017,2026-03-29,Morgan,Lake Edge,6
337,B01017,2026-03-11,Riley,Wetlands,6
338,B00788,2026-02-16,Jordan,Canyon Overlook,2
339,B00788,2026-02-25,Sam,Lake Edge,6
340,B00788,2026-06-02,Casey,Pine Lookout,10
341,B00788,2026-03-22,Taylor,Pine Lookout,10
342,B00788,2026-03-15,Alex,Wetlands,6
343,B00788,2026-01-04,Casey,Cliff Basin,11
344,B00971,2026-04-13,Taylor,Rocky Pass,6
345,B00971,2026-03-20,Jordan,Aspen Grove,6
346,B00971,2026-06-08,Morgan,Wetlands,9
347,B00971,2026-05-10,Alex,Sunset Ridge,6
348,B00971,2026-06-19,Quinn,Aspen Grove,6
349,B00276,2026-05-05,Casey,Aspen Grove,11
350,B00276,2026-01-17,Morgan,Cliff Basin,4
351,B00276,2026-06-04,Casey,Rocky Pass,11
352,B00276,2026-05-23,Alex,Cliff Basin,4
353,B00139,2026-05-20,Quinn,Cliff Basin,11
354,B00139,2026-04-19,Sam,Wetlands,11
355,B00139,2026-01-24,Quinn,Wetlands,3
356,B00139,2026-01-08,Alex,Canyon Overlook,1
357,B01028,2026-04-16,Sam,Aspen Grove,2
358,B01028,2026-01-14,Casey,Cliff Basin,6
359,B01028,2026-05-16,Jordan,Rocky Pass,10
360,B01028,2026-04-04,Riley,Canyon Overlook,8
361,B00964,2026-02-26,Riley,Wetlands,2
362,B00964,2026-03-04,Jordan,Sunset Ridge,11
363,B00964,2026-05-11,Alex,Rocky Pass,1
364,B00964,2026-06-26,Casey,Cliff Basin,9
365,B00897,2026-02-20,Riley,Cliff Basin,9
366,B00897,2026-05-27,Morgan,Pine Lookout,10
367,B00897,2026-05-20,Morgan,Aspen Grove,7
368,B00897,2026-02-15,Morgan,Cliff Basin,7
369,B00649,2026-05-28,Jordan,Pine Lookout,1
370,B00649,2026-05-02,Taylor,Aspen Grove,10
371,B00649,2026-01-11,Sam,Cliff Basin,11
372,B00649,2026-04-20,Alex,Rocky Pass,11
373,B01388,2026-06-04,Quinn,Pine Lookout,9
374,B01388,2026-03-26,Casey,Wetlands,9
375,B01388,2026-06-01,Quinn,Lake Edge,1
376,B01388,2026-01-12,Alex,Rocky Pass,7
377,B01388,2026-01-05,Alex,Lake Edge,6
378,B01552,2026-03-02,Sam,Cliff Basin,1
379,B01552,2026-05-17,Taylor,Rocky Pass,7
380,B01552,2026-06-07,Alex,Aspen Grove,10
381,B01552,2026-06-17,Sam,Rocky Pass,10
382,B01552,2026-06-25,Quinn,Wetlands,4
383,B01552,2026-03-23,Taylor,Aspen Grove,7
384,B00399,2026-05-05,Alex,Aspen Grove,6
385,B00399,2026-02-12,Morgan,Wetlands,5
386,B00399,2026-05-14,Sam,Rocky Pass,5
387,B00399,2026-04-07,Alex,Canyon Overlook,10
388,B00399,2026-06-16,Alex,Aspen Grove,6
389,B00399,2026-04-29,Alex,Lake Edge,11
390,B00990,2026-03-17,Casey,Sunset Ridge,4
391,B00990,2026-01-30,Jordan,Lake Edge,3
392,B00990,2026-05-09,Riley,Pine Lookout,10
393,B00990,2026-02-06,Casey,Cliff Basin,6
394,B00990,2026-02-05,Jordan,Wetlands,2
395,B00990,2026-05-11,Morgan,Rocky Pass,2
396,B01354,2026-02-17,Riley,Wetlands,2
397,B01354,2026-01-22,Riley,Sunset Ridge,4
398,B01354,2026-04-04,Sam,Sunset Ridge,9
399,B01354,2026-04-05,Taylor,Sunset Ridge,9
400,B01354,2026-05-16,Taylor,Wetlands,1
401,B01354,2026-02-05,Casey,Canyon Overlook,9
402,B00477,2026-06-09,Sam,Aspen Grove,5
403,B00477,2026-06-14,Taylor,Pine Lookout,8
404,B00477,2026-04-08,Taylor,Lake Edge,2
405,B00477,2026-03-27,Taylor,Canyon Overlook,11
406,B00477,2026-04-16,Morgan,Cliff Basin,6
407,B00225,2026-02-21,Jordan,Wetlands,3
408,B00225,2026-04-30,Riley,Wetlands,3
409,B00225,2026-01-03,Casey,Lake Edge,2
410,B00225,2026-02-24,Sam,Canyon Overlook,1
411,B00225,2026-01-01,Quinn,Canyon Overlook,9
412,B00225,2026-02-20,Quinn,Sunset Ridge,10
413,B00225,2026-04-01,Alex,Canyon Overlook,9
414,B01665,2026-05-28,Alex,Canyon Overlook,4
415,B01665,2026-05-23,Sam,Cliff Basin,8
416,B01665,2026-01-01,Quinn,Wetlands,2
417,B01665,2026-03-10,Quinn,Aspen Grove,8
418,B01665,2026-02-12,Riley,Aspen Grove,6
419,B01665,2026-04-10,Jordan,Wetlands,9
420,B00904,2026-01-24,Taylor,Canyon Overlook,6
421,B00904,2026-06-25,Sam,Canyon Overlook,8
422,B00904,2026-05-30,Sam,Rocky Pass,7
423,B00904,2026-04-12,Jordan,Pine Lookout,8
424,B00773,2026-04-26,Sam,Canyon Overlook,8
425,B00773,2026-03-15,Quinn,Cliff Basin,10
426,B00773,2026-03-05,Sam,Pine Lookout,10
427,B00773,2026-02-28,Quinn,Canyon Overlook,1
428,B00773,2026-05-08,Taylor,Pine Lookout,1
429,B00773,2026-06-26,Quinn,Aspen Grove,2
430,B00773,2026-02-07,Taylor,Canyon Overlook,6
431,B01692,2026-04-24,Riley,Sunset Ridge,7
432,B01692,2026-02-11,Jordan,Canyon Overlook,9
433,B01692,2026-05-26,Sam,Pine Lookout,9
434,B01692,2026-03-22,Jordan,Sunset Ridge,6
435,B01692,2026-06-22,Quinn,Wetlands,10
436,B01692,2026-03-17,Morgan,Lake Edge,11
437,B01692,2026-03-24,Taylor,Pine Lookout,1
438,B00162,2026-03-05,Morgan,Aspen Grove,1
439,B00162,2026-03-27,Taylor,Aspen Grove,9
440,B00162,2026-01-05,Casey,Sunset Ridge,6
441,B00162,2026-01-03,Alex,Lake Edge,6
442,B00162,2026-06-27,Riley,Sunset Ridge,5
443,B00514,2026-03-09,Casey,Pine Lookout,3
444,B00514,2026-02-02,Jordan,Rocky Pass,5
445,B00514,2026-05-14,Morgan,Canyon Overlook,7
446,B00514,2026-04-17,Morgan,Cliff Basin,3
447,B00514,2026-02-27,Taylor,Pine Lookout,6
448,B00514,2026-01-22,Riley,Cliff Basin,9
449,B00514,2026-05-15,Quinn,Sunset Ridge,5
450,B01363,2026-01-06,Morgan,Rocky Pass,4
451,B01363,2026-01-09,Casey,Rocky Pass,10
452,B01363,2026-06-23,Riley,Wetlands,6
453,B01363,2026-05-09,Alex,Pine Lookout,1
454,B01363,2026-04-09,Taylor,Aspen Grove,10
455,B01363,2026-05-03,Taylor,Lake Edge,2
456,B00684,2026-01-06,Jordan,Wetlands,4
457,B00684,2026-06-12,Taylor,Cliff Basin,3
458,B00684,2026-01-09,Jordan,Lake Edge,8
459,B00684,2026-02-03,Riley,Canyon Overlook,3
460,B00684,2026-03-16,Alex,Aspen Grove,8
461,B01520,2026-05-01,Morgan,Sunset Ridge,6
462,B01520,2026-03-04,Taylor,Aspen Grove,1
463,B01520,2026-01-01,Jordan,Rocky Pass,8
464,B01520,2026-03-26,Quinn,Cliff Basin,3
465,B01128,2026-01-18,Quinn,Sunset Ridge,3
466,B01128,2026-05-26,Alex,Rocky Pass,7
467,B01128,2026-06-05,Quinn,Wetlands,6
468,B01128,2026-02-18,Jordan,Pine Lookout,10
469,B01523,2026-05-04,Casey,Pine Lookout,8
470,B01523,2026-03-19,Taylor,Rocky Pass,9
471,B01523,2026-02-04,Quinn,Sunset Ridge,9
472,B01523,2026-01-29,Quinn,Rocky Pass,8
473,B01523,2026-05-31,Casey,Sunset Ridge,1
474,B01523,2026-06-01,Casey,Aspen Grove,11
475,B01523,2026-03-06,Alex,Rocky Pass,3
476,B00029,2026-03-29,Riley,Lake Edge,2
477,B00029,2026-06-22,Quinn,Canyon Overlook,1
478,B00029,2026-05-11,Riley,Aspen Grove,7
479,B00029,2026-05-29,Jordan,Cliff Basin,8
480,B00029,2026-01-07,Quinn,Canyon Overlook,8
481,B00029,2026-06-03,Jordan,Rocky Pass,9
482,B00029,2026-02-11,Jordan,Cliff Basin,10
483,B01005,2026-01-28,Morgan,Canyon Overlook,7
484,B01005,2026-06-23,Jordan,Wetlands,2
485,B01005,2026-06-05,Riley,Wetlands,7
486,B01005,2026-01-19,Riley,Rocky Pass,6
487,B01005,2026-02-07,Jordan,Lake Edge,8
488,B01005,2026-05-06,Quinn,Sunset Ridge,8
489,B01005,2026-06-26,Quinn,Cliff Basin,6
490,B00348,2026-04-21,Sam,Lake Edge,3
491,B00348,2026-02-19,Jordan,Canyon Overlook,2
492,B00348,2026-04-23,Riley,Wetlands,4
493,B00348,2026-06-02,Casey,Canyon Overlook,8
494,B01059,2026-06-01,Sam,Pine Lookout,1
495,B01059,2026-05-05,Alex,Aspen Grove,5
496,B01059,2026-01-12,Alex,Canyon Overlook,4
497,B01059,2026-03-02,Casey,Cliff Basin,8
498,B01059,2026-06-18,Quinn,Lake Edge,3
499,B01059,2026-01-10,Morgan,Canyon Overlook,10
500,B01196,2026-05-24,Riley,Sunset Ridge,10
501,B01196,2026-05-30,Riley,Cliff Basin,2
502,B01196,2026-03-23,Alex,Cliff Basin,7
503,B01196,2026-04-08,Riley,Lake Edge,4
504,B01196,2026-02-05,Taylor,Sunset Ridge,11
505,B00087,2026-04-15,Quinn,Canyon Overlook,5
506,B00087,2026-01-15,Morgan,Rocky Pass,4
507,B00087,2026-03-20,Taylor,Lake Edge,5
508,B00087,2026-01-29,Jordan,Cliff Basin,1
