,bird_id,common_name,family,field_guide_region
93,B00094,Heron,Warbler,Meadow Loop
94,B00095,Pelican,Finch,Canyon Pass
95,B00096,Wren,Warbler,River Trail
96,B00097,Wren,Woodpecker,North Rim
97,B00098,Jay,Warbler,River Trail
98,B00099,Jay,Finch,North Rim
99,B00100,Sparrow,Finch,River Trail
100,B00101,Goldfinch,Thrush,North Rim
101,B00102,Hawk,Finch,Meadow Loop
102,B00103,Goldfinch,Finch,South Rim
103,B00104,Bluebird,Warbler,South Rim
104,B00105,Goldfinch,Thrush,North Rim
105,B00106,Goldfinch,Thrush,Canyon Pass
106,B00107,Goldfinch,Thrush,Canyon Pass
107,B00108,Jay,Finch,Canyon Pass
108,B00109,Falcon,Thrush,North Rim
109,B00110,Chickadee,Woodpecker,South Rim
110,B00111,Wren,Warbler,Canyon Pass
111,B00112,Goldfinch,Gull,River Trail
112,B00113,Swallow,Gull,North Rim
113,B00114,Heron,Finch,North Rim
114,B00115,Falcon,Woodpecker,South Rim
115,B00116,Swallow,Thrush,Canyon Pass
116,B00117,Bluebird,Warbler,North Rim
117,B00118,Sparrow,Warbler,Canyon Pass
118,B00119,Wren,Thrush,Meadow Loop
119,B00120,Sparrow,Raptor,Canyon Pass
120,B00121,Heron,Raptor,Canyon Pass
121,B00122,Jay,Owl,South Rim
122,B00123,Jay,Raptor,Canyon Pass
123,B00124,Falcon,Woodpecker,North Rim
124,B00125,Pelican,Owl,South Rim
125,B00126,Swallow,Woodpecker,South Rim
126,B00127,Sparrow,Thrush,North Rim
127,B00128,Chickadee,Woodpecker,North Rim
128,B00129,Swallow,Gull,North Rim
129,B00130,Jay,Woodpecker,North Rim
130,B00131,Swallow,Raptor,South Rim
131,B00132,Swallow,Woodpecker,North Rim
132,B00133,Sparrow,Gull,North Rim
133,B00134,Swallow,Thrush,Canyon Pass
134,B00135,Goldfinch,Raptor,North Rim
135,B00136,Wren,Thrush,North Rim
136,B00137,Swallow,Woodpecker,North Rim
137,B00138,Bluebird,Raptor,North Rim
138,B00139,Robin,Warbler,River Trail
139,B00140,Heron,Finch,Canyon Pass
140,B00141,Kestrel,Raptor,Meadow Loop
141,B00142,Hawk,Thrush,River Trail
142,B00143,Wren,Owl,North Rim
143,B00144,Heron,Owl,Meadow Loop
144,B00145,Kestrel,Owl,North Rim
145,B00146,Pelican,Gull,Meadow Loop
146,B00147,Bluebird,Raptor,River Trail
147,B00148,Wren,Finch,Canyon Pass
148,B00149,Goldfinch,Finch,South Rim
149,B00150,Bluebird,Warbler,Meadow Loop
150,B00151,Pelican,Thrush,River Trail
151,B00152,Wren,Warbler,River Trail
152,B00153,Pelican,Finch,Canyon Pass
153,B00154,Wren,Warbler,Meadow Loop
154,B00155,Heron,Thrush,River Trail
155,B00156,Jay,Owl,River Trail
156,B00157,Sparrow,Raptor,Meadow Loop
157,B00158,Swallow,Gull,South Rim
158,B00159,Falcon,Finch,North Rim
159,B00160,Goldfinch,Owl,River Trail
160,B00161,Kestrel,Owl,North Rim
161,B00162,Jay,Raptor,North Rim
162,B00163,Heron,Owl,River Trail
163,B00164,Heron,Raptor,Meadow Loop
164,B00165,Heron,Owl,Meadow Loop
165,B00166,Goldfinch,Raptor,South Rim
166,B00167,Robin,Thrush,River Trail
167,B00168,Hawk,Owl,North Rim
168,B00169,Robin,Thrush,Meadow Loop
169,B00170,Bluebird,Owl,South Rim
170,B00171,Sparrow,Thrush,Meadow Loop
171,B00172,Sparrow,Warbler,Canyon Pass
172,B00173,Goldfinch,Gull,Meadow Loop
173,B00174,Chickadee,Woodpecker,South Rim
174,B00175,Chickadee,Raptor,Canyon Pass
175,B00176,Falcon,Thrush,Meadow Loop
176,B00177,Chickadee,Warbler,Meadow Loop
177,B00178,Hawk,Woodpecker,Canyon Pass
178,B00179,Pelican,Owl,Canyon Pass
179,B00180,Falcon,Thrush,North Rim
180,B00181,Kestrel,Raptor,Canyon Pass
181,B00182,Sparrow,Warbler,Meadow Loop
182,B00183,Falcon,Warbler,South Rim
183,B00184,Chickadee,Owl,South Rim
184,B00185,Falcon,Gull,Meadow Loop
185,B00186,Heron,Warbler,South Rim
186,B00187,Hawk,Gull,River Trail
187,B00188,Robin,Raptor,Meadow Loop
188,B00189,Wren,Thrush,Meadow Loop
189,B00190,Wren,Finch,Canyon Pass
190,B00191,Jay,Warbler,North Rim
191,B00192,Jay,Warbler,South Rim
192,B00193,Swallow,Woodpecker,Canyon Pass
193,B00194,Robin,Gull,River Trail
194,B00195,Kestrel,Thrush,South Rim
195,B00196,Sparrow,Owl,South Rim
196,B00197,Robin,Gull,South Rim
197,B00198,Sparrow,Woodpecker,River Trail
198,B00199,Robin,Owl,South Rim
199,B00200,Kestrel,Raptor,Meadow Loop
200,B00201,Robin,Finch,River Trail
201,B00202,Pelican,Finch,Meadow Loop
202,B00203,Falcon,Owl,North Rim
203,B00204,Chickadee,Warbler,Meadow Loop
204,B00205,Heron,Raptor,Canyon Pass
205,B00206,Wren,Warbler,North Rim
206,B00207,Chickadee,Raptor,South Rim
207,B00208,Kestrel,Warbler,Meadow Loop
208,B00209,Wren,Thrush,Meadow Loop
209,B00210,Goldfinch,Woodpecker,Meadow Loop
210,B00211,Wren,Thrush,River Trail
211,B00212,Chickadee,Woodpecker,Meadow Loop
212,B00213,Goldfinch,Thrush,Meadow Loop
213,B00214,Heron,Owl,North Rim
214,B00215,Chickadee,Raptor,Meadow Loop
215,B00216,Wren,Finch,River Trail
216,B00217,Sparrow,Warbler,North Rim
217,B00218,Sparrow,Finch,River Trail
218,B00219,Heron,Finch,River Trail
219,B00220,Pelican,Finch,North Rim
220,B00221,Sparrow,Raptor,Canyon Pass
221,B00222,Heron,Finch,South Rim
222,B00223,Chickadee,Owl,South Rim
223,B00224,Hawk,Finch,River Trail
224,B00225,Chickadee,Raptor,Canyon Pass
225,B00226,Wren,Thrush,Meadow Loop
226,B00227,Goldfinch,Raptor,Meadow Loop
227,B00228,Swallow,Thrush,South Rim
228,B00229,Swallow,Warbler,Canyon Pass
229,B00230,Hawk,Woodpecker,Canyon Pass
230,B00231,Falcon,Thrush,River Trail
231,B00232,Pelican,Finch,River Trail
232,B00233,Bluebird,Owl,North Rim
233,B00234,Chickadee,Woodpecker,Meadow Loop
234,B00235,Falcon,Warbler,Canyon Pass
235,B00236,Chickadee,Warbler,River Trail
236,B00237,Jay,Raptor,River Trail
237,B00238,Heron,Finch,River Trail
238,B00239,Robin,Woodpecker,North Rim
239,B00240,Jay,Warbler,Meadow Loop
240,B00241,Sparrow,Warbler,Meadow Loop
241,B00242,Swallow,Warbler,Canyon Pass
242,B00243,Sparrow,Woodpecker,Canyon Pass
243,B00244,Jay,Thrush,River Trail
244,B00245,Jay,Raptor,Canyon Pass
245,B00246,Sparrow,Thrush,River Trail
246,B00247,Chickadee,Warbler,Meadow Loop
247,B00248,Heron,Woodpecker,Meadow Loop
248,B00249,Goldfinch,Thrush,Canyon Pass
249,B00250,Bluebird,Raptor,Meadow Loop
250,B00251,Hawk,Woodpecker,North Rim
251,B00252,Falcon,Gull,North Rim
252,B00253,Hawk,Thrush,River Trail
253,B00254,Robin,Finch,River Trail
254,B00255,Jay,Woodpecker,Meadow Loop
255,B00256,Sparrow,Raptor,River Trail
256,B00257,Jay,Finch,River Trail
257,B00258,Sparrow,Finch,Canyon Pass
258,B00259,Hawk,Gull,South Rim
259,B00260,Swallow,Warbler,River Trail
260,B00261,Goldfinch,Owl,River Trail
261,B00262,Hawk,Woodpecker,River Trail
262,B00263,Wren,Thrush,Canyon Pass
263,B00264,Kestrel,Owl,Canyon Pass
264,B00265,Kestrel,Owl,River Trail
265,B00266,Swallow,Owl,River Trail
266,B00267,Heron,Raptor,River Trail
267,B00268,Robin,Finch,North Rim
268,B00269,Swallow,Owl,River Trail
269,B00270,Swallow,Warbler,South Rim
270,B00271,Wren,Owl,North Rim
271,B00272,Bluebird,Woodpecker,North Rim
272,B00273,Sparrow,Gull,River Trail
273,B00274,Kestrel,Raptor,North Rim
274,B00275,Heron,Finch,Meadow Loop
275,B00276,Falcon,Thrush,River Trail
276,B00277,Falcon,Woodpecker,South Rim
277,B00278,Goldfinch,Raptor,Meadow Loop
278,B00279,Bluebird,Thrush,River Trail
279,B00280,Sparrow,Owl,Meadow Loop
280,B00281,Wren,Gull,Meadow Loop
281,B00282,Falcon,Gull,North Rim
282,B00283,Jay,Thrush,South Rim
283,B00284,Falcon,Owl,River Trail
284,B00285,Heron,Gull,Canyon Pass
285,B00286,Kestrel,Owl,North Rim
286,B00287,Hawk,Owl,North Rim
287,B00288,Swallow,Warbler,Canyon Pass
288,B00289,Swallow,Warbler,Canyon Pass
289,B00290,Falcon,Woodpecker,North Rim
290,B00291,Goldfinch,Finch,River Trail
291,B00292,Wren,Finch,Meadow Loop
292,B00293,Kestrel,Raptor,North Rim
293,B00294,Robin,Gull,South Rim
294,B00295,Swallow,Owl,South Rim
295,B00296,Falcon,Thrush,Meadow Loop
296,B00297,Pelican,Finch,South Rim
297,B00298,Heron,Woodpecker,River Trail
298,B00299,Wren,Warbler,South Rim
299,B00300,Bluebird,Warbler,Meadow Loop
300,B00301,Robin,Woodpecker,North Rim
301,B00302,Goldfinch,Thrush,South Rim
302,B00303,Bluebird,Raptor,South Rim
303,B00304,Pelican,Finch,Canyon Pass
304,B00305,Swallow,Owl,Canyon Pass
305,B00306,Sparrow,Thrush,River Trail
306,B00307,Wren,Finch,North Rim
307,B00308,Swallow,Warbler,Meadow Loop
308,B00309,Robin,Owl,River Trail
309,B00310,Sparrow,Gull,Canyon Pass
310,B00311,Jay,Finch,South Rim
311,B00312,Jay,Raptor,Canyon Pass
312,B00313,Sparrow,Warbler,Canyon Pass
313,B00314,Wren,Woodpecker,South Rim
314,B00315,Wren,Gull,Meadow Loop
315,B00316,Jay,Raptor,South Rim
316,B00317,Chickadee,Raptor,South Rim
317,B00318,Chickadee,Owl,South Rim
318,B00319,Kestrel,Owl,Meadow Loop
319,B00320,Chickadee,Finch,South Rim
320,B00321,Robin,Raptor,Meadow Loop
321,B00322,Sparrow,Gull,River Trail
322,B00323,Swallow,Gull,Meadow Loop
323,B00324,Pelican,Gull,Canyon Pass
324,B00325,Kestrel,Thrush,North Rim
325,B00326,Hawk,Finch,Canyon Pass
326,B00327,Wren,Gull,North Rim
327,B00328,Bluebird,Woodpecker,River Trail
328,B00329,Sparrow,Finch,South Rim
329,B00330,Swallow,Raptor,Meadow Loop
330,B00331,Swallow,Finch,Meadow Loop
331,B00332,Robin,Warbler,Canyon Pass
332,B00333,Robin,Thrush,River Trail
333,B00334,Goldfinch,Gull,Canyon Pass
334,B00335,Heron,Woodpecker,South Rim
335,B00336,Goldfinch,Owl,South Rim
336,B00337,Kestrel,Gull,South Rim
337,B00338,Robin,Thrush,River Trail
338,B00339,Hawk,Woodpecker,Meadow Loop
339,B00340,Kestrel,Finch,Canyon Pass
340,B00341,Jay,Raptor,South Rim
341,B00342,Wren,Woodpecker,South Rim
342,B00343,Jay,Owl,Canyon Pass
343,B00344,Falcon,Owl,River Trail
344,B00345,Pelican,Warbler,South Rim
345,B00346,Wren,Woodpecker,Canyon Pass
346,B00347,Kestrel,Finch,River Trail
347,B00348,Kestrel,Finch,Canyon Pass
348,B00349,Hawk,Owl,Canyon Pass
349,B00350,Hawk,Gull,Canyon Pass
350,B00351,Falcon,Warbler,River Trail
351,B00352,Bluebird,Raptor,Meadow Loop
352,B00353,Wren,Raptor,Canyon Pass
353,B00354,Heron,Woodpecker,South Rim
354,B00355,Kestrel,Owl,North Rim
355,B00356,Kestrel,Raptor,South Rim
356,B00357,Sparrow,Owl,Meadow Loop
357,B00358,Pelican,Owl,River Trail
358,B00359,Sparrow,Raptor,North Rim
359,B00360,Chickadee,Raptor,River Trail
360,B00361,Goldfinch,Woodpecker,North Rim
361,B00362,Pelican,Finch,River Trail
362,B00363,Hawk,Warbler,River Trail
363,B00364,Pelican,Owl,Meadow Loop
364,B00365,Sparrow,Gull,River Trail
365,B00366,Falcon,Finch,River Trail
366,B00367,Falcon,Owl,Meadow Loop
367,B00368,Robin,Woodpecker,Meadow Loop
368,B00369,Bluebird,Raptor,Canyon Pass
369,B00370,Goldfinch,Raptor,South Rim
370,B00371,Robin,Warbler,River Trail
371,B00372,Jay,Gull,South Rim
372,B00373,Heron,Raptor,River Trail
373,B00374,Robin,Raptor,North Rim
374,B00375,Pelican,Gull,River Trail
375,B00376,Sparrow,Raptor,North Rim
376,B00377,Chickadee,Finch,River Trail
377,B00378,Chickadee,Finch,Canyon Pass
378,B00379,Robin,Warbler,Canyon Pass
379,B00380,Wren,Thrush,River Trail
380,B00381,Bluebird,Owl,North Rim
381,B00382,Kestrel,Thrush,South Rim
382,B00383,Kestrel,Raptor,North Rim
383,B00384,Wren,Gull,Meadow Loop
384,B00385,Bluebird,Thrush,Canyon Pass
385,B00386,Sparrow,Gull,River Trail
386,B00387,Bluebird,Owl,North Rim
387,B00388,Goldfinch,Gull,North Rim
388,B00389,Pelican,Raptor,Canyon Pass
389,B00390,Sparrow,Thrush,South Rim
390,B00391,Chickadee,Woodpecker,North Rim
391,B00392,Hawk,Raptor,North Rim
392,B00393,Robin,Owl,South Rim
393,B00394,Swallow,Warbler,Meadow Loop
394,B00395,Chickadee,Warbler,Canyon Pass
395,B00396,Pelican,Owl,South Rim
396,B00397,Bluebird,Woodpecker,Meadow Loop
397,B00398,Hawk,Woodpecker,North Rim
398,B00399,Wren,Owl,North Rim
399,B00400,Robin,Warbler,North Rim
400,B00401,Kestrel,Woodpecker,Canyon Pass
401,B00402,Goldfinch,Gull,River Trail
402,B00403,Robin,Warbler,Canyon Pass
403,B00404,Kestrel,Thrush,North Rim
404,B00405,Falcon,Woodpecker,North Rim
405,B00406,Falcon,Warbler,Canyon Pass
406,B00407,Heron,Owl,North Rim
407,B00408,Sparrow,Thrush,North Rim
408,B00409,Kestrel,Warbler,River Trail
409,B00410,Bluebird,Warbler,Meadow Loop
410,B00411,Hawk,Warbler,South Rim
411,B00412,Hawk,Gull,River Trail
412,B00413,Wren,Woodpecker,Meadow Loop
413,B00414,Sparrow,Woodpecker,River Trail
414,B00415,Bluebird,Owl,South Rim
415,B00416,Jay,Warbler,North Rim
416,B00417,Kestrel,Woodpecker,River Trail
417,B00418,Sparrow,Finch,Canyon Pass
418,B00419,Wren,Finch,Meadow Loop
419,B00420,Falcon,Gull,Canyon Pass
420,B00421,Kestrel,Owl,North Rim
421,B00422,Chickadee,Woodpecker,North Rim
422,B00423,Chickadee,Gull,River Trail
423,B00424,Swallow,Gull,North Rim
424,B00425,Heron,Owl,River Trail
425,B00426,Hawk,Warbler,Canyon Pass
426,B00427,Pelican,Raptor,South Rim
427,B00428,Goldfinch,Gull,River Trail
428,B00429,Bluebird,Thrush,Meadow Loop
429,B00430,Chickadee,Raptor,North Rim
430,B00431,Sparrow,Owl,Canyon Pass
431,B00432,Chickadee,Woodpecker,South Rim
432,B00433,Goldfinch,Finch,Canyon Pass
433,B00434,Sparrow,Raptor,Meadow Loop
434,B00435,Heron,Finch,North Rim
435,B00436,Sparrow,Gull,Meadow Loop
436,B00437,Swallow,Finch,North Rim
437,B00438,Kestrel,Thrush,River Trail
438,B00439,Sparrow,Finch,Canyon Pass
439,B00440,Heron,Raptor,Canyon Pass
440,B00441,Kestrel,Gull,Canyon Pass
441,B00442,Wren,Woodpecker,River Trail
442,B00443,Sparrow,Woodpecker,River Trail
443,B00444,Falcon,Gull,South Rim
444,B00445,Falcon,Raptor,Canyon Pass
445,B00446,Jay,Finch,River Trail
446,B00447,Robin,Warbler,Meadow Loop
447,B00448,Kestrel,Woodpecker,South Rim
448,B00449,Falcon,Owl,Meadow Loop
449,B00450,Wren,Owl,South Rim
450,B00451,Kestrel,Raptor,Meadow Loop
451,B00452,Kestrel,Raptor,North Rim
452,B00453,Falcon,Owl,North Rim
453,B00454,Bluebird,Finch,South Rim
454,B00455,Swallow,Gull,River Trail
455,B00456,Swallow,Finch,Meadow Loop
456,B00457,Sparrow,Finch,South Rim
457,B00458,Jay,Gull,North Rim
458,B00459,Goldfinch,Owl,South Rim
459,B00460,Sparrow,Raptor,River Trail
460,B00461,Chickadee,Owl,River Trail
461,B00462,Sparrow,Warbler,Meadow Loop
462,B00463,Chickadee,Raptor,South Rim
463,B00464,Heron,Woodpecker,Meadow Loop
464,B00465,Bluebird,Woodpecker,Meadow Loop
465,B00466,Kestrel,Woodpecker,Meadow Loop
466,B00467,Hawk,Raptor,River Trail
467,B00468,Swallow,Owl,Canyon Pass
468,B00469,Hawk,Woodpecker,South Rim
469,B00470,Kestrel,Woodpecker,Meadow Loop
470,B00471,Chickadee,Thrush,North Rim
471,B00472,Goldfinch,Owl,North Rim
472,B00473,Heron,Woodpecker,Canyon Pass
473,B00474,Falcon,Owl,River Trail
474,B00475,Jay,Warbler,Meadow Loop
475,B00476,Goldfinch,Owl,Meadow Loop
476,B00477,Pelican,Thrush,Meadow Loop
477,B00478,Bluebird,Finch,South Rim
478,B00479,Jay,Gull,North Rim
479,B00480,Sparrow,Finch,North Rim
480,B00481,Wren,Gull,Canyon Pass
481,B00482,Goldfinch,Warbler,South Rim
482,B00483,Wren,Gull,River Trail
483,B00484,Goldfinch,Gull,River Trail
484,B00485,Falcon,Gull,North Rim
485,B00486,Wren,Raptor,River Trail
486,B00487,Robin,Raptor,North Rim
487,B00488,Falcon,Warbler,North Rim
488,B00489,Chickadee,Finch,North Rim
489,B00490,Swallow,Gull,Canyon Pass
490,B00491,Kestrel,Raptor,River Trail
491,B00492,Pelican,Raptor,Canyon Pass
492,B00493,Chickadee,Raptor,River Trail
493,B00494,Swallow,Warbler,South Rim
494,B00495,Wren,Gull,Meadow Loop
495,B00496,Heron,Owl,Canyon Pass
496,B00497,Sparrow,Raptor,River Trail
497,B00498,Robin,Woodpecker,North Rim
498,B00499,Kestrel,Finch,South Rim
499,B00500,Heron,Warbler,Canyon Pass
500,B00501,Sparrow,Raptor,River Trail
501,B00502,Jay,Thrush,Canyon Pass
502,B00503,Kestrel,Thrush,River Trail
503,B00504,Pelican,Raptor,North Rim
504,B00505,Wren,Finch,Canyon Pass
505,B00506,Heron,Owl,Meadow Loop
506,B00507,Falcon,Thrush,Meadow Loop
507,B00508,Wren,Owl,Canyon Pass
508,B00509,Wren,Warbler,North Rim
509,B00510,Wren,Thrush,Canyon Pass
510,B00511,Kestrel,Gull,South Rim
511,B00512,Chickadee,Owl,Canyon Pass
512,B00513,Goldfinch,Gull,North Rim
513,B00514,Goldfinch,Thrush,River Trail
514,B00515,Kestrel,Thrush,Meadow Loop
515,B00516,Sparrow,Raptor,North Rim
516,B00517,Pelican,Finch,North Rim
517,B00518,Bluebird,Woodpecker,Canyon Pass
518,B00519,Falcon,Raptor,North Rim
519,B00520,Swallow,Warbler,Meadow Loop
520,B00521,Robin,Woodpecker,Canyon Pass
521,B00522,Sparrow,Warbler,Meadow Loop
522,B00523,Hawk,Thrush,River Trail
523,B00524,Goldfinch,Raptor,River Trail
524,B00525,Robin,Raptor,Meadow Loop
525,B00526,Robin,Gull,River Trail
526,B00527,Kestrel,Woodpecker,River Trail
527,B00528,Sparrow,Woodpecker,North Rim
528,B00529,Pelican,Raptor,Meadow Loop
529,B00530,Pelican,Woodpecker,Meadow Loop
530,B00531,Swallow,Gull,Meadow Loop
531,B00532,Hawk,Thrush,North Rim
532,B00533,Hawk,Woodpecker,Meadow Loop
533,B00534,Wren,Thrush,Meadow Loop
534,B00535,Swallow,Gull,North Rim
535,B00536,Sparrow,Owl,Canyon Pass
536,B00537,Heron,Warbler,River Trail
537,B00538,Sparrow,Warbler,River Trail
538,B00539,Swallow,Finch,Meadow Loop
539,B00540,Bluebird,Woodpecker,River Trail
540,B00541,Chickadee,Warbler,River Trail
541,B00542,Bluebird,Gull,South Rim
542,B00543,Hawk,Finch,Canyon Pass
543,B00544,Hawk,Thrush,Canyon Pass
544,B00545,Goldfinch,Gull,North Rim
545,B00546,Bluebird,Owl,Meadow Loop
546,B00547,Heron,Gull,North Rim
547,B00548,Swallow,Warbler,South Rim
548,B00549,Falcon,Warbler,Canyon Pass
549,B00550,Jay,Raptor,North Rim
550,B00551,Goldfinch,Finch,South Rim
551,B00552,Heron,Finch,South Rim
552,B00553,Goldfinch,Warbler,Meadow Loop
553,B00554,Robin,Finch,River Trail
554,B00555,Kestrel,Raptor,River Trail
555,B00556,Falcon,Gull,Canyon Pass
556,B00557,Chickadee,Owl,River Trail
557,B00558,Pelican,Gull,Meadow Loop
558,B00559,Goldfinch,Thrush,North Rim
559,B00560,Pelican,Woodpecker,South Rim
560,B00561,Falcon,Thrush,Canyon Pass
561,B00562,Bluebird,Woodpecker,Canyon Pass
562,B00563,Falcon,Thrush,Meadow Loop
563,B00564,Hawk,Finch,South Rim
564,B00565,Pelican,Thrush,North Rim
565,B00566,Wren,Thrush,Canyon Pass
566,B00567,Hawk,Gull,Meadow Loop
567,B00568,Wren,Owl,South Rim
568,B00569,Jay,Thrush,River Trail
569,B00570,Swallow,Woodpecker,Meadow Loop
570,B00571,Kestrel,Raptor,River Trail
571,B00572,Heron,Raptor,Canyon Pass
572,B00573,Wren,Raptor,North Rim
573,B00574,Bluebird,Finch,South Rim
574,B00575,Bluebird,Warbler,North Rim
575,B00576,Robin,Raptor,Meadow Loop
576,B00577,Kestrel,Warbler,Meadow Loop
577,B00578,Falcon,Thrush,Canyon Pass
578,B00579,Pelican,Raptor,River Trail
579,B00580,Sparrow,Gull,North Rim
580,B00581,Sparrow,Owl,River Trail
581,B00582,Goldfinch,Raptor,North Rim
582,B00583,Sparrow,Raptor,Meadow Loop
583,B00584,Bluebird,Owl,Meadow Loop
584,B00585,Heron,Gull,Canyon Pass
585,B00586,Kestrel,Owl,South Rim
586,B00587,Jay,Woodpecker,South Rim
587,B00588,Sparrow,Owl,North Rim
588,B00589,Goldfinch,Woodpecker,River Trail
589,B00590,Goldfinch,Raptor,River Trail
590,B00591,Goldfinch,Raptor,Meadow Loop
591,B00592,Pelican,Raptor,Meadow Loop
592,B00593,Wren,Warbler,North Rim
593,B00594,Kestrel,Owl,South Rim
594,B00595,Robin,Owl,River Trail
595,B00596,Goldfinch,Owl,South Rim
596,B00597,Swallow,Warbler,North Rim
597,B00598,Goldfinch,Finch,Canyon Pass
598,B00599,Jay,Warbler,Meadow Loop
599,B00600,Jay,Woodpecker,River Trail
600,B00601,Jay,Warbler,South Rim
601,B00602,Goldfinch,Warbler,Canyon Pass
602,B00603,Chickadee,Finch,North Rim
603,B00604,Sparrow,Woodpecker,River Trail
604,B00605,Goldfinch,Woodpecker,Canyon Pass
605,B00606,Falcon,Thrush,Canyon Pass
606,B00607,Robin,Raptor,South Rim
607,B00608,Falcon,Warbler,Meadow Loop
608,B00609,Kestrel,Raptor,North Rim
609,B00610,Pelican,Finch,North Rim
610,B00611,Goldfinch,Warbler,South Rim
611,B00612,Falcon,Thrush,Canyon Pass
612,B00613,Goldfinch,Finch,Meadow Loop
613,B00614,Heron,Thrush,River Trail
614,B00615,Jay,Warbler,South Rim
615,B00616,Jay,Thrush,North Rim
616,B00617,Wren,Thrush,South Rim
617,B00618,Wren,Finch,North Rim
618,B00619,Bluebird,Owl,North Rim
619,B00620,Sparrow,Owl,Meadow Loop
620,B00621,Heron,Thrush,North Rim
621,B00622,Falcon,Thrush,North Rim
622,B00623,Hawk,Raptor,River Trail
623,B00624,Heron,Gull,South Rim
624,B00625,Swallow,Owl,River Trail
625,B00626,Wren,Owl,North Rim
