order_id,shipment_id,event_id,event_type,event_ts,scan_city,scan_state
ORD0001977,SHP000691,E001608,picked_up,2025-09-21 08:00:00,Dallas,CO
ORD0000333,SHP000713,E000673,in_transit,2025-02-01 23:00:00,Phoenix,TX
ORD0002075,SHP001415,E004530,label_created,2025-02-07 01:00:00,Los Angeles,CA
ORD0001265,SHP000442,E001966,in_transit,2025-04-18 09:00:00,Phoenix,FL
ORD0001842,SHP000103,E000905,in_transit,2025-02-27 22:00:00,Miami,TX
ORD0002019,SHP000333,E003938,in_transit,2025-04-16 15:00:00,Denver,CA
ORD0001224,SHP000547,E000806,delivered,2025-04-14 09:00:00,Miami,CA
ORD0000241,SHP001179,E004912,out_for_delivery,2025-12-23 14:00:00,Denver,TX
ORD0000817,SHP000873,E000992,picked_up,2025-01-02 11:00:00,Phoenix,IL
ORD0000802,SHP000368,E004287,delivered,2025-05-12 17:00:00,Chicago,FL
ORD0001296,SHP001056,E001891,exception,2025-10-24 20:00:00,Phoenix,CA
ORD0000333,SHP000057,E000818,delivered,2025-08-07 11:00:00,Seattle,NY
ORD0001152,SHP000663,E000772,label_created,2025-01-25 07:00:00,Los Angeles,CA
ORD0000378,SHP001087,E002632,delivered,2025-09-06 17:00:00,New York,WA
ORD0000564,SHP000662,E004039,delivered,2025-11-12 13:00:00,Miami,NY
ORD0002042,SHP000936,E002157,picked_up,2025-06-17 18:00:00,Miami,WA
ORD0001903,SHP000706,E004860,in_transit,2025-12-24 15:00:00,Denver,CA
ORD0001194,SHP001512,E003406,delivered,2025-05-13 16:00:00,Phoenix,NY
ORD0001640,SHP000400,E001103,out_for_delivery,2025-05-15 01:00:00,Los Angeles,CA
ORD0001809,SHP001362,E002286,exception,2025-09-22 16:00:00,Miami,NY
ORD0000508,SHP000686,E003594,out_for_delivery,2025-12-21 15:00:00,Miami,NY
ORD0000043,SHP000869,E001219,exception,2025-11-29 06:00:00,Miami,WA
ORD0001154,SHP001510,E003070,exception,2025-05-13 11:00:00,Los Angeles,FL
ORD0000755,SHP001633,E003648,out_for_delivery,2025-04-19 23:00:00,Denver,AZ
ORD0001592,SHP001080,E002857,delivered,2025-08-13 22:00:00,Chicago,NY
ORD0001283,SHP001768,E000610,in_transit,2025-06-15 00:00:00,Chicago,AZ
ORD0000992,SHP001424,E003322,out_for_delivery,2025-03-15 12:00:00,Denver,TX
ORD0000138,SHP000106,E000298,in_transit,2025-03-18 00:00:00,Chicago,CA
ORD0001102,SHP001347,E005339,delivered,2025-07-21 06:00:00,Miami,CO
ORD0000778,SHP001133,E005289,exception,2025-11-02 18:00:00,New York,FL
ORD0001669,SHP001524,E003102,delivered,2025-11-07 23:00:00,Miami,IL
ORD0001797,SHP000516,E002161,in_transit,2025-10-18 13:00:00,Phoenix,IL
ORD0001318,SHP001088,E005594,label_created,2025-03-16 18:00:00,Dallas,AZ
ORD0000875,SHP000989,E001549,out_for_delivery,2025-02-09 05:00:00,New York,WA
ORD0001883,SHP000156,E000837,label_created,2025-01-12 06:00:00,New York,AZ
ORD0002018,SHP000664,E005347,in_transit,2025-07-21 22:00:00,Los Angeles,CO
ORD0000440,SHP001452,E002930,label_created,2025-10-27 11:00:00,Denver,TX
ORD0001736,SHP000659,E003849,in_transit,2025-01-17 03:00:00,New York,AZ
ORD0001324,SHP001574,E005123,in_transit,2025-05-16 03:00:00,Seattle,FL
ORD0000223,SHP001433,E004153,in_transit,2025-07-31 23:00:00,Denver,IL
ORD0000085,SHP000938,E002242,in_transit,2025-02-24 13:00:00,Denver,IL
ORD0000768,SHP000632,E005229,out_for_delivery,2025-04-03 20:00:00,Miami,WA
ORD0000594,SHP001222,E000318,label_created,2025-09-29 22:00:00,Seattle,CO
ORD0000013,SHP001227,E001051,delivered,2025-12-15 09:00:00,Seattle,CO
ORD0001482,SHP001271,E004157,in_transit,2025-10-20 21:00:00,Dallas,CA
ORD0002159,SHP001213,E001257,delivered,2025-09-01 07:00:00,Phoenix,FL
ORD0000195,SHP000409,E004131,in_transit,2025-06-08 12:00:00,New York,CA
ORD0000160,SHP000962,E004878,out_for_delivery,2025-06-20 20:00:00,Phoenix,CA
ORD0000672,SHP000641,E002346,delivered,2025-08-07 23:00:00,Phoenix,FL
ORD0000703,SHP001122,E000875,delivered,2025-10-18 09:00:00,Miami,NY
ORD0000356,SHP001494,E001804,delivered,2025-09-27 05:00:00,Denver,NY
ORD0001314,SHP000257,E004508,picked_up,2025-12-29 18:00:00,New York,WA
ORD0000999,SHP001573,E005004,delivered,2025-03-20 04:00:00,Phoenix,CA
ORD0000506,SHP000685,E003380,picked_up,2025-11-21 15:00:00,Seattle,FL
ORD0002175,SHP000027,E001517,label_created,2025-06-09 23:00:00,Chicago,AZ
ORD0001116,SHP000364,E004445,in_transit,2025-03-17 09:00:00,Seattle,FL
ORD0000349,SHP001759,E002946,in_transit,2025-12-05 22:00:00,Los Angeles,AZ
ORD0000756,SHP001608,E002287,out_for_delivery,2025-12-02 11:00:00,Chicago,AZ
ORD0001741,SHP000087,E003010,picked_up,2025-05-31 21:00:00,Dallas,IL
ORD0000418,SHP001695,E002385,in_transit,2025-11-04 05:00:00,New York,CO
ORD0000689,SHP000744,E001291,in_transit,2025-08-28 13:00:00,Chicago,WA
ORD0000261,SHP001445,E000398,out_for_delivery,2025-11-06 18:00:00,Los Angeles,CA
ORD0001711,SHP000541,E000084,picked_up,2025-02-14 13:00:00,Dallas,TX
ORD0000468,SHP000987,E005587,delivered,2025-10-16 19:00:00,Dallas,FL
ORD0002045,SHP001293,E004107,in_transit,2025-09-03 10:00:00,Los Angeles,AZ
ORD0000808,SHP000736,E000211,in_transit,2025-09-10 03:00:00,Miami,WA
ORD0001269,SHP000567,E000358,out_for_delivery,2025-03-25 04:00:00,Seattle,CA
ORD0000349,SHP001759,E001461,delivered,2025-11-10 10:00:00,Los Angeles,NY
ORD0001833,SHP000715,E004192,delivered,2025-07-11 21:00:00,Seattle,CA
ORD0000572,SHP000310,E004027,label_created,2025-10-08 20:00:00,Miami,CO
ORD0001830,SHP000701,E000033,in_transit,2025-09-29 07:00:00,Seattle,IL
ORD0000241,SHP001231,E004850,in_transit,2025-06-29 09:00:00,New York,AZ
ORD0001619,SHP000057,E002748,out_for_delivery,2025-12-17 12:00:00,Seattle,CO
ORD0001025,SHP000612,E004235,in_transit,2025-12-14 00:00:00,Miami,IL
ORD0001124,SHP000562,E004183,in_transit,2025-01-06 16:00:00,New York,IL
ORD0001947,SHP000275,E000065,out_for_delivery,2025-11-28 21:00:00,Phoenix,CO
ORD0000466,SHP000506,E003786,delivered,2025-02-08 08:00:00,Phoenix,TX
ORD0000374,SHP001010,E003126,exception,2025-03-09 10:00:00,Phoenix,CA
ORD0002188,SHP001287,E000174,in_transit,2025-05-18 22:00:00,New York,IL
ORD0001079,SHP000235,E003480,out_for_delivery,2025-03-05 01:00:00,Los Angeles,AZ
ORD0000580,SHP001036,E001008,out_for_delivery,2025-04-15 06:00:00,New York,NY
ORD0001967,SHP000902,E002939,picked_up,2025-02-06 13:00:00,Miami,CA
ORD0001704,SHP000374,E005219,out_for_delivery,2025-09-09 10:00:00,Phoenix,CA
ORD0000480,SHP000927,E004687,in_transit,2025-05-18 18:00:00,Phoenix,AZ
ORD0000682,SHP001459,E003597,in_transit,2025-05-05 08:00:00,Dallas,NY
ORD0000087,SHP001689,E001448,in_transit,2025-10-24 05:00:00,Denver,CA
ORD0000275,SHP000508,E001614,in_transit,2025-01-27 19:00:00,Los Angeles,IL
ORD0000150,SHP000476,E003822,in_transit,2025-10-29 17:00:00,Phoenix,CA
ORD0000581,SHP001373,E005590,in_transit,2025-12-25 06:00:00,Dallas,FL
ORD0001359,SHP001535,E000359,in_transit,2025-04-15 17:00:00,New York,TX
ORD0002045,SHP001109,E002114,delivered,2025-08-09 05:00:00,Seattle,AZ
ORD0002095,SHP001717,E005594,out_for_delivery,2025-11-14 17:00:00,Phoenix,AZ
ORD0001647,SHP000158,E003124,out_for_delivery,2025-11-19 22:00:00,Seattle,TX
ORD0000356,SHP001494,E005602,in_transit,2025-07-18 12:00:00,Denver,NY
ORD0001313,SHP001507,E001928,out_for_delivery,2025-07-17 12:00:00,Chicago,NY
ORD0000170,SHP000791,E003355,delivered,2025-03-02 18:00:00,Seattle,CO
ORD0001562,SHP001180,E001304,picked_up,2025-05-13 13:00:00,Chicago,CO
ORD0001315,SHP000305,E005291,label_created,2025-06-13 12:00:00,New York,TX
ORD0001412,SHP000457,E003203,out_for_delivery,2025-07-06 06:00:00,Phoenix,CA
ORD0001200,SHP000347,E005081,delivered,2025-11-27 08:00:00,Los Angeles,WA
ORD0000662,SHP000133,E003551,out_for_delivery,2025-07-19 00:00:00,Denver,CA
ORD0000392,SHP000426,E005512,label_created,2025-01-13 07:00:00,Dallas,AZ
ORD0002048,SHP000235,E005549,out_for_delivery,2025-09-06 02:00:00,New York,IL
ORD0002082,SHP001783,E001725,in_transit,2025-09-05 23:00:00,Miami,NY
ORD0002170,SHP001663,E003154,out_for_delivery,2025-01-06 20:00:00,Miami,AZ
ORD0000568,SHP001005,E000987,in_transit,2025-01-26 01:00:00,New York,AZ
ORD0001996,SHP000947,E002544,in_transit,2025-10-06 15:00:00,Seattle,WA
ORD0002015,SHP001235,E005606,picked_up,2025-10-12 01:00:00,New York,IL
ORD0000075,SHP000234,E001728,in_transit,2025-08-23 05:00:00,New York,WA
ORD0000851,SHP001366,E002508,out_for_delivery,2025-10-30 16:00:00,New York,CO
ORD0000220,SHP000166,E004505,delivered,2025-02-04 15:00:00,New York,AZ
ORD0000371,SHP001561,E004149,in_transit,2025-11-06 07:00:00,Dallas,IL
ORD0000802,SHP000872,E002288,in_transit,2025-09-13 00:00:00,Los Angeles,TX
ORD0001217,SHP000434,E002407,out_for_delivery,2025-04-28 17:00:00,Denver,CA
ORD0001615,SHP001013,E000043,in_transit,2025-12-06 07:00:00,Los Angeles,NY
ORD0001427,SHP000114,E005629,in_transit,2025-10-11 01:00:00,Phoenix,FL
ORD0001054,SHP000841,E005419,out_for_delivery,2025-07-03 20:00:00,Seattle,WA
ORD0000254,SHP000671,E003870,delivered,2025-02-24 08:00:00,Miami,IL
ORD0002070,SHP001154,E003767,out_for_delivery,2025-10-17 21:00:00,Seattle,IL
ORD0000365,SHP001162,E002492,out_for_delivery,2025-04-22 22:00:00,New York,CO
ORD0000190,SHP001645,E002300,in_transit,2025-04-13 16:00:00,Phoenix,CA
ORD0002018,SHP000664,E000839,in_transit,2025-02-16 23:00:00,Miami,CO
ORD0001052,SHP001696,E005601,in_transit,2025-01-28 13:00:00,Seattle,IL
ORD0001050,SHP001791,E000481,delivered,2025-07-31 22:00:00,Phoenix,NY
ORD0000517,SHP000100,E001654,delivered,2025-03-31 13:00:00,Miami,WA
ORD0001371,SHP001098,E005376,in_transit,2025-12-23 06:00:00,Seattle,TX
ORD0000660,SHP001410,E000206,label_created,2025-02-10 12:00:00,Denver,TX
ORD0000205,SHP001495,E000094,in_transit,2025-08-24 15:00:00,Seattle,CA
ORD0002175,SHP000347,E000001,label_created,2025-03-18 08:00:00,Phoenix,IL
ORD0000844,SHP000695,E000807,in_transit,2025-06-09 23:00:00,Chicago,IL
ORD0000656,SHP001316,E003944,in_transit,2025-02-20 14:00:00,Los Angeles,TX
ORD0000940,SHP001578,E001367,out_for_delivery,2025-11-05 02:00:00,Denver,CO
ORD0001402,SHP001429,E004029,in_transit,2025-09-24 15:00:00,Miami,TX
ORD0001235,SHP000980,E004492,in_transit,2025-04-12 20:00:00,Seattle,WA
ORD0000683,SHP000797,E004642,delivered,2025-06-01 22:00:00,Chicago,IL
ORD0001375,SHP001096,E000857,delivered,2025-07-12 18:00:00,Seattle,CA
ORD0002192,SHP001332,E001494,picked_up,2025-10-26 09:00:00,Miami,IL
ORD0001690,SHP000440,E000240,out_for_delivery,2025-02-09 02:00:00,Denver,CA
ORD0001081,SHP001640,E005324,out_for_delivery,2025-05-22 23:00:00,Seattle,IL
ORD0001737,SHP000332,E000910,label_created,2025-11-03 00:00:00,Dallas,TX
ORD0001276,SHP000344,E005253,in_transit,2025-11-07 08:00:00,Chicago,WA
ORD0001427,SHP001060,E001464,picked_up,2025-08-28 13:00:00,Dallas,NY
ORD0001317,SHP001035,E004715,picked_up,2025-07-08 14:00:00,Seattle,NY
ORD0000887,SHP000383,E000983,in_transit,2025-02-08 08:00:00,Dallas,TX
ORD0001735,SHP000863,E003362,in_transit,2025-11-25 09:00:00,Los Angeles,FL
ORD0000261,SHP001445,E002638,in_transit,2025-02-10 16:00:00,Miami,NY
ORD0000404,SHP000116,E003665,delivered,2025-02-27 08:00:00,Denver,AZ
ORD0001162,SHP000141,E002273,in_transit,2025-08-06 15:00:00,New York,CA
ORD0002017,SHP000921,E004764,picked_up,2025-01-31 09:00:00,Dallas,CA
ORD0000254,SHP001706,E003741,picked_up,2025-03-17 23:00:00,Phoenix,WA
ORD0001648,SHP001492,E001278,label_created,2025-01-24 05:00:00,Chicago,IL
ORD0000638,SHP001298,E003011,label_created,2025-03-17 05:00:00,Denver,TX
ORD0001099,SHP000874,E001678,label_created,2025-07-01 22:00:00,Miami,TX
ORD0000023,SHP000937,E002407,label_created,2025-09-12 21:00:00,Dallas,FL
ORD0000352,SHP001064,E000213,in_transit,2025-01-27 02:00:00,New York,CO
ORD0001622,SHP001361,E004496,in_transit,2025-01-28 08:00:00,New York,CO
ORD0000531,SHP001541,E001474,in_transit,2025-01-15 05:00:00,Miami,IL
ORD0001971,SHP001392,E000024,in_transit,2025-05-24 15:00:00,Phoenix,WA
ORD0001626,SHP000174,E000396,in_transit,2025-10-08 01:00:00,Phoenix,CA
ORD0001324,SHP001079,E002514,out_for_delivery,2025-12-18 08:00:00,Los Angeles,AZ
ORD0000782,SHP000402,E002674,out_for_delivery,2025-07-03 15:00:00,New York,AZ
ORD0001532,SHP000748,E001499,in_transit,2025-02-13 23:00:00,Dallas,WA
ORD0001487,SHP001690,E000482,picked_up,2025-10-24 08:00:00,Miami,IL
ORD0001296,SHP001085,E004437,in_transit,2025-10-13 06:00:00,Dallas,NY
ORD0001179,SHP000767,E000022,in_transit,2025-11-15 05:00:00,Seattle,NY
ORD0001876,SHP001496,E005006,exception,2025-10-28 19:00:00,Phoenix,WA
ORD0000254,SHP000461,E000439,delivered,2025-07-23 17:00:00,Miami,NY
ORD0000255,SHP000576,E001213,picked_up,2025-08-09 16:00:00,Phoenix,NY
ORD0000177,SHP001217,E001163,out_for_delivery,2025-05-09 19:00:00,Denver,IL
ORD0002198,SHP001752,E000822,in_transit,2025-05-28 11:00:00,Dallas,CO
ORD0002124,SHP001705,E001036,in_transit,2025-01-23 17:00:00,Seattle,CA
ORD0001479,SHP000937,E002047,in_transit,2025-11-08 12:00:00,Miami,AZ
ORD0000393,SHP000029,E000340,delivered,2025-02-07 14:00:00,Denver,CO
ORD0001842,SHP000236,E001479,label_created,2025-12-10 16:00:00,Dallas,CO
ORD0001119,SHP000176,E003765,picked_up,2025-06-29 15:00:00,New York,IL
ORD0000899,SHP001310,E003826,in_transit,2025-08-24 23:00:00,Miami,FL
ORD0000146,SHP001061,E001734,in_transit,2025-11-24 07:00:00,Miami,WA
ORD0001060,SHP001458,E003582,label_created,2025-12-18 08:00:00,Phoenix,CO
ORD0001049,SHP001027,E000784,delivered,2025-11-27 01:00:00,Dallas,AZ
ORD0001141,SHP000401,E005323,out_for_delivery,2025-03-09 02:00:00,Seattle,FL
ORD0001043,SHP001444,E002815,delivered,2025-01-14 00:00:00,Denver,AZ
ORD0001604,SHP000755,E005099,in_transit,2025-02-04 08:00:00,Denver,IL
ORD0000355,SHP000443,E000054,picked_up,2025-06-27 11:00:00,Los Angeles,CA
ORD0001435,SHP001631,E002906,delivered,2025-12-20 23:00:00,Denver,IL
ORD0001858,SHP000257,E003465,in_transit,2025-01-19 21:00:00,Chicago,WA
ORD0000307,SHP001460,E005449,in_transit,2025-04-15 13:00:00,Chicago,CA
ORD0000468,SHP001669,E002944,delivered,2025-08-11 12:00:00,Dallas,CO
ORD0001762,SHP000083,E000329,out_for_delivery,2025-09-13 16:00:00,Denver,AZ
ORD0001114,SHP000215,E002532,picked_up,2025-07-11 04:00:00,Dallas,CO
ORD0000509,SHP001664,E000753,picked_up,2025-04-28 16:00:00,Phoenix,NY
ORD0002061,SHP001248,E000255,in_transit,2025-10-20 18:00:00,Phoenix,AZ
ORD0001013,SHP000551,E005099,label_created,2025-08-03 05:00:00,New York,TX
ORD0001590,SHP001776,E002274,in_transit,2025-02-02 12:00:00,Los Angeles,TX
ORD0001074,SHP001428,E000904,in_transit,2025-01-31 09:00:00,Los Angeles,AZ
ORD0002014,SHP000610,E000039,out_for_delivery,2025-07-06 05:00:00,New York,WA
ORD0001165,SHP000110,E003762,label_created,2025-07-22 14:00:00,New York,NY
ORD0001406,SHP000416,E000259,delivered,2025-08-27 12:00:00,Los Angeles,TX
ORD0000781,SHP000319,E005649,in_transit,2025-10-27 22:00:00,Seattle,CO
ORD0001292,SHP001738,E001237,in_transit,2025-10-17 03:00:00,Phoenix,WA
ORD0000418,SHP000536,E003783,picked_up,2025-04-03 22:00:00,Miami,TX
ORD0000529,SHP000920,E002565,in_transit,2025-11-08 20:00:00,Seattle,NY
ORD0000735,SHP000794,E001259,in_transit,2025-02-26 14:00:00,Dallas,AZ
ORD0002023,SHP001358,E003320,exception,2025-04-14 22:00:00,New York,IL
ORD0000892,SHP001118,E004595,picked_up,2025-08-13 01:00:00,Chicago,IL
ORD0001831,SHP000447,E005051,out_for_delivery,2025-08-23 06:00:00,Denver,WA
ORD0001272,SHP000699,E005164,delivered,2025-11-13 20:00:00,Chicago,IL
ORD0001535,SHP000786,E000258,picked_up,2025-01-31 08:00:00,Miami,AZ
ORD0001690,SHP001724,E003586,label_created,2025-09-21 08:00:00,New York,IL
ORD0001234,SHP000384,E001454,in_transit,2025-04-23 00:00:00,Chicago,TX
ORD0002009,SHP001138,E004159,picked_up,2025-02-27 21:00:00,Dallas,NY
ORD0000514,SHP001146,E000054,picked_up,2025-07-21 04:00:00,Chicago,CO
ORD0000315,SHP000794,E001782,picked_up,2025-04-29 13:00:00,Chicago,FL
ORD0001332,SHP001536,E003278,in_transit,2025-01-28 16:00:00,New York,IL
ORD0000205,SHP000762,E000746,in_transit,2025-06-20 01:00:00,Chicago,CO
ORD0001232,SHP000642,E003496,in_transit,2025-08-14 18:00:00,New York,NY
ORD0001202,SHP000030,E000649,out_for_delivery,2025-10-01 19:00:00,Chicago,CO
ORD0000988,SHP000448,E000106,in_transit,2025-04-03 10:00:00,Phoenix,CO
ORD0000450,SHP000935,E003969,in_transit,2025-03-25 04:00:00,Los Angeles,TX
ORD0000213,SHP000709,E003482,out_for_delivery,2025-08-18 11:00:00,Denver,FL
ORD0001940,SHP000635,E002198,delivered,2025-09-23 13:00:00,New York,AZ
ORD0000449,SHP000776,E001000,in_transit,2025-04-11 17:00:00,Chicago,FL
ORD0001842,SHP000103,E005556,out_for_delivery,2025-06-28 01:00:00,Los Angeles,WA
ORD0000958,SHP001245,E004796,picked_up,2025-06-21 20:00:00,Denver,CA
ORD0001967,SHP000123,E004646,out_for_delivery,2025-08-10 13:00:00,Miami,TX
ORD0002161,SHP000351,E003740,in_transit,2025-01-19 20:00:00,Los Angeles,FL
ORD0000262,SHP000003,E000433,in_transit,2025-12-27 05:00:00,Phoenix,IL
ORD0000425,SHP001703,E001703,in_transit,2025-03-19 14:00:00,Seattle,IL
ORD0000774,SHP000310,E001309,in_transit,2025-08-02 06:00:00,Miami,FL
ORD0001231,SHP000350,E002862,exception,2025-11-23 04:00:00,Los Angeles,CA
ORD0002043,SHP001293,E002791,out_for_delivery,2025-10-29 23:00:00,New York,CA
ORD0000700,SHP001196,E004224,picked_up,2025-08-17 03:00:00,Seattle,NY
ORD0001059,SHP000907,E004804,in_transit,2025-11-13 16:00:00,Los Angeles,AZ
ORD0001021,SHP001331,E000547,out_for_delivery,2025-11-12 22:00:00,New York,CA
ORD0001618,SHP000470,E004398,in_transit,2025-10-25 05:00:00,Seattle,AZ
ORD0001965,SHP000361,E004864,picked_up,2025-02-19 00:00:00,Seattle,WA
ORD0001116,SHP000364,E003002,label_created,2025-02-26 01:00:00,New York,NY
ORD0001241,SHP000367,E003748,delivered,2025-01-26 20:00:00,Seattle,TX
ORD0001177,SHP000018,E004644,picked_up,2025-02-06 21:00:00,Denver,IL
ORD0001397,SHP000368,E004301,in_transit,2025-10-03 14:00:00,Dallas,AZ
ORD0001892,SHP000531,E003262,out_for_delivery,2025-04-16 13:00:00,Los Angeles,TX
ORD0000335,SHP001295,E005204,out_for_delivery,2025-10-04 12:00:00,Denver,FL
ORD0001653,SHP001593,E002704,picked_up,2025-10-01 23:00:00,Seattle,TX
ORD0000611,SHP000694,E000290,in_transit,2025-11-03 19:00:00,Seattle,IL
ORD0002180,SHP000439,E003923,label_created,2025-01-12 00:00:00,New York,NY
ORD0001882,SHP000765,E000272,picked_up,2025-12-15 07:00:00,Chicago,AZ
ORD0001192,SHP001433,E005479,delivered,2025-05-30 11:00:00,Seattle,IL
ORD0000762,SHP000146,E005366,delivered,2025-09-23 10:00:00,Chicago,TX
ORD0000331,SHP000796,E002347,label_created,2025-01-23 18:00:00,Dallas,FL
ORD0001654,SHP001482,E002961,delivered,2025-08-13 10:00:00,Phoenix,CA
ORD0002087,SHP001045,E001811,picked_up,2025-11-01 16:00:00,Miami,CA
ORD0000335,SHP001295,E004832,in_transit,2025-07-14 11:00:00,Los Angeles,NY
ORD0000467,SHP001703,E004761,delivered,2025-08-25 08:00:00,Los Angeles,CO
ORD0002054,SHP000059,E002333,delivered,2025-01-10 19:00:00,Denver,TX
ORD0001050,SHP000693,E005244,picked_up,2025-06-30 22:00:00,Seattle,FL
ORD0002199,SHP001744,E002585,out_for_delivery,2025-10-16 14:00:00,Dallas,WA
ORD0002042,SHP001585,E000469,in_transit,2025-12-11 06:00:00,Miami,IL
ORD0001373,SHP000844,E004622,picked_up,2025-04-15 08:00:00,Phoenix,AZ
ORD0002130,SHP000970,E002364,picked_up,2025-05-26 16:00:00,Chicago,AZ
ORD0002125,SHP000102,E000981,out_for_delivery,2025-05-10 07:00:00,Dallas,CA
ORD0001464,SHP001253,E002187,in_transit,2025-04-28 03:00:00,Los Angeles,FL
ORD0000617,SHP000914,E002024,delivered,2025-01-15 21:00:00,Chicago,WA
ORD0000369,SHP000393,E003950,out_for_delivery,2025-10-03 17:00:00,Dallas,TX
ORD0000686,SHP000078,E004214,picked_up,2025-12-13 05:00:00,Los Angeles,NY
ORD0001781,SHP001514,E005503,in_transit,2025-05-08 03:00:00,Dallas,WA
ORD0001629,SHP000007,E003306,out_for_delivery,2025-03-19 04:00:00,Seattle,TX
ORD0002053,SHP001222,E004477,picked_up,2025-04-22 18:00:00,Chicago,TX
ORD0001814,SHP001336,E000153,in_transit,2025-10-13 08:00:00,Dallas,NY
ORD0000600,SHP000619,E004914,in_transit,2025-01-30 17:00:00,Chicago,NY
