ship_date,order_id,carrier,shipment_id,origin_state,shipping_cost,service_level,dest_state
2025-04-26,ORD0000189,fedex,SHP000748,IL,40.25,ground,NY
2025-11-02,ORD0000624,fedex,SHP001016,NY,7.26,2_day,NY
2025-11-02,ORD0001622,fedex,SHP000809,CA,15.22,overnight,WA
2025-08-10,ORD0001013,fedex,SHP001036,CO,43.67,ground,TX
2025-11-13,ORD0001229,usps,SHP000374,FL,23.29,2_day,IL
2025-06-20,ORD0002075,usps,SHP001415,WA,4.73,2_day,AZ
2025-06-30,ORD0000668,ups,SHP000505,WA,16.15,2_day,CA
2025-04-09,ORD0001860,ups,SHP000927,WA,11.49,ground,CO
2025-04-06,ORD0001511,usps,SHP000679,AZ,16.23,ground,NY
2025-10-06,ORD0000478,fedex,SHP000758,IL,9.3,ground,FL
2025-02-15,ORD0001539,fedex,SHP001388,WA,29.59,overnight,NY
2025-03-02,ORD0001553,usps,SHP001231,IL,18.23,overnight,IL
2025-11-30,ORD0001316,dhl,SHP001619,IL,15.73,overnight,AZ
2025-01-24,ORD0001895,ups,SHP000044,AZ,24.09,ground,NY
2025-09-24,ORD0001804,ups,SHP001416,TX,38.64,ground,CO
2025-05-22,ORD0000306,ups,SHP000849,WA,8.14,2_day,WA
2025-07-21,ORD0000736,usps,SHP001727,CO,28.11,ground,IL
2025-09-19,ORD0001992,usps,SHP000451,NY,40.92,ground,WA
2025-09-23,ORD0000280,dhl,SHP000459,WA,31.01,ground,IL
2025-05-20,ORD0000813,ups,SHP000843,AZ,27.85,2_day,IL
2025-12-18,ORD0001691,dhl,SHP000970,WA,10.54,2_day,CA
2025-01-08,ORD0001358,usps,SHP000544,CO,42.2,2_day,NY
2025-07-17,ORD0000005,ups,SHP000428,AZ,26.06,ground,WA
2025-06-25,ORD0001668,fedex,SHP000956,NY,21.24,ground,WA
2025-01-27,ORD0001296,ups,SHP000830,CO,34.2,ground,CA
2025-06-15,ORD0001969,fedex,SHP000259,CA,38.23,ground,IL
2025-05-01,ORD0000203,ups,SHP001518,NY,11.37,ground,TX
2025-10-05,ORD0000682,ups,SHP000837,TX,16.7,2_day,CO
2025-07-07,ORD0001271,ups,SHP000381,WA,12.23,ground,CA
2025-09-09,ORD0001734,usps,SHP001220,FL,26.57,ground,CA
2025-01-24,ORD0002087,ups,SHP000312,WA,9.88,overnight,TX
2025-02-25,ORD0000561,fedex,SHP000426,CO,29.38,2_day,CA
2025-07-01,ORD0000880,usps,SHP001173,FL,8.75,ground,IL
2025-03-23,ORD0002070,ups,SHP000206,AZ,19.28,ground,WA
2025-03-04,ORD0000589,dhl,SHP001089,TX,34.05,ground,AZ
2025-09-05,ORD0002192,fedex,SHP000741,NY,19.68,ground,IL
2025-10-25,ORD0001429,usps,SHP000810,NY,31.82,ground,CO
2025-10-22,ORD0000572,ups,SHP000782,AZ,4.9,2_day,FL
2025-03-09,ORD0001947,usps,SHP000995,CA,31.98,ground,IL
2025-10-08,ORD0000098,ups,SHP000605,CO,18.39,overnight,CA
2025-11-29,ORD0001704,ups,SHP000868,WA,11.69,ground,TX
2025-01-03,ORD0000412,fedex,SHP000241,WA,41.93,ground,FL
2025-04-01,ORD0000040,usps,SHP001033,IL,6.92,ground,AZ
2025-02-28,ORD0001798,usps,SHP001490,CO,12.54,ground,TX
2025-04-10,ORD0000786,fedex,SHP000956,TX,32.06,ground,CO
2025-09-22,ORD0001836,ups,SHP001422,IL,30.71,2_day,AZ
2025-01-02,ORD0001442,ups,SHP000618,AZ,24.09,ground,NY
2025-06-03,ORD0001323,ups,SHP000103,NY,35.45,ground,IL
2025-09-28,ORD0000676,ups,SHP000246,FL,35.64,ground,WA
2025-07-04,ORD0000880,usps,SHP001333,IL,8.42,2_day,NY
2025-11-07,ORD0001806,fedex,SHP000533,CO,7.33,ground,IL
2025-05-20,ORD0000348,ups,SHP000850,CA,18.99,2_day,NY
2025-07-04,ORD0001215,usps,SHP001278,IL,31.66,ground,TX
2025-09-17,ORD0001802,fedex,SHP000754,IL,41.52,2_day,CA
2025-08-15,ORD0002054,fedex,SHP000059,WA,30.76,2_day,NY
2025-09-21,ORD0001269,ups,SHP001161,FL,7.77,ground,IL
2025-10-31,ORD0000360,usps,SHP001340,AZ,7.62,ground,TX
2025-08-04,ORD0002147,ups,SHP000838,CA,10.66,ground,AZ
2025-08-07,ORD0001694,ups,SHP000184,NY,7.51,overnight,TX
2025-10-28,ORD0001136,usps,SHP000407,NY,19.64,ground,IL
2025-10-08,ORD0001339,fedex,SHP001651,CA,36.56,ground,WA
2025-03-01,ORD0000577,fedex,SHP001720,TX,8.52,2_day,FL
2025-09-22,ORD0001974,usps,SHP000108,IL,31.52,ground,TX
2025-05-30,ORD0001845,ups,SHP001411,TX,23.75,ground,CA
2025-09-12,ORD0001555,fedex,SHP001674,TX,32.82,ground,TX
2025-12-05,ORD0000368,dhl,SHP001636,CA,13.62,ground,CA
2025-10-02,ORD0000275,fedex,SHP000500,FL,18.28,ground,CA
2025-10-27,ORD0000120,ups,SHP001397,WA,10.43,ground,TX
2025-10-10,ORD0000958,fedex,SHP001245,WA,13.06,ground,AZ
2025-08-09,ORD0000906,ups,SHP000618,CA,27.18,ground,TX
2025-08-28,ORD0000886,usps,SHP000106,WA,33.37,ground,CO
2025-03-14,ORD0002091,ups,SHP001769,FL,24.07,ground,CA
2025-05-12,ORD0000542,fedex,SHP001532,IL,6.89,2_day,NY
2025-09-01,ORD0000696,ups,SHP000057,AZ,41.16,ground,CA
2025-08-09,ORD0000875,fedex,SHP000635,NY,21.91,2_day,CA
2025-10-01,ORD0001177,ups,SHP001163,TX,8.5,2_day,IL
2025-11-29,ORD0000856,dhl,SHP000526,AZ,29.75,ground,CO
2025-11-03,ORD0000651,ups,SHP000768,TX,43.96,2_day,TX
2025-07-05,ORD0001749,ups,SHP000552,WA,36.69,ground,FL
2025-07-09,ORD0000182,ups,SHP000778,CO,27.09,ground,TX
2025-09-06,ORD0001290,ups,SHP000283,AZ,40.44,ground,CO
2025-03-22,ORD0000555,ups,SHP000565,FL,20.08,2_day,NY
2025-06-17,ORD0000082,ups,SHP000320,CA,18.02,ground,WA
2025-08-03,ORD0001800,ups,SHP001166,NY,5.79,ground,AZ
2025-07-01,ORD0000849,fedex,SHP000375,NY,17.27,2_day,IL
2025-11-04,ORD0000421,fedex,SHP001721,AZ,27.97,ground,TX
2025-09-21,ORD0001337,ups,SHP001594,NY,35.97,ground,NY
2025-12-19,ORD0001023,ups,SHP000907,NY,20.68,2_day,CO
2025-03-29,ORD0001402,usps,SHP000423,CA,7.91,ground,IL
2025-03-17,ORD0000538,fedex,SHP001365,TX,26.23,ground,TX
2025-01-25,ORD0000976,ups,SHP000010,NY,35.01,ground,CA
2025-12-17,ORD0000085,ups,SHP000858,IL,5.6,ground,CO
2025-01-14,ORD0001302,usps,SHP000211,TX,35.03,2_day,AZ
2025-12-17,ORD0001994,fedex,SHP001456,NY,21.53,ground,AZ
2025-01-05,ORD0000724,fedex,SHP001474,IL,27.52,ground,IL
2025-12-21,ORD0000933,ups,SHP001314,WA,42.5,2_day,WA
2025-01-10,ORD0002165,fedex,SHP001259,FL,40.25,ground,CO
2025-08-07,ORD0001383,dhl,SHP001621,AZ,7.36,ground,CA
2025-10-15,ORD0000768,fedex,SHP000711,AZ,41.57,ground,CO
2025-11-16,ORD0000332,dhl,SHP001632,NY,41.43,ground,WA
2025-08-28,ORD0001214,usps,SHP000815,FL,15.47,ground,CA
2025-08-19,ORD0000949,fedex,SHP000464,CO,20.32,ground,FL
2025-06-23,ORD0001191,ups,SHP001787,CO,7.93,ground,IL
2025-10-18,ORD0001819,fedex,SHP000093,IL,14.57,ground,CO
2025-03-16,ORD0000882,usps,SHP000501,AZ,17.15,ground,CA
2025-07-28,ORD0000688,fedex,SHP001276,CO,29.46,2_day,IL
2025-09-09,ORD0001613,fedex,SHP000777,TX,29.34,2_day,IL
2025-02-08,ORD0001437,ups,SHP001475,AZ,18.94,ground,WA
2025-03-21,ORD0001743,ups,SHP001292,CA,16.37,2_day,CO
2025-06-27,ORD0000049,ups,SHP000239,CO,22.26,ground,AZ
2025-10-24,ORD0000502,usps,SHP000612,CO,12.73,ground,TX
2025-09-13,ORD0001938,ups,SHP001377,FL,20.54,ground,CA
2025-10-03,ORD0000435,dhl,SHP000982,TX,43.13,ground,IL
2025-06-10,ORD0001664,ups,SHP000578,WA,8.75,2_day,FL
2025-12-18,ORD0000963,usps,SHP000049,CA,40.94,ground,CO
2025-01-19,ORD0001290,usps,SHP000585,WA,28.39,ground,TX
2025-10-13,ORD0001288,fedex,SHP000397,WA,16.64,2_day,WA
2025-10-04,ORD0000476,ups,SHP001003,CO,16.93,overnight,IL
2025-09-09,ORD0001245,dhl,SHP001201,WA,41.1,ground,CA
2025-04-28,ORD0002146,fedex,SHP000312,CO,34.3,ground,NY
2025-12-06,ORD0000304,usps,SHP000261,WA,22.57,ground,NY
2025-10-18,ORD0001544,fedex,SHP000290,NY,4.78,ground,AZ
2025-02-22,ORD0002099,fedex,SHP000238,WA,31.42,2_day,CA
2025-03-17,ORD0000589,ups,SHP001693,WA,44.33,ground,AZ
2025-09-27,ORD0001475,ups,SHP001222,AZ,43.68,ground,WA
2025-01-06,ORD0000138,ups,SHP000739,WA,12.38,ground,FL
2025-09-24,ORD0002127,fedex,SHP000932,AZ,20.75,ground,WA
2025-05-14,ORD0000632,fedex,SHP000318,WA,23.05,ground,CA
2025-10-24,ORD0001377,dhl,SHP001527,WA,12.27,ground,NY
2025-04-18,ORD0000925,fedex,SHP001727,AZ,26.86,ground,FL
2025-05-26,ORD0000188,usps,SHP000847,TX,22.95,ground,FL
2025-11-16,ORD0001846,usps,SHP001517,CA,7.98,2_day,NY
2025-12-03,ORD0000816,ups,SHP000570,FL,10.23,ground,AZ
2025-10-03,ORD0001165,fedex,SHP000871,CO,17.05,ground,CO
2025-01-23,ORD0001560,ups,SHP000634,WA,29.57,ground,NY
2025-07-08,ORD0001825,fedex,SHP000768,TX,43.32,ground,WA
2025-06-19,ORD0001684,ups,SHP000252,CO,18.0,ground,FL
2025-10-10,ORD0001187,ups,SHP000463,NY,17.48,ground,NY
2025-10-13,ORD0001219,ups,SHP001464,AZ,24.32,ground,TX
2025-07-26,ORD0000970,usps,SHP000975,AZ,13.76,ground,NY
2025-02-16,ORD0002148,fedex,SHP001691,WA,17.61,ground,TX
2025-06-28,ORD0000171,ups,SHP000070,TX,32.97,ground,NY
2025-01-20,ORD0001032,ups,SHP001049,FL,22.72,ground,FL
2025-12-12,ORD0001692,ups,SHP001211,WA,36.23,ground,WA
2025-01-05,ORD0000162,ups,SHP000750,CA,39.45,ground,TX
2025-10-07,ORD0001512,fedex,SHP000385,TX,4.65,ground,CA
2025-10-06,ORD0000656,fedex,SHP001316,CA,37.81,ground,AZ
2025-12-13,ORD0001179,ups,SHP000487,TX,30.12,overnight,CO
2025-12-26,ORD0000370,usps,SHP000772,IL,24.74,2_day,CA
2025-06-23,ORD0001511,fedex,SHP000113,WA,6.19,ground,AZ
2025-05-28,ORD0001102,fedex,SHP001347,AZ,9.59,ground,IL
2025-08-05,ORD0000629,ups,SHP000805,FL,43.43,ground,FL
2025-09-25,ORD0001449,ups,SHP001660,AZ,15.7,ground,AZ
2025-02-03,ORD0000546,ups,SHP000709,FL,30.98,2_day,FL
2025-09-14,ORD0001645,ups,SHP000240,AZ,23.02,ground,WA
2025-03-04,ORD0000880,dhl,SHP001463,IL,27.22,ground,TX
2025-06-01,ORD0001352,fedex,SHP001191,AZ,30.04,ground,WA
2025-04-12,ORD0001854,ups,SHP000076,CO,23.6,ground,AZ
2025-09-18,ORD0000685,dhl,SHP000245,NY,23.6,2_day,AZ
2025-03-13,ORD0000212,dhl,SHP001539,IL,5.84,ground,NY
2025-07-02,ORD0000292,fedex,SHP000523,NY,7.88,ground,FL
2025-09-03,ORD0000037,fedex,SHP001166,WA,17.76,2_day,NY
2025-06-07,ORD0000623,ups,SHP000551,CA,16.75,ground,CA
2025-07-04,ORD0000832,dhl,SHP000615,IL,30.94,2_day,FL
2025-10-11,ORD0001858,fedex,SHP000044,CA,39.34,ground,CA
2025-08-22,ORD0001806,fedex,SHP001525,WA,30.45,ground,TX
2025-11-30,ORD0000429,usps,SHP001086,CA,40.6,ground,AZ
2025-04-27,ORD0000073,ups,SHP001756,TX,22.25,2_day,AZ
2025-11-05,ORD0001769,usps,SHP001151,WA,20.54,2_day,NY
2025-11-10,ORD0001988,usps,SHP000202,CA,10.86,ground,FL
2025-10-12,ORD0001627,fedex,SHP000459,CA,21.54,2_day,IL
2025-12-12,ORD0000110,ups,SHP001413,AZ,8.53,ground,CO
2025-07-23,ORD0001438,ups,SHP001774,AZ,12.32,ground,AZ
2025-01-17,ORD0001812,usps,SHP000393,WA,8.63,ground,NY
2025-11-11,ORD0001780,fedex,SHP001246,IL,37.26,overnight,AZ
2025-07-18,ORD0001339,ups,SHP001183,AZ,26.47,ground,CO
2025-01-12,ORD0001567,fedex,SHP000333,WA,43.99,ground,TX
2025-01-31,ORD0000781,usps,SHP000319,IL,27.17,2_day,CA
2025-11-10,ORD0001236,dhl,SHP000530,TX,19.65,ground,FL
2025-03-27,ORD0001112,fedex,SHP001412,TX,22.94,ground,IL
2025-12-25,ORD0001637,dhl,SHP000162,AZ,7.91,ground,FL
2025-11-01,ORD0002128,ups,SHP000991,TX,29.46,ground,CO
2025-05-17,ORD0000686,usps,SHP000489,CA,21.48,ground,CA
2025-10-27,ORD0001556,ups,SHP001490,TX,19.88,ground,TX
2025-03-06,ORD0002115,ups,SHP001430,AZ,20.52,ground,IL
2025-07-28,ORD0000597,ups,SHP000061,WA,43.17,ground,FL
2025-10-09,ORD0000965,ups,SHP001284,WA,27.94,ground,WA
2025-04-23,ORD0000912,usps,SHP001302,TX,22.93,ground,CO
2025-06-20,ORD0000656,ups,SHP000861,TX,19.17,ground,IL
2025-08-24,ORD0001130,usps,SHP001098,IL,31.97,ground,AZ
2025-11-30,ORD0000373,usps,SHP001203,CA,16.83,ground,FL
2025-10-26,ORD0000721,fedex,SHP000086,CO,33.67,overnight,TX
2025-06-20,ORD0000862,ups,SHP000915,NY,39.91,ground,WA
2025-11-16,ORD0000875,ups,SHP001150,NY,39.62,ground,AZ
2025-02-19,ORD0000285,usps,SHP001601,AZ,43.29,ground,CA
2025-03-24,ORD0001897,ups,SHP000395,NY,19.29,ground,CO
2025-11-15,ORD0000182,fedex,SHP000603,IL,31.47,ground,NY
2025-11-20,ORD0000995,fedex,SHP000541,CA,6.09,ground,WA
2025-02-07,ORD0000088,fedex,SHP000099,NY,44.6,2_day,WA
2025-12-30,ORD0001960,fedex,SHP000314,NY,38.33,ground,CO
2025-11-30,ORD0001567,usps,SHP000844,NY,35.34,ground,CO
2025-09-27,ORD0001569,fedex,SHP001166,FL,31.48,ground,WA
2025-01-16,ORD0001865,usps,SHP000205,FL,31.4,ground,CO
2025-07-25,ORD0001133,usps,SHP000683,CO,24.72,2_day,IL
2025-01-12,ORD0000862,ups,SHP000922,FL,37.57,2_day,CO
2025-04-30,ORD0001598,usps,SHP000198,FL,13.53,ground,WA
2025-02-16,ORD0000154,usps,SHP000235,CA,19.56,ground,CO
2025-12-16,ORD0000930,ups,SHP000649,TX,35.13,ground,CA
2025-05-28,ORD0001641,fedex,SHP001763,CO,37.12,ground,NY
2025-07-11,ORD0000549,usps,SHP001017,FL,13.5,ground,AZ
2025-04-24,ORD0001230,usps,SHP000889,AZ,41.82,ground,IL
2025-08-30,ORD0000674,usps,SHP000499,WA,9.74,ground,CO
2025-05-12,ORD0000975,dhl,SHP000710,WA,16.67,ground,WA
2025-10-07,ORD0000529,usps,SHP000581,CA,27.77,2_day,FL
2025-12-24,ORD0000732,usps,SHP000687,WA,24.77,ground,NY
2025-08-18,ORD0001795,ups,SHP001721,FL,7.82,ground,IL
2025-03-17,ORD0000260,usps,SHP001119,TX,20.7,overnight,WA
2025-09-02,ORD0000080,fedex,SHP001382,FL,32.16,2_day,NY
2025-08-07,ORD0000962,ups,SHP001033,TX,30.36,ground,FL
2025-04-01,ORD0001535,usps,SHP000734,TX,9.18,2_day,CO
2025-08-11,ORD0001283,fedex,SHP001768,TX,43.5,ground,IL
2025-08-10,ORD0002131,dhl,SHP001380,IL,5.57,ground,NY
2025-03-09,ORD0000006,usps,SHP000140,CA,41.69,ground,TX
2025-05-22,ORD0000562,ups,SHP000393,CO,10.46,ground,CA
2025-10-18,ORD0001998,fedex,SHP000998,NY,30.18,ground,WA
2025-12-06,ORD0001455,ups,SHP000422,AZ,17.63,ground,WA
2025-09-02,ORD0001359,usps,SHP001535,FL,20.49,overnight,FL
2025-12-01,ORD0001182,dhl,SHP001169,FL,25.46,ground,WA
2025-12-15,ORD0001858,ups,SHP000257,AZ,42.17,ground,FL
2025-12-23,ORD0000551,usps,SHP001180,CO,16.15,ground,TX
2025-08-22,ORD0001961,fedex,SHP000819,FL,14.46,ground,WA
2025-12-10,ORD0002140,usps,SHP001263,NY,27.55,ground,IL
2025-04-02,ORD0000806,ups,SHP001681,TX,11.18,2_day,CA
2025-06-27,ORD0000612,fedex,SHP001364,CO,11.48,ground,CA
2025-05-13,ORD0001669,ups,SHP001524,CO,30.7,overnight,WA
2025-06-05,ORD0000851,fedex,SHP001366,FL,9.21,ground,TX
2025-07-11,ORD0000132,fedex,SHP000521,WA,32.9,overnight,TX
2025-06-07,ORD0001701,ups,SHP001415,WA,9.24,ground,FL
2025-05-04,ORD0000600,usps,SHP001279,CO,17.23,ground,AZ
2025-07-09,ORD0001054,usps,SHP000841,AZ,32.04,ground,FL
2025-12-27,ORD0000453,usps,SHP001659,CO,29.93,overnight,AZ
2025-03-13,ORD0001208,ups,SHP000826,IL,38.84,ground,AZ
2025-11-10,ORD0000926,usps,SHP001352,FL,42.48,ground,CA
2025-02-10,ORD0001273,usps,SHP000560,IL,44.42,ground,TX
2025-12-13,ORD0001324,ups,SHP001583,NY,10.98,ground,WA
2025-12-09,ORD0001878,usps,SHP001257,CA,24.61,ground,NY
2025-12-18,ORD0001809,usps,SHP001362,CA,28.84,2_day,TX
2025-11-01,ORD0000441,dhl,SHP001238,IL,22.17,ground,AZ
2025-10-04,ORD0001833,ups,SHP001249,WA,25.81,ground,AZ
2025-02-21,ORD0001638,ups,SHP001552,CA,13.49,ground,IL
2025-09-27,ORD0001016,ups,SHP000568,NY,41.69,2_day,FL
2025-07-25,ORD0000113,ups,SHP001377,AZ,32.64,2_day,TX
2025-10-30,ORD0000902,ups,SHP000338,CO,9.3,ground,AZ
2025-08-06,ORD0001102,dhl,SHP000215,AZ,19.95,ground,NY
2025-04-04,ORD0000348,fedex,SHP000333,IL,18.27,ground,IL
2025-08-28,ORD0001052,ups,SHP001696,TX,39.82,ground,NY
2025-12-04,ORD0001309,ups,SHP000550,TX,35.02,ground,FL
2025-09-12,ORD0001191,ups,SHP000032,NY,13.91,ground,NY
2025-07-29,ORD0001025,ups,SHP000612,NY,32.77,ground,WA
2025-05-17,ORD0000939,ups,SHP001540,CO,26.25,2_day,FL
2025-05-05,ORD0000841,fedex,SHP000011,AZ,32.49,ground,FL
2025-08-06,ORD0001546,fedex,SHP000136,NY,44.4,ground,WA
2025-01-16,ORD0001396,ups,SHP000672,IL,28.98,ground,NY
2025-03-22,ORD0001834,usps,SHP000617,TX,6.74,overnight,CO
2025-10-12,ORD0002131,fedex,SHP001669,AZ,4.45,ground,FL
2025-06-15,ORD0000556,ups,SHP000341,WA,4.72,ground,IL
2025-08-25,ORD0000051,usps,SHP000716,NY,34.06,ground,NY
2025-09-22,ORD0001343,usps,SHP001153,NY,17.65,ground,AZ
2025-05-26,ORD0000345,ups,SHP001089,AZ,25.38,ground,IL
2025-02-26,ORD0000425,ups,SHP001703,TX,35.24,ground,CO
2025-06-16,ORD0000315,usps,SHP000981,FL,26.82,ground,WA
2025-12-03,ORD0000425,usps,SHP000782,IL,32.98,ground,AZ
2025-08-11,ORD0001949,usps,SHP001366,IL,20.47,ground,IL
2025-07-21,ORD0001085,ups,SHP000039,WA,31.72,ground,NY
2025-09-18,ORD0000285,ups,SHP001611,WA,17.29,ground,CO
2025-12-01,ORD0000638,ups,SHP001503,CA,14.48,2_day,CO
2025-04-12,ORD0001602,ups,SHP000352,AZ,40.62,ground,AZ
2025-10-31,ORD0000903,fedex,SHP000731,TX,18.71,ground,CA
2025-11-05,ORD0001003,ups,SHP001730,TX,7.49,2_day,CA
2025-09-18,ORD0002088,fedex,SHP001539,CA,40.0,ground,FL
2025-01-16,ORD0001608,fedex,SHP001528,WA,24.03,ground,IL
2025-03-24,ORD0000361,usps,SHP000198,TX,23.57,overnight,IL
2025-08-28,ORD0000121,usps,SHP001782,WA,15.88,2_day,CO
2025-07-13,ORD0001809,ups,SHP000654,TX,17.6,ground,CO
2025-06-09,ORD0000867,ups,SHP001296,NY,39.39,ground,WA
2025-01-19,ORD0000861,ups,SHP001518,AZ,16.02,ground,WA
2025-01-02,ORD0001505,fedex,SHP001376,CO,6.51,2_day,CO
2025-09-06,ORD0001042,usps,SHP000072,CO,19.76,2_day,TX
2025-07-13,ORD0002098,fedex,SHP001736,CO,34.3,ground,NY
2025-03-08,ORD0000973,fedex,SHP000889,CO,7.99,overnight,FL
2025-08-05,ORD0000423,fedex,SHP000792,CO,34.73,ground,CO
2025-12-02,ORD0000117,fedex,SHP000233,CA,8.21,ground,TX
2025-10-17,ORD0002152,ups,SHP000596,IL,30.07,ground,FL
2025-12-03,ORD0000171,dhl,SHP001525,NY,13.46,2_day,AZ
2025-01-27,ORD0002063,fedex,SHP000844,CO,37.16,2_day,FL
2025-10-09,ORD0001202,ups,SHP001276,WA,9.99,ground,IL
2025-07-01,ORD0002084,fedex,SHP000493,CA,18.68,ground,NY
2025-05-17,ORD0001435,ups,SHP001631,CO,4.08,ground,CO
2025-02-11,ORD0000043,ups,SHP000213,CA,18.49,ground,NY
2025-10-17,ORD0001809,fedex,SHP000949,NY,28.72,ground,IL
2025-03-29,ORD0001134,ups,SHP000217,CA,17.94,ground,NY
2025-12-15,ORD0001556,usps,SHP000730,CA,16.19,ground,CO
2025-09-24,ORD0001755,ups,SHP000061,TX,10.96,ground,TX
2025-09-30,ORD0000772,ups,SHP000566,CA,28.66,ground,WA
2025-12-07,ORD0000519,dhl,SHP001240,TX,36.48,ground,WA
2025-03-25,ORD0000966,fedex,SHP000779,FL,37.81,ground,TX
2025-06-21,ORD0002190,fedex,SHP001279,CO,16.39,ground,WA
2025-12-11,ORD0001132,dhl,SHP000384,CA,41.19,ground,CO
2025-09-17,ORD0000097,usps,SHP001574,IL,42.15,ground,FL
2025-06-24,ORD0001165,ups,SHP000110,CO,33.16,2_day,IL
2025-06-11,ORD0002106,fedex,SHP000314,IL,33.16,ground,CO
2025-08-28,ORD0001061,ups,SHP001195,CO,35.76,ground,CA
2025-09-09,ORD0000167,usps,SHP000183,IL,32.53,2_day,NY
2025-10-23,ORD0001256,usps,SHP001429,IL,31.31,ground,IL
2025-11-21,ORD0000642,ups,SHP000861,FL,7.3,ground,NY
2025-03-04,ORD0000134,usps,SHP001799,WA,26.97,2_day,IL
2025-06-28,ORD0002110,ups,SHP000285,WA,8.16,ground,IL
2025-07-29,ORD0000385,usps,SHP000407,CO,36.86,overnight,IL
2025-11-12,ORD0000164,ups,SHP000001,CA,5.23,ground,CA
2025-06-04,ORD0001870,usps,SHP001783,FL,6.86,ground,AZ
2025-01-16,ORD0001725,fedex,SHP001366,IL,8.08,ground,IL
2025-05-19,ORD0000988,usps,SHP000625,CO,30.54,ground,CA
2025-10-08,ORD0001664,ups,SHP000539,TX,13.16,ground,IL
2025-03-21,ORD0002142,ups,SHP001746,IL,11.87,ground,AZ
2025-07-29,ORD0000847,dhl,SHP000800,FL,33.06,ground,WA
2025-10-06,ORD0000719,fedex,SHP000555,WA,6.23,ground,FL
2025-06-27,ORD0001581,ups,SHP000459,WA,6.94,ground,CO
2025-11-05,ORD0001898,fedex,SHP000405,TX,33.57,overnight,FL
2025-11-12,ORD0001892,ups,SHP001567,AZ,18.37,ground,CO
2025-11-26,ORD0001035,ups,SHP000362,CO,9.24,2_day,AZ
2025-07-17,ORD0000165,ups,SHP000255,IL,40.13,overnight,CO
2025-03-19,ORD0000271,ups,SHP000263,WA,17.72,ground,FL
