sku_id,category,store_id,sales_channel,week_start,forecast_units,forecast_confidence
10142,Electronics,223,Pickup,2025-12-01,24,0.901
10023,Apparel,119,InStore,2025-12-15,20,0.626
10074,Beauty,255,Pickup,2025-11-03,32,0.671
10152,Home,104,InStore,2025-10-20,40,0.758
10157,Beauty,119,Online,2025-12-22,27,0.723
10123,Home,133,Pickup,2025-12-15,20,0.518
10171,Electronics,223,InStore,2025-12-08,32,0.528
10097,Grocery,130,Pickup,2025-10-20,40,0.725
10035,Beauty,173,Online,2025-11-17,38,0.524
10055,Beauty,227,Online,2025-10-13,25,0.522
10160,Beauty,259,Online,2025-12-22,31,0.931
10060,Apparel,230,InStore,2025-11-17,32,0.918
10125,Grocery,183,InStore,2025-11-17,24,0.683
10064,Beauty,246,Pickup,2025-10-20,24,0.767
10132,Apparel,121,Pickup,2025-12-15,21,0.635
10059,Apparel,219,Online,2025-10-27,27,0.943
10053,Apparel,167,Online,2025-10-27,21,0.672
10039,Grocery,147,Pickup,2025-12-15,29,0.899
10156,Electronics,116,Online,2025-11-10,30,0.548
10036,Beauty,112,Online,2025-11-17,48,0.572
10059,Beauty,193,Pickup,2025-11-10,34,0.649
10090,Apparel,207,InStore,2025-11-10,20,0.508
10135,Grocery,237,Online,2025-10-06,27,0.832
10153,Electronics,176,InStore,2025-10-20,32,0.618
10006,Grocery,167,Pickup,2025-10-13,23,0.71
10019,Electronics,210,Pickup,2025-12-08,31,0.966
10089,Apparel,242,Online,2025-11-17,28,0.892
10115,Electronics,224,Online,2025-11-24,28,0.622
10046,Home,120,Pickup,2025-10-06,40,0.641
10101,Electronics,153,Pickup,2025-12-01,28,0.709
10042,Apparel,243,Pickup,2025-11-17,26,0.799
10126,Electronics,159,Pickup,2025-10-27,35,0.757
10004,Beauty,135,Pickup,2025-10-20,36,0.854
10054,Electronics,148,InStore,2025-10-27,31,0.909
10105,Electronics,104,InStore,2025-12-22,40,0.727
10113,Grocery,143,Online,2025-10-20,26,0.765
10127,Beauty,154,Pickup,2025-12-01,27,0.54
10100,Beauty,143,Online,2025-10-27,29,0.901
10061,Beauty,139,Pickup,2025-11-03,30,0.644
10101,Electronics,231,Pickup,2025-11-17,25,0.819
10003,Electronics,257,Online,2025-12-01,28,0.531
10094,Electronics,240,Pickup,2025-12-15,34,0.612
10121,Electronics,179,Online,2025-10-27,33,0.925
10033,Electronics,129,Pickup,2025-11-03,32,0.784
10136,Grocery,236,Pickup,2025-10-27,39,0.666
10125,Grocery,154,Pickup,2025-12-01,33,0.841
10025,Home,217,InStore,2025-10-20,35,0.833
10100,Beauty,249,InStore,2025-11-17,31,0.733
10136,Electronics,144,Online,2025-12-01,24,0.595
10170,Home,235,Pickup,2025-12-15,30,0.527
10062,Electronics,200,InStore,2025-10-06,30,0.643
10088,Home,129,InStore,2025-11-10,26,0.812
10080,Electronics,126,Online,2025-10-06,18,0.888
10073,Beauty,164,InStore,2025-10-20,31,0.912
10105,Beauty,112,InStore,2025-11-03,37,0.559
10041,Grocery,234,Online,2025-12-22,24,0.955
10022,Beauty,206,Pickup,2025-11-24,36,0.885
10046,Grocery,210,Pickup,2025-10-20,34,0.612
10126,Home,216,Online,2025-10-20,28,0.921
10098,Grocery,193,InStore,2025-12-08,36,0.585
10101,Beauty,117,Pickup,2025-12-22,41,0.968
10021,Electronics,105,Online,2025-10-13,29,0.912
10151,Electronics,179,InStore,2025-11-10,27,0.974
10008,Grocery,149,InStore,2025-10-27,35,0.546
10107,Apparel,176,InStore,2025-11-17,37,0.565
10129,Electronics,205,Pickup,2025-10-06,31,0.547
10049,Grocery,187,Online,2025-10-27,27,0.89
10125,Home,249,Pickup,2025-10-06,32,0.625
10119,Grocery,104,InStore,2025-12-08,20,0.823
10150,Grocery,176,Pickup,2025-10-27,24,0.947
10151,Grocery,175,Pickup,2025-12-15,23,0.784
10037,Beauty,106,Pickup,2025-12-22,31,0.604
10005,Beauty,220,Online,2025-11-24,28,0.565
10106,Home,185,InStore,2025-10-06,22,0.711
10171,Grocery,258,Online,2025-12-08,32,0.774
10036,Beauty,207,InStore,2025-12-22,24,0.973
10059,Beauty,156,InStore,2025-10-06,20,0.571
10162,Home,151,Pickup,2025-11-24,31,0.976
10037,Electronics,221,Pickup,2025-10-06,35,0.589
10049,Apparel,240,Pickup,2025-12-15,31,0.572
10171,Home,176,InStore,2025-11-03,23,0.86
10162,Beauty,209,Online,2025-11-10,26,0.816
10005,Home,185,Pickup,2025-12-22,23,0.56
10172,Apparel,141,InStore,2025-12-01,31,0.955
10137,Electronics,243,Pickup,2025-12-15,39,0.814
10137,Grocery,143,Pickup,2025-10-27,35,0.54
10027,Grocery,159,Online,2025-11-03,35,0.715
10144,Beauty,182,Pickup,2025-12-22,26,0.6
10131,Beauty,163,Pickup,2025-10-06,25,0.972
10037,Electronics,256,Online,2025-11-10,28,0.62
10047,Electronics,244,InStore,2025-12-08,32,0.818
10152,Grocery,233,Online,2025-12-08,35,0.761
10122,Home,135,Pickup,2025-10-20,31,0.648
10145,Home,177,InStore,2025-11-03,25,0.631
10121,Home,132,InStore,2025-11-17,45,0.541
10141,Electronics,217,Online,2025-12-01,30,0.667
10080,Beauty,145,Pickup,2025-10-06,33,0.704
10112,Apparel,216,Online,2025-10-27,26,0.508
10099,Electronics,242,Online,2025-10-13,29,0.671
10078,Home,145,Online,2025-10-20,38,0.728
10095,Grocery,205,Online,2025-11-03,36,0.627
10150,Electronics,142,Online,2025-12-15,31,0.54
10171,Electronics,196,InStore,2025-11-10,29,0.96
10123,Apparel,134,Online,2025-11-24,34,0.849
10128,Apparel,195,Online,2025-11-17,44,0.629
10100,Beauty,212,Pickup,2025-10-27,36,0.877
10028,Electronics,246,InStore,2025-10-06,26,0.826
10173,Grocery,109,InStore,2025-11-17,33,0.971
10126,Electronics,113,Online,2025-11-03,19,0.559
10034,Apparel,185,InStore,2025-10-20,31,0.508
10005,Beauty,101,Online,2025-11-10,32,0.822
10072,Beauty,131,InStore,2025-12-22,34,0.719
10051,Grocery,242,Pickup,2025-12-22,29,0.559
10158,Electronics,148,InStore,2025-10-06,27,0.501
10063,Home,253,Pickup,2025-12-01,28,0.814
10018,Electronics,182,InStore,2025-11-10,31,0.725
10029,Beauty,164,Online,2025-12-22,32,0.828
10052,Electronics,158,InStore,2025-10-20,28,0.619
10013,Beauty,110,InStore,2025-12-22,34,0.948
10153,Electronics,127,Pickup,2025-10-13,38,0.761
10019,Electronics,256,Online,2025-10-20,30,0.646
10160,Electronics,108,Online,2025-11-03,37,0.861
10167,Beauty,200,InStore,2025-10-27,33,0.62
10025,Apparel,154,InStore,2025-10-27,34,0.535
10140,Apparel,142,Pickup,2025-10-13,36,0.864
10116,Apparel,192,Pickup,2025-10-20,24,0.517
10017,Beauty,107,Pickup,2025-10-27,41,0.778
10084,Grocery,243,Online,2025-12-08,31,0.884
10124,Beauty,228,Online,2025-10-27,34,0.696
10052,Grocery,144,Online,2025-12-08,45,0.722
10170,Electronics,109,Online,2025-10-27,37,0.909
10007,Beauty,146,InStore,2025-12-22,31,0.954
10090,Apparel,227,Online,2025-10-13,29,0.743
10166,Home,105,Pickup,2025-11-10,33,0.831
10065,Electronics,249,InStore,2025-10-27,26,0.951
10132,Electronics,244,Online,2025-12-01,26,0.748
10058,Apparel,111,Online,2025-10-06,23,0.583
10052,Grocery,206,InStore,2025-12-15,40,0.791
10063,Beauty,140,Pickup,2025-10-20,36,0.719
10008,Apparel,136,InStore,2025-12-01,31,0.956
10055,Beauty,169,Pickup,2025-11-10,26,0.759
10041,Beauty,256,InStore,2025-11-10,29,0.934
10095,Apparel,207,Pickup,2025-11-10,26,0.953
10074,Home,193,Pickup,2025-12-22,26,0.555
10006,Electronics,149,Pickup,2025-10-20,23,0.741
10013,Beauty,161,Pickup,2025-11-17,32,0.818
10013,Apparel,210,InStore,2025-10-06,38,0.78
10125,Beauty,235,InStore,2025-11-17,41,0.886
10123,Home,192,Pickup,2025-10-27,43,0.868
10114,Home,158,InStore,2025-10-20,28,0.648
10143,Home,178,InStore,2025-11-10,27,0.966
10046,Home,147,Online,2025-10-06,29,0.642
10044,Beauty,226,InStore,2025-12-08,31,0.669
10179,Grocery,205,Online,2025-12-01,29,0.627
10106,Apparel,177,Online,2025-11-03,27,0.658
10141,Apparel,124,InStore,2025-11-03,26,0.527
10094,Home,167,Online,2025-11-17,23,0.586
10116,Electronics,235,InStore,2025-12-08,37,0.791
10033,Home,149,InStore,2025-12-22,29,0.691
10179,Electronics,133,Online,2025-12-15,31,0.5
10006,Grocery,175,Pickup,2025-10-06,29,0.685
10039,Home,191,Online,2025-12-08,25,0.71
10146,Home,168,Pickup,2025-10-20,32,0.567
10046,Beauty,195,Pickup,2025-11-24,27,0.561
10145,Electronics,225,Pickup,2025-11-24,28,0.601
10010,Beauty,161,InStore,2025-11-17,28,0.501
10162,Electronics,194,Pickup,2025-12-01,17,0.647
10172,Grocery,178,Pickup,2025-10-27,32,0.691
10154,Beauty,208,Pickup,2025-11-24,32,0.732
10020,Home,176,Online,2025-12-15,28,0.836
10037,Electronics,244,Pickup,2025-11-17,33,0.94
10094,Electronics,213,Pickup,2025-11-24,27,0.828
10096,Apparel,222,InStore,2025-11-17,25,0.768
10153,Beauty,254,Pickup,2025-12-22,25,0.84
10090,Grocery,224,Pickup,2025-11-03,22,0.824
10143,Apparel,197,Online,2025-10-06,32,0.524
10058,Electronics,108,Online,2025-10-13,17,0.58
10120,Beauty,194,InStore,2025-11-03,22,0.872
10154,Beauty,197,Pickup,2025-10-27,34,0.978
10158,Home,250,InStore,2025-11-03,26,0.802
10169,Home,134,Online,2025-12-15,26,0.554
10066,Apparel,112,Pickup,2025-10-20,37,0.54
10166,Home,104,Online,2025-12-01,26,0.784
10058,Electronics,144,Online,2025-11-24,21,0.7
10005,Apparel,155,InStore,2025-11-10,36,0.658
10126,Electronics,120,Online,2025-12-01,34,0.683
10176,Grocery,143,InStore,2025-11-10,31,0.732
10087,Home,118,Online,2025-12-08,23,0.943
10143,Apparel,249,InStore,2025-11-24,43,0.634
10085,Apparel,221,Pickup,2025-11-24,24,0.854
10009,Beauty,250,InStore,2025-12-22,36,0.702
10073,Home,118,Online,2025-12-01,25,0.535
10118,Grocery,203,Pickup,2025-10-27,26,0.858
10047,Grocery,105,InStore,2025-12-08,35,0.731
10064,Electronics,233,Online,2025-10-06,38,0.952
10142,Apparel,170,InStore,2025-10-20,40,0.889
10040,Electronics,257,Pickup,2025-12-22,31,0.964
10152,Home,244,Online,2025-12-01,35,0.662
10117,Home,168,Pickup,2025-11-24,30,0.802
10140,Electronics,202,Online,2025-11-24,31,0.652
10178,Electronics,240,Online,2025-10-27,21,0.769
10041,Grocery,154,Pickup,2025-12-22,41,0.582
10030,Apparel,188,Online,2025-12-22,30,0.698
10094,Electronics,191,Pickup,2025-10-06,24,0.785
10115,Home,116,Pickup,2025-10-20,31,0.86
10016,Apparel,224,Online,2025-11-03,28,0.885
10006,Grocery,233,Online,2025-12-01,26,0.684
10155,Apparel,204,InStore,2025-11-10,28,0.874
10001,Apparel,193,InStore,2025-10-27,31,0.664
10026,Apparel,173,Online,2025-10-13,33,0.688
10015,Electronics,139,InStore,2025-10-27,21,0.879
10088,Apparel,230,Pickup,2025-12-15,29,0.899
10001,Beauty,137,Online,2025-12-22,34,0.787
10003,Electronics,186,Online,2025-10-27,26,0.871
10102,Electronics,146,Online,2025-10-27,26,0.934
10160,Grocery,109,InStore,2025-11-24,34,0.978
10013,Electronics,115,Pickup,2025-10-13,22,0.521
10072,Grocery,248,InStore,2025-11-24,32,0.644
10138,Beauty,199,Online,2025-11-03,29,0.552
10176,Home,249,Pickup,2025-10-20,34,0.942
10035,Beauty,228,Online,2025-10-27,26,0.633
10004,Electronics,133,InStore,2025-11-24,31,0.539
10160,Home,121,Online,2025-10-13,28,0.916
10139,Grocery,166,Pickup,2025-11-03,45,0.617
10028,Grocery,111,InStore,2025-10-13,30,0.79
10059,Grocery,147,InStore,2025-12-08,38,0.84
10023,Grocery,239,InStore,2025-10-20,31,0.809
10150,Home,136,InStore,2025-11-10,19,0.611
10007,Grocery,153,InStore,2025-11-03,42,0.721
10055,Home,107,InStore,2025-11-24,29,0.702
10141,Home,249,Pickup,2025-10-20,38,0.525
10012,Grocery,226,InStore,2025-12-15,25,0.894
10096,Electronics,119,Pickup,2025-12-08,25,0.736
10079,Beauty,186,Pickup,2025-10-06,21,0.779
10062,Beauty,145,InStore,2025-10-20,27,0.802
10006,Grocery,226,Online,2025-10-06,21,0.978
10098,Beauty,181,Online,2025-10-13,23,0.943
10032,Beauty,133,Online,2025-10-13,26,0.635
10085,Apparel,108,Online,2025-11-10,33,0.851
10170,Grocery,216,Online,2025-11-17,20,0.962
10063,Grocery,118,Pickup,2025-11-10,28,0.875
10007,Apparel,181,InStore,2025-10-06,32,0.51
10060,Electronics,203,InStore,2025-12-22,29,0.65
10010,Electronics,228,Pickup,2025-11-24,27,0.559
10103,Home,172,InStore,2025-11-17,29,0.687
10071,Electronics,241,InStore,2025-11-03,29,0.67
10103,Beauty,252,Online,2025-12-15,26,0.637
10029,Electronics,112,InStore,2025-12-15,24,0.631
10058,Grocery,224,InStore,2025-11-10,28,0.618
10034,Apparel,196,Online,2025-10-20,34,0.899
10006,Apparel,181,InStore,2025-10-27,28,0.884
10126,Beauty,229,Pickup,2025-11-24,36,0.757
10154,Beauty,137,InStore,2025-12-01,31,0.661
10133,Apparel,137,Online,2025-10-20,21,0.837
10159,Grocery,191,Online,2025-11-10,22,0.624
10179,Apparel,143,Pickup,2025-10-06,23,0.729
10056,Apparel,184,InStore,2025-11-03,22,0.655
10000,Beauty,211,InStore,2025-10-27,27,0.945
10166,Beauty,236,Pickup,2025-11-24,31,0.912
10078,Electronics,162,InStore,2025-10-13,35,0.658
10080,Beauty,184,Pickup,2025-10-20,25,0.77
10096,Grocery,157,Online,2025-11-03,22,0.772
10046,Electronics,227,Online,2025-10-27,37,0.501
10085,Home,222,Pickup,2025-11-17,27,0.581
10015,Electronics,166,Online,2025-12-01,30,0.63
10076,Home,250,Online,2025-10-27,34,0.78
10149,Home,224,Online,2025-10-20,33,0.842
10166,Grocery,128,InStore,2025-11-10,21,0.533
10143,Grocery,179,InStore,2025-12-22,36,0.654
10073,Electronics,202,Pickup,2025-10-27,31,0.537
10097,Apparel,173,Pickup,2025-12-08,49,0.799
10019,Grocery,205,InStore,2025-10-13,38,0.96
10075,Beauty,141,Online,2025-12-01,26,0.784
10132,Grocery,136,Pickup,2025-11-10,31,0.658
10137,Electronics,112,Pickup,2025-11-17,25,0.511
10087,Home,198,InStore,2025-11-24,34,0.886
10026,Beauty,186,InStore,2025-10-06,27,0.605
10128,Home,159,Online,2025-11-17,22,0.508
10096,Electronics,179,Pickup,2025-10-06,25,0.561
10025,Electronics,231,Pickup,2025-12-22,24,0.896
10045,Grocery,214,Online,2025-11-10,34,0.619
10122,Apparel,186,InStore,2025-11-10,35,0.512
10112,Home,114,Pickup,2025-12-01,28,0.524
10124,Grocery,247,Online,2025-10-27,35,0.693
10138,Electronics,208,Pickup,2025-11-24,32,0.656
10132,Electronics,137,Pickup,2025-10-06,34,0.597
10164,Electronics,157,Online,2025-10-06,38,0.722
10012,Beauty,187,InStore,2025-11-03,39,0.904
10058,Electronics,169,Pickup,2025-11-10,41,0.815
10146,Apparel,111,InStore,2025-10-27,28,0.93
10108,Apparel,126,InStore,2025-11-10,27,0.841
10140,Home,134,InStore,2025-12-22,26,0.576
10120,Electronics,180,Online,2025-10-06,33,0.606
10120,Electronics,141,InStore,2025-12-22,34,0.575
10136,Grocery,183,Online,2025-12-15,35,0.921
10153,Grocery,134,InStore,2025-12-22,39,0.781
10062,Beauty,174,Pickup,2025-10-20,27,0.839
10054,Apparel,168,Online,2025-10-20,38,0.703
10019,Electronics,104,Online,2025-11-10,29,0.922
10004,Electronics,204,Pickup,2025-12-15,28,0.507
10179,Apparel,235,Online,2025-12-08,39,0.878
10021,Electronics,158,InStore,2025-12-01,27,0.932
10129,Electronics,212,Pickup,2025-10-27,32,0.588
10073,Electronics,102,InStore,2025-11-24,32,0.554
10026,Beauty,139,Pickup,2025-12-15,30,0.778
10015,Electronics,174,Online,2025-10-27,28,0.531
10039,Electronics,172,Online,2025-10-27,27,0.66
10051,Beauty,193,Online,2025-10-13,33,0.619
10060,Grocery,104,Online,2025-10-06,36,0.674
10152,Beauty,100,Pickup,2025-11-17,32,0.655
10038,Apparel,213,Pickup,2025-11-17,31,0.711
10003,Grocery,120,Online,2025-12-08,27,0.73
10078,Beauty,224,Pickup,2025-11-10,32,0.669
10117,Electronics,221,InStore,2025-12-08,32,0.95
10007,Grocery,131,Pickup,2025-12-08,32,0.74
10162,Apparel,212,Online,2025-10-06,31,0.74
10090,Grocery,149,Pickup,2025-11-17,37,0.706
10103,Home,212,InStore,2025-12-15,25,0.795
10159,Grocery,250,Online,2025-11-10,25,0.758
10010,Beauty,258,InStore,2025-12-08,35,0.663
10047,Beauty,214,InStore,2025-11-03,22,0.955
10048,Home,164,Pickup,2025-10-20,29,0.524
10139,Home,184,Pickup,2025-12-22,26,0.836
10071,Apparel,179,InStore,2025-10-13,39,0.858
10066,Apparel,248,InStore,2025-12-08,34,0.766
10046,Electronics,245,Pickup,2025-11-17,23,0.565
10157,Apparel,238,Online,2025-11-24,37,0.865
10064,Home,100,Pickup,2025-12-22,23,0.846
10094,Electronics,228,Pickup,2025-10-20,27,0.514
10143,Beauty,219,Online,2025-10-06,26,0.693
10027,Grocery,218,Online,2025-12-01,27,0.903
10154,Electronics,256,Online,2025-11-10,32,0.5
10044,Grocery,135,Pickup,2025-12-22,39,0.523
10165,Electronics,185,Pickup,2025-11-03,17,0.865
10133,Grocery,188,InStore,2025-11-10,29,0.658
10102,Home,187,InStore,2025-10-06,23,0.876
10106,Electronics,239,Pickup,2025-11-24,30,0.908
10049,Grocery,220,Online,2025-11-24,32,0.773
10154,Electronics,111,Pickup,2025-12-15,34,0.511
10087,Electronics,217,Online,2025-12-01,23,0.889
10145,Beauty,250,InStore,2025-12-08,38,0.941
10094,Home,256,Online,2025-11-10,41,0.624
10093,Home,166,InStore,2025-11-10,34,0.915
10040,Apparel,193,InStore,2025-11-03,32,0.661
10139,Grocery,203,Pickup,2025-11-10,22,0.544
10107,Apparel,205,Pickup,2025-12-08,35,0.854
10076,Home,154,Pickup,2025-11-24,37,0.958
10155,Grocery,236,Pickup,2025-12-22,25,0.524
10176,Grocery,190,InStore,2025-11-24,29,0.898
10098,Apparel,245,Online,2025-10-06,26,0.616
10093,Apparel,244,InStore,2025-10-06,35,0.726
10061,Apparel,171,Online,2025-12-08,30,0.939
10043,Beauty,218,InStore,2025-11-17,30,0.583
10163,Apparel,156,Online,2025-10-13,23,0.878
10165,Beauty,104,Online,2025-12-01,27,0.544
10125,Beauty,167,Online,2025-11-17,28,0.596
10150,Grocery,128,Online,2025-12-08,30,0.672
10054,Grocery,136,Online,2025-12-01,30,0.689
10101,Grocery,131,Online,2025-12-22,17,0.528
10157,Apparel,148,Online,2025-10-13,33,0.579
10089,Home,140,Online,2025-10-20,29,0.645
10169,Grocery,222,InStore,2025-11-17,29,0.843
10072,Beauty,249,Online,2025-12-01,35,0.54
10044,Home,164,Pickup,2025-11-24,32,0.749
10032,Beauty,128,InStore,2025-10-06,20,0.764
10167,Grocery,107,Online,2025-12-01,32,0.666
10098,Grocery,143,Pickup,2025-11-17,32,0.5
10118,Beauty,190,InStore,2025-12-01,38,0.897
10050,Electronics,233,Online,2025-11-03,26,0.725
10090,Beauty,176,Online,2025-11-10,32,0.732
10047,Apparel,165,Online,2025-12-01,28,0.963
10006,Electronics,189,InStore,2025-12-22,32,0.861
10008,Home,189,Pickup,2025-10-27,23,0.832
10000,Grocery,222,Pickup,2025-11-10,37,0.704
10059,Beauty,121,Pickup,2025-12-08,30,0.719
10143,Apparel,202,InStore,2025-10-06,34,0.536
10067,Electronics,207,Online,2025-10-27,26,0.838
10091,Electronics,220,Pickup,2025-10-20,33,0.869
10144,Apparel,125,Pickup,2025-12-01,20,0.795
10030,Electronics,226,Online,2025-11-03,34,0.893
10049,Grocery,168,Pickup,2025-12-01,27,0.878
10111,Beauty,257,InStore,2025-12-22,33,0.774
10022,Apparel,250,InStore,2025-12-08,27,0.53
10077,Electronics,132,Pickup,2025-12-01,33,0.576
10112,Grocery,163,Online,2025-10-27,30,0.915
10178,Apparel,110,Pickup,2025-11-17,32,0.71
10143,Electronics,177,Online,2025-12-15,30,0.687
10090,Grocery,138,Online,2025-12-15,27,0.553
10029,Apparel,203,Pickup,2025-12-08,25,0.72
10161,Apparel,212,InStore,2025-10-06,33,0.914
10023,Beauty,251,Pickup,2025-12-22,34,0.94
10009,Home,100,Pickup,2025-12-15,36,0.929
10062,Beauty,182,InStore,2025-10-06,38,0.885
10172,Apparel,106,Pickup,2025-11-10,30,0.605
10138,Apparel,245,InStore,2025-10-13,30,0.886
10131,Grocery,102,Pickup,2025-10-06,37,0.558
10121,Grocery,114,InStore,2025-11-10,24,0.788
10176,Electronics,166,Pickup,2025-10-06,25,0.81
10013,Apparel,131,InStore,2025-12-01,23,0.823
10156,Apparel,236,Online,2025-12-08,29,0.792
10014,Home,177,InStore,2025-11-03,32,0.83
10117,Electronics,254,Online,2025-10-13,25,0.513
10022,Home,203,Online,2025-11-17,30,0.787
10136,Electronics,118,InStore,2025-11-17,35,0.67
10057,Home,184,Online,2025-10-27,25,0.55
10029,Electronics,123,Online,2025-12-15,29,0.643
10072,Grocery,256,Online,2025-12-01,26,0.828
10146,Apparel,192,InStore,2025-12-15,38,0.668
10042,Home,223,Pickup,2025-12-15,24,0.823
10136,Beauty,145,InStore,2025-11-03,26,0.558
10084,Electronics,197,Pickup,2025-11-24,36,0.916
10007,Grocery,101,InStore,2025-12-01,22,0.755
10039,Beauty,124,InStore,2025-11-10,22,0.643
10024,Electronics,203,InStore,2025-10-06,25,0.581
10077,Apparel,158,InStore,2025-10-06,32,0.861
10162,Electronics,136,Pickup,2025-11-03,24,0.544
10143,Electronics,142,Pickup,2025-12-08,31,0.938
10042,Beauty,147,Pickup,2025-12-08,30,0.856
10113,Electronics,186,InStore,2025-10-06,26,0.752
10063,Apparel,229,InStore,2025-10-27,26,0.956
10003,Apparel,184,Online,2025-11-03,32,0.617
10035,Grocery,187,InStore,2025-11-24,28,0.833
10112,Electronics,151,InStore,2025-12-22,21,0.568
10113,Beauty,225,Pickup,2025-12-01,24,0.721
10162,Grocery,127,Pickup,2025-10-20,33,0.54
10112,Grocery,135,Pickup,2025-10-20,28,0.913
10021,Electronics,250,Pickup,2025-12-22,33,0.503
10041,Home,216,Pickup,2025-11-03,34,0.785
10105,Home,189,Pickup,2025-10-13,29,0.685
10127,Grocery,217,Online,2025-12-15,41,0.655
10163,Grocery,125,Online,2025-10-27,29,0.883
10136,Home,130,InStore,2025-11-17,22,0.963
10021,Electronics,206,Online,2025-10-20,24,0.564
10076,Home,176,InStore,2025-10-20,26,0.862
10008,Beauty,187,Pickup,2025-11-24,34,0.837
10087,Grocery,202,Pickup,2025-12-08,31,0.689
10060,Home,188,Pickup,2025-12-01,29,0.579
10172,Apparel,186,Pickup,2025-11-10,31,0.611
10060,Home,255,InStore,2025-10-27,39,0.797
10111,Beauty,230,Online,2025-12-01,42,0.713
10179,Home,150,InStore,2025-10-06,19,0.838
10119,Home,246,InStore,2025-12-08,27,0.682
10127,Home,207,Online,2025-12-22,31,0.756
10125,Beauty,117,Pickup,2025-12-15,28,0.764
10075,Home,152,Online,2025-10-06,34,0.543
10060,Apparel,104,Pickup,2025-11-17,30,0.82
10106,Electronics,189,Online,2025-12-22,27,0.795
10157,Beauty,175,Online,2025-11-03,26,0.931
10127,Beauty,201,Pickup,2025-12-22,33,0.677
10019,Electronics,158,InStore,2025-11-10,36,0.617
10070,Electronics,103,Pickup,2025-11-10,32,0.971
10018,Home,258,Pickup,2025-10-27,24,0.575
10142,Home,162,Online,2025-11-03,42,0.808
10058,Electronics,100,Pickup,2025-10-13,38,0.831
10037,Electronics,208,Pickup,2025-11-10,29,0.713
10104,Grocery,220,Online,2025-11-10,32,0.611
10101,Home,179,Online,2025-12-22,32,0.699
10114,Beauty,200,Online,2025-11-17,31,0.905
10044,Grocery,144,Online,2025-12-15,25,0.87
10023,Apparel,241,Pickup,2025-12-15,30,0.746
10017,Beauty,196,Online,2025-12-01,31,0.958
10050,Beauty,216,InStore,2025-11-24,30,0.757
10157,Home,155,InStore,2025-12-15,35,0.863
10142,Electronics,175,InStore,2025-12-15,33,0.806
10101,Grocery,196,Online,2025-10-20,30,0.745
10108,Apparel,234,InStore,2025-12-01,27,0.675
10060,Grocery,148,Pickup,2025-11-17,30,0.8
10143,Apparel,231,Pickup,2025-12-15,24,0.505
10003,Electronics,155,InStore,2025-10-13,35,0.87
10073,Home,232,InStore,2025-12-22,28,0.548
10161,Grocery,204,Pickup,2025-11-17,18,0.955
10116,Beauty,130,Pickup,2025-10-13,33,0.963
