sighting_id,sighting_ts,park_name,trail_id,observer_badge,species_raw,count_seen
S000306,2025-07-18,yellowstone National Park,T059,B0035,SC03 - River Otter,2
S000307,2025-06-09,Grand Canyon National Park ,T024,B0082,SC12,1
S000308,2025-08-11,Redwood National Park ,T099,B0341,SC29,2
S000309,2025-06-23,aCaDiA National Park,T116,B0072,SC02,4
S000310,2025-07-09,aCaDiA National Park,T118,B0045,SC14,5
S000311,2025-06-14,yElLoWsToNe National Park,T037,B0196,SC27,4
S000312,2025-06-14,Redwood National Park ,T045,B0319,SC05,1
S000313,2025-06-25,glacier National Park,T074,,SC03,2
S000314,2025-06-15,Redwood National Park ,T069,B0155,SC10,2
S000315,2025-08-20,redwood National Park,T034,B0051,SC24,2
S000316,2025-06-07,Redwood National Park ,T007,,SC14,3
S000317,2025-06-29,Yellowstone National Park ,T009,,SC21,3
S000318,2025-07-21,yellowstone National Park,T080,B0001,SC24,1
S000319,2025-07-09,zion National Park,T081,B0279,SC03,1
S000320,2025-08-02,redwood National Park,T086,B0147,SC06,2
S000321,2025-06-05,glacier National Park,T077,,SC13,1
S000322,2025-07-18,grand Canyon National Park,T055,,SC08,3
S000323,2025-07-27,aCaDiA National Park,T035,B0173,SC24,2
S000324,2025-07-13,Redwood National Park ,T114,B0384,SC10,3
S000325,2025-08-07,zIoN National Park,T048,B0022,SC22,2
S000326,2025-08-23,yElLoWsToNe National Park,T070,B0020,SC24,1
S000327,2025-08-15,zion National Park,T113,B0051,SC26,1
S000328,2025-07-07,Yellowstone National Park ,T089,B0282,SC28,7
S000329,2025-08-03,yellowstone National Park,T079,B0371,SC23,2
S000330,2025-06-17,zIoN National Park,T108,B0065,SC12,3
S000331,2025-08-06,yellowstone National Park,T057,B0260,SC02,2
S000332,2025-08-14,grand Canyon National Park,T093,B0378,SC11,3
S000333,2025-06-09,Grand Canyon National Park ,T097,B0392,SC24,1
S000334,2025-07-11,Redwood National Park ,T095,B0102,Sc18,3
S000335,2025-06-03,Zion National Park ,T092,B0193,SC02,2
S000336,2025-07-14,acadia National Park,T102,B0143,SC07,3
S000337,2025-07-02,grand Canyon National Park,T022,B0353,SC05,1
S000338,2025-08-09,Yellowstone National Park ,T046,B0109,SC05,1
S000339,2025-08-10,glacier National Park,T105,,SC07,2
S000340,2025-08-12,Yellowstone National Park ,T108,,SC17,2
S000341,2025-07-10,redwood National Park,T042,B0360,SC13,2
S000342,2025-06-20,Redwood National Park ,T089,B0361,Sc18,4
S000343,2025-06-25,gRaNd Canyon National Park,T099,B0059,SC01,3
S000344,2025-07-14,zion National Park,T115,B0080,SC29,2
S000345,2025-07-31,gRaNd Canyon National Park,T085,B0065,SC19,3
S000346,2025-08-25,grand Canyon National Park,T113,B0372,SC09,2
S000347,2025-07-19,Grand Canyon National Park ,T021,B0397,SC27,1
S000348,2025-07-23,Yellowstone National Park ,T113,B0020,SC12 - Elk,4
S000349,2025-07-04,aCaDiA National Park,T050,B0303,SC01,2
S000350,2025-06-11,gLaCiEr National Park,T104,B0239,Sc18,2
S000351,2025-08-02,acadia National Park,T081,B0374,SC02,2
S000352,2025-07-29,aCaDiA National Park,T081,B0132,SC05,1
S000353,2025-06-20,Glacier National Park ,T049,B0082,SC13,3
S000354,2025-08-29,Acadia National Park ,T027,B0392,SC05,2
S000355,2025-06-22,yellowstone National Park,T024,B0276,SC10,5
S000356,2025-08-24,glacier National Park,T055,B0368,SC21,3
S000357,2025-06-24,yElLoWsToNe National Park,T077,B0351,SC29,2
S000358,2025-06-04,grand Canyon National Park,T105,B0013,SC08,2
S000359,2025-06-27,Acadia National Park ,T116,B0102,SC29,1
S000360,2025-06-23,acadia National Park,T003,B0130,sc07,1
S000361,2025-06-27,acadia National Park,T065,B0022,SC11,1
S000362,2025-08-25,yElLoWsToNe National Park,T005,B0243,SC24,1
S000363,2025-08-13,yellowstone National Park,T099,B0328,SC06,3
S000364,2025-08-06,acadia National Park,T012,B0186,SC10,4
S000365,2025-08-27,zIoN National Park,T089,B0356,SC28,1
S000366,2025-08-02,yElLoWsToNe National Park,T059,B0232,SC02,2
S000367,2025-08-15,Yellowstone National Park ,T062,B0005,SC26,5
S000368,2025-06-19,yElLoWsToNe National Park,T059,B0084,SC25 - Mountain Goat,1
S000369,2025-07-02,glacier National Park,T082,,SC25,4
S000370,2025-08-19,redwood National Park,T042,,SC27,2
S000371,2025-07-07,glacier National Park,T041,B0290,SC02,4
S000372,2025-07-01,zIoN National Park,T064,B0185,SC03,2
S000373,2025-06-16,glacier National Park,T047,,SC17,1
S000374,2025-06-16,Redwood National Park ,T018,B0266,SC19,2
S000375,2025-06-12,yElLoWsToNe National Park,T009,B0067,SC25,2
S000376,2025-08-13,aCaDiA National Park,T035,B0334,SC10,2
S000377,2025-07-06,yellowstone National Park,T052,B0214,SC01,2
S000378,2025-06-17,rEdWoOd National Park,T030,B0333,SC14,2
S000379,2025-07-20,Glacier National Park ,T069,B0381,SC29,3
S000380,2025-07-03,Zion National Park ,T082,B0265,SC15,4
S000381,2025-06-13,gLaCiEr National Park,T036,B0235,SC04,2
S000382,2025-08-18,zion National Park,T028,B0394,SC22,1
S000383,2025-06-12,zIoN National Park,T040,B0251,SC21,6
S000384,2025-08-03,aCaDiA National Park,T064,B0017,SC17,2
S000385,2025-06-30,Grand Canyon National Park ,T086,B0097,sc07,2
S000386,2025-07-06,redwood National Park,T077,B0281,sc07,2
S000387,2025-08-22,Yellowstone National Park ,T012,B0255,SC01,2
S000388,2025-06-17,Yellowstone National Park ,T017,B0212,SC29,1
S000389,2025-07-16,yellowstone National Park,T052,B0107,SC21,3
S000390,2025-06-22,Yellowstone National Park ,T095,B0172,SC24,1
S000391,2025-08-29,Glacier National Park ,T092,,SC09,3
S000392,2025-07-05,yellowstone National Park,T080,B0202,SC28,3
S000393,2025-07-23,redwood National Park,T071,B0016,SC25 - Mountain Goat,2
S000394,2025-08-14,zIoN National Park,T076,B0114,SC21,1
S000395,2025-07-24,acadia National Park,T017,,SC04,2
S000396,2025-06-18,Acadia National Park ,T006,B0160,SC22,2
S000397,2025-08-11,yellowstone National Park,T003,,SC03 - River Otter,1
S000398,2025-06-23,redwood National Park,T046,B0383,SC28,1
S000399,2025-07-18,zion National Park,T093,B0111,SC18,5
S000400,2025-06-04,rEdWoOd National Park,T065,,SC07,3
S000401,2025-08-17,Grand Canyon National Park ,T083,B0348,SC05,1
S000402,2025-08-13,acadia National Park,T091,B0234,SC20,5
S000403,2025-08-29,aCaDiA National Park,T053,B0115,SC04,3
S000404,2025-06-15,redwood National Park,T093,,SC15,5
S000405,2025-08-17,gRaNd Canyon National Park,T105,B0264,sc07,1
S000406,2025-07-12,glacier National Park,T105,B0065,SC19,3
S000407,2025-08-12,grand Canyon National Park,T073,B0044,SC11,1
S000408,2025-08-24,glacier National Park,T039,B0265,SC07,3
S000409,2025-07-01,glacier National Park,T059,B0111,SC25,3
S000410,2025-06-21,yellowstone National Park,T012,B0382,SC03,3
S000411,2025-08-20,gRaNd Canyon National Park,T097,B0051,SC05,2
S000412,2025-08-29,zIoN National Park,T059,B0400,SC20,3
S000413,2025-08-07,zIoN National Park,T018,B0199,SC01,3
S000414,2025-08-25,Redwood National Park ,T027,B0232,SC05,5
S000415,2025-06-06,aCaDiA National Park,T054,B0086,SC03 - River Otter,2
S000416,2025-07-26,redwood National Park,T016,B0361,SC22,1
