observer_badge,observer_id,cert_level
B0268,2268,Trainee
B0269,2269,Certified
B0270,2270,Certified
B0271,2271,Certified
B0272,2272,Certified
B0273,2273,Certified
B0274,2274,Trainee
B0275,2275,Certified
B0276,2276,Certified
B0277,2277,Certified
B0278,2278,Senior
B0279,2279,Trainee
B0280,2280,Certified
B0281,2281,Certified
B0282,2282,Certified
B0283,2283,Certified
B0284,2284,Senior
B0285,2285,Certified
B0286,2286,Certified
B0287,2287,Certified
B0288,2288,Certified
B0289,2289,Senior
B0290,2290,Certified
B0291,2291,Certified
B0292,2292,Certified
B0293,2293,Certified
B0294,2294,Certified
B0295,2295,Certified
B0296,2296,Senior
B0297,2297,Certified
B0298,2298,Trainee
B0299,2299,Certified
B0300,2300,Senior
B0301,2301,Certified
B0302,2302,Certified
B0303,2303,Certified
B0304,2304,Certified
B0305,2305,Senior
B0306,2306,Trainee
B0307,2307,Senior
B0308,2308,Senior
B0309,2309,Trainee
B0310,2310,Certified
B0311,2311,Certified
B0312,2312,Certified
B0313,2313,Senior
B0314,2314,Senior
B0315,2315,Certified
B0316,2316,Trainee
B0317,2317,Certified
B0318,2318,Certified
B0319,2319,Certified
B0320,2320,Trainee
B0321,2321,Certified
B0322,2322,Senior
B0323,2323,Senior
B0324,2324,Senior
B0325,2325,Senior
B0326,2326,Senior
B0327,2327,Trainee
B0328,2328,Senior
B0329,2329,Certified
B0330,2330,Certified
B0331,2331,Certified
B0332,2332,Senior
B0333,2333,Certified
B0334,2334,Certified
B0335,2335,Certified
B0336,2336,Senior
B0337,2337,Certified
B0338,2338,Trainee
B0339,2339,Trainee
B0340,2340,Certified
B0341,2341,Trainee
B0342,2342,Certified
B0343,2343,Trainee
B0344,2344,Certified
B0345,2345,Senior
B0346,2346,Certified
B0347,2347,Trainee
B0348,2348,Trainee
B0349,2349,Certified
B0350,2350,Certified
B0351,2351,Certified
B0352,2352,Certified
B0353,2353,Certified
B0354,2354,Trainee
B0355,2355,Senior
B0356,2356,Certified
B0357,2357,Certified
B0358,2358,Certified
B0359,2359,Certified
B0360,2360,Certified
B0361,2361,Certified
B0362,2362,Certified
B0363,2363,Senior
B0364,2364,Certified
B0365,2365,Certified
B0366,2366,Trainee
B0367,2367,Certified
B0368,2368,Certified
B0369,2369,Trainee
B0370,2370,Certified
B0371,2371,Trainee
B0372,2372,Trainee
B0373,2373,Certified
B0374,2374,Certified
B0375,2375,Certified
B0376,2376,Trainee
B0377,2377,Trainee
B0378,2378,Trainee
B0379,2379,Trainee
B0380,2380,Trainee
B0381,2381,Senior
B0382,2382,Senior
B0383,2383,Trainee
B0384,2384,Certified
B0385,2385,Senior
B0386,2386,Certified
B0387,2387,Certified
B0388,2388,Certified
B0389,2389,Certified
B0390,2390,Certified
B0391,2391,Certified
B0392,2392,Certified
B0393,2393,Certified
B0394,2394,Trainee
B0395,2395,Certified
B0396,2396,Senior
B0397,2397,Trainee
B0398,2398,Certified
B0399,2399,Certified
B0400,2400,Certified
,9998,Senior
,9999,Certified
